Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15ModelAnimInterpC1EPN2nn3g3d11SkeletonObjE","al::ModelAnimInterp::ModelAnimInterp(nn::g3d::SkeletonObj *)",false
"_ZN2al15ModelAnimInterp6updateEv","al::ModelAnimInterp::update(void)",false
"_ZN2al15ModelAnimInterp17prepareAnimInterpEPN2nn3g3d11SkeletonObjEPKcS6_RKN4sead6BufferIPNS2_15SkeletalAnimObjEEE","al::ModelAnimInterp::prepareAnimInterp(nn::g3d::SkeletonObj *,char const*,char const*,sead::Buffer<nn::g3d::SkeletalAnimObj *> const&)",false
"_ZN2al15ModelAnimInterp17prepareAnimInterpEPN2nn3g3d11SkeletonObjEiRKN4sead6BufferIPNS2_15SkeletalAnimObjEEE","al::ModelAnimInterp::prepareAnimInterp(nn::g3d::SkeletonObj *,int,sead::Buffer<nn::g3d::SkeletalAnimObj *> const&)",false
"_ZN2al15ModelAnimInterp15prepareNoInterpEv","al::ModelAnimInterp::prepareNoInterp(void)",false
"_ZN2al15ModelAnimInterp15initWithArcPathEPKci","al::ModelAnimInterp::initWithArcPath(char const*,int)",false
"_ZNK2al15ModelAnimInterp10interpAnimEPN2nn3g3d11SkeletonObjE","al::ModelAnimInterp::interpAnim(nn::g3d::SkeletonObj *)const",false
"_ZN4sead18Matrix34CalcCommonIfE7slerpToERNS_9BaseMtx34IfEERKS3_S6_f","sead::Matrix34CalcCommon<float>::slerpTo(sead::BaseMtx34<float> &,sead::BaseMtx34<float> const&,sead::BaseMtx34<float> const&,float)",false
"_ZN2al25ModelAnimInterpInfoHolderC2Ev","al::ModelAnimInterpInfoHolder::ModelAnimInterpInfoHolder(void)",false
"_ZN2al25ModelAnimInterpInfoHolder15initWithArcPathEPKci","al::ModelAnimInterpInfoHolder::initWithArcPath(char const*,int)",false
"_ZN4sead10StrTreeMapILi64EiE6insertERKNS_14SafeStringBaseIcEERKi","sead::StrTreeMap<64,int>::insert(sead::SafeStringBase<char> const&,int const&)",false
"_ZNK2al25ModelAnimInterpInfoHolder14getInterpFrameEPKcS2_","al::ModelAnimInterpInfoHolder::getInterpFrame(char const*,char const*)const",false
"_ZN4sead10StrTreeMapILi64EiE4NodeD0Ev","sead::StrTreeMap<64,int>::Node::~Node()",false
"_ZN4sead10StrTreeMapILi64EiE4Node6erase_Ev","sead::StrTreeMap<64,int>::Node::erase_(void)",false
