Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9AreaShapeC2Ev","al::AreaShape::AreaShape(void)",false
"_ZN2al9AreaShape13setBaseMtxPtrEPKN4sead8Matrix34IfEE","al::AreaShape::setBaseMtxPtr(sead::Matrix34<float> const*)",false
"_ZN2al9AreaShape8setScaleERKN4sead7Vector3IfEE","al::AreaShape::setScale(sead::Vector3<float> const&)",false
"_ZNK2al9AreaShape12calcLocalPosEPN4sead7Vector3IfEERKS3_","al::AreaShape::calcLocalPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9AreaShape12calcWorldPosEPN4sead7Vector3IfEERKS3_","al::AreaShape::calcWorldPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9AreaShape12calcWorldDirEPN4sead7Vector3IfEERKS3_","al::AreaShape::calcWorldDir(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9AreaShape9calcTransEPN4sead7Vector3IfEE","al::AreaShape::calcTrans(sead::Vector3<float> *)const",false
"_ZN2al16AreaShapeFactoryC2EPKc","al::AreaShapeFactory::AreaShapeFactory(char const*)",false
"_ZNK2al7FactoryIPFPNS_9AreaShapeEvEE11convertNameEPKc","al::Factory<al::AreaShape * (*)(void)>::convertName(char const*)const",false
"_ZN2al23createAreaShapeFunctionINS_17AreaShapeCubeBaseEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCubeBase>(void)",false
"_ZN2al23createAreaShapeFunctionINS_19AreaShapeCubeCenterEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCubeCenter>(void)",false
"_ZN2al23createAreaShapeFunctionINS_16AreaShapeCubeTopEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCubeTop>(void)",false
"_ZN2al23createAreaShapeFunctionINS_13AreaShapeOvalEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeOval>(void)",false
"_ZN2al23createAreaShapeFunctionINS_21AreaShapeCylinderBaseEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCylinderBase>(void)",false
"_ZN2al23createAreaShapeFunctionINS_23AreaShapeCylinderCenterEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCylinderCenter>(void)",false
"_ZN2al23createAreaShapeFunctionINS_20AreaShapeCylinderTopEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeCylinderTop>(void)",false
"_ZN2al23createAreaShapeFunctionINS_17AreaShapeInfiniteEEEPNS_9AreaShapeEv","al::AreaShape * al::createAreaShapeFunction<al::AreaShapeInfinite>(void)",false
