Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19TrafficAreaDirectorC2EPKNS_12AreaObjGroupEPKNS_23ITrafficAreaUpdateJudgeE","al::TrafficAreaDirector::TrafficAreaDirector(al::AreaObjGroup const*,al::ITrafficAreaUpdateJudge const*)",false
"_ZN2al19TrafficAreaDirector17tryPermitEnterCarERKN4sead7Vector3IfEE","al::TrafficAreaDirector::tryPermitEnterCar(sead::Vector3<float> const&)",false
"_ZNK2al19TrafficAreaDirector11tryFindAreaERKN4sead7Vector3IfEE","al::TrafficAreaDirector::tryFindArea(sead::Vector3<float> const&)const",false
"_ZN2al19TrafficAreaDirector36tryPermitEnterNpcAndSyncDrawClippingEPNS_9LiveActorE","al::TrafficAreaDirector::tryPermitEnterNpcAndSyncDrawClipping(al::LiveActor *)",false
"_ZN2al19TrafficAreaDirector7executeEv","al::TrafficAreaDirector::execute(void)",false
"_ZNK2al19TrafficAreaDirector15getSceneObjNameEv","al::TrafficAreaDirector::getSceneObjName(void)const",false
"_ZN2al19TrafficAreaDirectorD2Ev","al::TrafficAreaDirector::~TrafficAreaDirector()",false
"_ZN2al19TrafficAreaDirectorD0Ev","al::TrafficAreaDirector::~TrafficAreaDirector()",false
"_ZThn8_NK2al19TrafficAreaDirector15getSceneObjNameEv","`non-virtual thunk to'al::TrafficAreaDirector::getSceneObjName(void)const",false
"_ZThn8_N2al19TrafficAreaDirectorD1Ev","`non-virtual thunk to'al::TrafficAreaDirector::~TrafficAreaDirector()",false
"_ZThn8_N2al19TrafficAreaDirectorD0Ev","`non-virtual thunk to'al::TrafficAreaDirector::~TrafficAreaDirector()",false
