Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18SeadFxReverbParams9setParamsEPKNS_19AudioEffectProcInfoE","al::SeadFxReverbParams::setParams(al::AudioEffectProcInfo const*)",false
"_ZN2al17AudioEffectReverbC2Ev","al::AudioEffectReverb::AudioEffectReverb(void)",false
"_ZN2al17AudioEffectReverb24setupDelayAllocateSizes_EPKNS_25AudioEffectReverbProcInfoE","al::AudioEffectReverb::setupDelayAllocateSizes_(al::AudioEffectReverbProcInfo const*)",false
"_ZN2al17AudioEffectReverb16setupDelaySizes_EPKNS_25AudioEffectReverbProcInfoE","al::AudioEffectReverb::setupDelaySizes_(al::AudioEffectReverbProcInfo const*)",false
"_ZN2al17AudioEffectReverb11setupGains_EPKNS_25AudioEffectReverbProcInfoE","al::AudioEffectReverb::setupGains_(al::AudioEffectReverbProcInfo const*)",false
"_ZN2al17AudioEffectReverb12allocBuffer_Ev","al::AudioEffectReverb::allocBuffer_(void)",false
"_ZN2al17AudioEffectReverb12clearBuffer_Ev","al::AudioEffectReverb::clearBuffer_(void)",false
"_ZN2al17AudioEffectReverb9setParamsEPKNS_19AudioEffectProcInfoE","al::AudioEffectReverb::setParams(al::AudioEffectProcInfo const*)",false
"_ZN2al17AudioEffectReverb18GetRequiredMemSizeEv","al::AudioEffectReverb::GetRequiredMemSize(void)",false
"_ZN2al17AudioEffectReverb13UpdateSamplesEPiRKN2nn3atk9EffectAux16UpdateSamplesArgE","al::AudioEffectReverb::UpdateSamples(int *,nn::atk::EffectAux::UpdateSamplesArg const&)",false
"_ZN2al17AudioEffectReverb12updateFx2ch_EPiS1_j","al::AudioEffectReverb::updateFx2ch_(int *,int *,unsigned int)",false
"_ZN2al17AudioEffectReverb12updateFx4ch_EPiS1_S1_S1_j","al::AudioEffectReverb::updateFx4ch_(int *,int *,int *,int *,unsigned int)",false
"_ZN2al17AudioEffectReverb12updateFx6ch_EPiS1_S1_S1_S1_S1_j","al::AudioEffectReverb::updateFx6ch_(int *,int *,int *,int *,int *,int *,unsigned int)",false
"_ZN2al17AudioEffectReverbD0Ev","al::AudioEffectReverb::~AudioEffectReverb()",false
"_ZN2al17AudioBusSendFader18AudioBusGroupFaderC1EPKNS_23AudioSubMixInfoAccessorE","al::AudioBusSendFader::AudioBusGroupFader::AudioBusGroupFader(al::AudioSubMixInfoAccessor const*)",false
"_ZN2al17AudioBusSendFader18AudioBusGroupFaderC2EPKNS_19AudioBusSettingInfoEPKNS_22AudioInfoListWithPartsINS_16AudioBusSendInfoEEEPKNS_23AudioSubMixInfoAccessorE","al::AudioBusSendFader::AudioBusGroupFader::AudioBusGroupFader(al::AudioBusSettingInfo const*,al::AudioInfoListWithParts<al::AudioBusSendInfo> const*,al::AudioSubMixInfoAccessor const*)",false
"_ZN2al17AudioBusSendFaderC2EiPKNS_23AudioSubMixInfoAccessorE","al::AudioBusSendFader::AudioBusSendFader(int,al::AudioSubMixInfoAccessor const*)",false
"_ZN2al17AudioBusSendFader21activateBusGroupFaderEPKNS_19AudioBusSettingInfoEPKNS_22AudioInfoListWithPartsINS_16AudioBusSendInfoEEE","al::AudioBusSendFader::activateBusGroupFader(al::AudioBusSettingInfo const*,al::AudioInfoListWithParts<al::AudioBusSendInfo> const*)",false
"_ZN2al17AudioBusSendFader6updateEv","al::AudioBusSendFader::update(void)",false
"_ZN2al17AudioBusSendFader5resetEv","al::AudioBusSendFader::reset(void)",false
"_ZN2al17AudioBusSendFader11startFadeInEPKci","al::AudioBusSendFader::startFadeIn(char const*,int)",false
"sub_71008111AC","",false
"_ZN2al17AudioBusSendFader12startFadeOutEPKci","al::AudioBusSendFader::startFadeOut(char const*,int)",false
