Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13BgmLineKeeperC2Ev","al::BgmLineKeeper::BgmLineKeeper(void)",false
"_ZN2al13BgmLineKeeper4initEPKNS_11BgmDataBaseEPKNS_22AudioInfoListWithPartsINS_14BgmMusicalInfoEEEPNS_15SeadAudioPlayerEPKcSC_iPN4sead8PtrArrayINS_16BgmParamsChangerEEE","al::BgmLineKeeper::init(al::BgmDataBase const*,al::AudioInfoListWithParts<al::BgmMusicalInfo> const*,al::SeadAudioPlayer *,char const*,char const*,int,sead::PtrArray<al::BgmParamsChanger> *)",false
"_ZN2al13BgmLineKeeper5resetEPKci","al::BgmLineKeeper::reset(char const*,int)",false
"_ZN2al13BgmLineKeeper6updateEv","al::BgmLineKeeper::update(void)",false
"_ZN2al13BgmLineKeeper19tryChangeActiveLineEv","al::BgmLineKeeper::tryChangeActiveLine(void)",false
"_ZN2al13BgmLineKeeper13clearPlayDataEv","al::BgmLineKeeper::clearPlayData(void)",false
"_ZN2al13BgmLineKeeper20clearPlayPointRecordEv","al::BgmLineKeeper::clearPlayPointRecord(void)",false
"_ZN2al13BgmLineKeeper8startBgmERKNS_17BgmPlayingRequestE","al::BgmLineKeeper::startBgm(al::BgmPlayingRequest const&)",false
"_ZN2al13BgmLineKeeper10prepareBgmERKNS_17BgmPlayingRequestE","al::BgmLineKeeper::prepareBgm(al::BgmPlayingRequest const&)",false
"_ZN2al13BgmLineKeeper7stopBgmEPKci","al::BgmLineKeeper::stopBgm(char const*,int)",false
"_ZN2al13BgmLineKeeper8pauseBgmEPKci","al::BgmLineKeeper::pauseBgm(char const*,int)",false
"_ZN2al13BgmLineKeeper9resumeBgmEPKci","al::BgmLineKeeper::resumeBgm(char const*,int)",false
"_ZN2al13BgmLineKeeper12isPlayingBgmEv","al::BgmLineKeeper::isPlayingBgm(void)",false
"_ZN2al13BgmLineKeeper12isPlayingBgmEPKc","al::BgmLineKeeper::isPlayingBgm(char const*)",false
"_ZN2al13BgmLineKeeper12isRunningBgmEPKc","al::BgmLineKeeper::isRunningBgm(char const*)",false
"_ZN2al13BgmLineKeeper20isPauseActiveBgmLineEv","al::BgmLineKeeper::isPauseActiveBgmLine(void)",false
"_ZN2al13BgmLineKeeper17pauseBgmIfFadeOutEi","al::BgmLineKeeper::pauseBgmIfFadeOut(int)",false
"_ZN2al13BgmLineKeeper18resumeBgmIfFadeOutEi","al::BgmLineKeeper::resumeBgmIfFadeOut(int)",false
"_ZN2al13BgmLineKeeper14stopAllBgmLineEib","al::BgmLineKeeper::stopAllBgmLine(int,bool)",false
"_ZN2al13BgmLineKeeper17tryStopAllBgmLineEi","al::BgmLineKeeper::tryStopAllBgmLine(int)",false
"_ZN2al13BgmLineKeeper23tryPauseBgmIfNotPlayingEPKci","al::BgmLineKeeper::tryPauseBgmIfNotPlaying(char const*,int)",false
"_ZN2al13BgmLineKeeper24tryPauseBgmIfLowPriorityEPKci","al::BgmLineKeeper::tryPauseBgmIfLowPriority(char const*,int)",false
"_ZN2al13BgmLineKeeper14startSituationERKN4sead13FixedPtrArrayINS_17IBgmParamsChangerELi5EEE","al::BgmLineKeeper::startSituation(sead::FixedPtrArray<al::IBgmParamsChanger,5> const&)",false
"_ZN2al13BgmLineKeeper12endSituationERKN4sead13FixedPtrArrayINS_17IBgmParamsChangerELi5EEE","al::BgmLineKeeper::endSituation(sead::FixedPtrArray<al::IBgmParamsChanger,5> const&)",false
"_ZNK2al13BgmLineKeeper13getBgmLineNumEv","al::BgmLineKeeper::getBgmLineNum(void)const",false
"_ZNK2al13BgmLineKeeper10getBgmLineEi","al::BgmLineKeeper::getBgmLine(int)const",false
"_ZNK2al13BgmLineKeeper17getPlayingBgmLineEPKc","al::BgmLineKeeper::getPlayingBgmLine(char const*)const",false
"_ZNK2al13BgmLineKeeper16getActiveBgmLineEv","al::BgmLineKeeper::getActiveBgmLine(void)const",false
"_ZNK2al13BgmLineKeeper20getBgmLineByLineNameEPKc","al::BgmLineKeeper::getBgmLineByLineName(char const*)const",false
"_ZNK2al13BgmLineKeeper15getBgmLineIndexEPKc","al::BgmLineKeeper::getBgmLineIndex(char const*)const",false
"_ZN2al13BgmLineKeeper25setAudioBusSendControllerEPNS_22AudioBusSendControllerE","al::BgmLineKeeper::setAudioBusSendController(al::AudioBusSendController *)",false
"_ZN2al13AudioInfoListINS_11BgmLineInfoEE17compareInfoAndKeyEPKS1_PKc","al::AudioInfoList<al::BgmLineInfo>::compareInfoAndKey(al::BgmLineInfo const*,char const*)",false
