Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16BgmParamsChangerC2Ev","al::BgmParamsChanger::BgmParamsChanger(void)",false
"_ZN2al16BgmParamsChanger6updateEv","al::BgmParamsChanger::update(void)",false
"_ZNK2al16BgmParamsChanger28isReachedTargetAllControllerEv","al::BgmParamsChanger::isReachedTargetAllController(void)const",false
"_ZN2al16BgmParamsChanger11resetParamsEv","al::BgmParamsChanger::resetParams(void)",false
"_ZN2al16BgmParamsChanger8activateEPKcS2_b","al::BgmParamsChanger::activate(char const*,char const*,bool)",false
"_ZN2al16BgmParamsChanger10deactivateEb","al::BgmParamsChanger::deactivate(bool)",false
"_ZN2al16BgmParamsChanger13tryDeactivateEb","al::BgmParamsChanger::tryDeactivate(bool)",false
"_ZN2al16BgmParamsChanger13resetForReuseEv","al::BgmParamsChanger::resetForReuse(void)",false
"_ZN2al16BgmParamsChanger12changeVolumeEfi","al::BgmParamsChanger::changeVolume(float,int)",false
"_ZN2al16BgmParamsChanger16changePitchShiftEfi","al::BgmParamsChanger::changePitchShift(float,int)",false
"_ZN2al16BgmParamsChanger9changeLpfEfi","al::BgmParamsChanger::changeLpf(float,int)",false
"_ZN2al16BgmParamsChanger18changeBiquadFilterEfi","al::BgmParamsChanger::changeBiquadFilter(float,int)",false
"_ZN2al16BgmParamsChanger26changePitchShiftModulationEffi","al::BgmParamsChanger::changePitchShiftModulation(float,float,int)",false
"_ZN2al16BgmParamsChanger16changeEffectSendEN2nn3atk6AuxBusEfi","al::BgmParamsChanger::changeEffectSend(nn::atk::AuxBus,float,int)",false
"_ZN2al16BgmParamsChanger17changeTrackVolumeEifi","al::BgmParamsChanger::changeTrackVolume(int,float,int)",false
"_ZN2al16BgmParamsChanger19changeDefaultParamsEi","al::BgmParamsChanger::changeDefaultParams(int)",false
"_ZN2al16BgmParamsChanger15forceDeactivateEv","al::BgmParamsChanger::forceDeactivate(void)",false
"_ZNK2al16BgmParamsChanger12getCurVolumeEv","al::BgmParamsChanger::getCurVolume(void)const",false
"_ZNK2al16BgmParamsChanger16getCurPitchShiftEv","al::BgmParamsChanger::getCurPitchShift(void)const",false
"_ZNK2al16BgmParamsChanger26getCurPitchShiftModulationEv","al::BgmParamsChanger::getCurPitchShiftModulation(void)const",false
"_ZNK2al16BgmParamsChanger15getCurLpfCutOffEv","al::BgmParamsChanger::getCurLpfCutOff(void)const",false
"_ZNK2al16BgmParamsChanger20getBiquadFilterValueEv","al::BgmParamsChanger::getBiquadFilterValue(void)const",false
"_ZNK2al16BgmParamsChanger13getEffectSendEv","al::BgmParamsChanger::getEffectSend(void)const",false
"_ZNK2al16BgmParamsChanger14getEffectBusIdEv","al::BgmParamsChanger::getEffectBusId(void)const",false
"_ZNK2al16BgmParamsChanger17getCurTrackVolumeEi","al::BgmParamsChanger::getCurTrackVolume(int)const",false
"_ZNK2al16BgmParamsChanger10isActivateEv","al::BgmParamsChanger::isActivate(void)const",false
"_ZNK2al16BgmParamsChanger8isPausedEv","al::BgmParamsChanger::isPaused(void)const",false
"_ZNK2al16BgmParamsChanger20isEnableRegionChangeEv","al::BgmParamsChanger::isEnableRegionChange(void)const",false
"_ZN2al16BgmParamsChanger21setRegionChangeParamsERKNS_21BgmRegionChangeParamsE","al::BgmParamsChanger::setRegionChangeParams(al::BgmRegionChangeParams const&)",false
"_ZNK2al16BgmParamsChanger16getSituationNameEv","al::BgmParamsChanger::getSituationName(void)const",false
"_ZNK2al16BgmParamsChanger19getSubSituationNameEv","al::BgmParamsChanger::getSubSituationName(void)const",false
"_ZN2al16BgmParamsChanger16setSituationNameEPKc","al::BgmParamsChanger::setSituationName(char const*)",false
"_ZN2al16BgmParamsChanger19setSubSituationNameEPKc","al::BgmParamsChanger::setSubSituationName(char const*)",false
"_ZNK2al16BgmParamsChanger21getRegionChangeParamsEv","al::BgmParamsChanger::getRegionChangeParams(void)const",false
