Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22BgmPlayEventControllerC1EPNS_11AudioKeeperE","al::BgmPlayEventController::BgmPlayEventController(al::AudioKeeper *)",false
"_ZN2al22BgmPlayEventController6init3DEPNS_15AreaObjDirectorE","al::BgmPlayEventController::init3D(al::AreaObjDirector *)",false
"_ZN2al22BgmPlayEventController6updateEv","al::BgmPlayEventController::update(void)",false
"_ZN2al22BgmPlayEventController19setChangeAreaParamsEPKcbb","al::BgmPlayEventController::setChangeAreaParams(char const*,bool,bool)",false
"_ZN2al22BgmPlayEventController23tryStartBgmByChangeAreaEbib","al::BgmPlayEventController::tryStartBgmByChangeArea(bool,int,bool)",false
"_ZN2al22BgmPlayEventController17setStopAreaParamsEv","al::BgmPlayEventController::setStopAreaParams(void)",false
"_ZN2al22BgmPlayEventController28tryStartBgmAfterStopAreaMoveEbPNS_10BgmPlayObjEb","al::BgmPlayEventController::tryStartBgmAfterStopAreaMove(bool,al::BgmPlayObj *,bool)",false
"_ZN2al22BgmPlayEventController17stopBgmByStopAreaEb","al::BgmPlayEventController::stopBgmByStopArea(bool)",false
"_ZN2al22BgmPlayEventController23updateWithoutEventStartEv","al::BgmPlayEventController::updateWithoutEventStart(void)",false
"_ZN2al22BgmPlayEventController8finalizeEv","al::BgmPlayEventController::finalize(void)",false
"_ZN2al22BgmPlayEventController15setPlayerHolderEPKNS_12PlayerHolderE","al::BgmPlayEventController::setPlayerHolder(al::PlayerHolder const*)",false
"_ZN2al22BgmPlayEventController19tryRegistBgmPlayObjEPNS_10BgmPlayObjE","al::BgmPlayEventController::tryRegistBgmPlayObj(al::BgmPlayObj *)",false
"_ZN2al22BgmPlayEventController5resetEv","al::BgmPlayEventController::reset(void)",false
"_ZN2al22BgmPlayEventController27getBgmPlayNameInCurPositionEb","al::BgmPlayEventController::getBgmPlayNameInCurPosition(bool)",false
"_ZN2al22BgmPlayEventController30getBgmPlayNameInTargetPositionERKN4sead7Vector3IfEE","al::BgmPlayEventController::getBgmPlayNameInTargetPosition(sead::Vector3<float> const&)",false
"_ZN2al22BgmPlayEventController31tryStartAndStopBgmInCurPositionEbb","al::BgmPlayEventController::tryStartAndStopBgmInCurPosition(bool,bool)",false
"_ZN2al22BgmPlayEventController15isInBgmStopAreaEPKc","al::BgmPlayEventController::isInBgmStopArea(char const*)",false
"_ZN2al22BgmPlayEventController25checkWhetherItCanStartBgmEPKc","al::BgmPlayEventController::checkWhetherItCanStartBgm(char const*)",false
"_ZN2al22BgmPlayEventController8startBgmEb","al::BgmPlayEventController::startBgm(bool)",false
"_ZNK2al22BgmPlayEventController14getAudioKeeperEv","al::BgmPlayEventController::getAudioKeeper(void)const",false
"_ZNK2al22BgmPlayEventController18getAreaObjDirectorEv","al::BgmPlayEventController::getAreaObjDirector(void)const",false
"_ZThn8_NK2al22BgmPlayEventController18getAreaObjDirectorEv","`non-virtual thunk to'al::BgmPlayEventController::getAreaObjDirector(void)const",false
