Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al20BgmPlayPointRecorderC2Ev","al::BgmPlayPointRecorder::BgmPlayPointRecorder(void)",false
"_ZN2al20BgmPlayPointRecorder5resetEv","al::BgmPlayPointRecorder::reset(void)",false
"_ZN2al20BgmPlayPointRecorder21tryRecordStopPositionEPKcl","al::BgmPlayPointRecorder::tryRecordStopPosition(char const*,long)",false
"_ZN4sead10StrTreeMapILi64ElE6insertERKNS_14SafeStringBaseIcEERKl","sead::StrTreeMap<64,long>::insert(sead::SafeStringBase<char> const&,long const&)",false
"_ZN2al20BgmPlayPointRecorder22tryRecordPausePositionEPKcl","al::BgmPlayPointRecorder::tryRecordPausePosition(char const*,long)",false
"_ZNK2al20BgmPlayPointRecorder23getRecordedStopPositionEPKc","al::BgmPlayPointRecorder::getRecordedStopPosition(char const*)const",false
"_ZNK2al20BgmPlayPointRecorder24getRecordedPausePositionEPKc","al::BgmPlayPointRecorder::getRecordedPausePosition(char const*)const",false
"_ZN4sead10StrTreeMapILi64ElE18eraseNodeForClear_EPNS_11TreeMapNodeINS_14SafeStringBaseIcEEEE","sead::StrTreeMap<64,long>::eraseNodeForClear_(sead::TreeMapNode<sead::SafeStringBase<char>> *)",false
"_ZN4sead11TreeMapImplINS_14SafeStringBaseIcEEE7forEachINS_9Delegate1INS_10StrTreeMapILi64ElEEPNS_11TreeMapNodeIS2_EEEEEEvSA_RKT_","void sead::TreeMapImpl<sead::SafeStringBase<char>>::forEach<sead::Delegate1<sead::StrTreeMap<64,long>,sead::TreeMapNode<sead::SafeStringBase<char>> *>>(sead::TreeMapNode<sead::SafeStringBase<char>> *,sead::Delegate1<sead::StrTreeMap<64,long>,sead::TreeMapNode<sead::SafeStringBase<char>> *> const&)",false
"_ZN4sead9Delegate1INS_10StrTreeMapILi64ElEEPNS_11TreeMapNodeINS_14SafeStringBaseIcEEEEE6invokeES7_","sead::Delegate1<sead::StrTreeMap<64,long>,sead::TreeMapNode<sead::SafeStringBase<char>> *>::invoke(sead::TreeMapNode<sead::SafeStringBase<char>> *)",false
"_ZNK4sead9Delegate1INS_10StrTreeMapILi64ElEEPNS_11TreeMapNodeINS_14SafeStringBaseIcEEEEE5cloneEPNS_4HeapE","sead::Delegate1<sead::StrTreeMap<64,long>,sead::TreeMapNode<sead::SafeStringBase<char>> *>::clone(sead::Heap *)const",false
"_ZN4sead10StrTreeMapILi64ElE4NodeD0Ev","sead::StrTreeMap<64,long>::Node::~Node()",false
"_ZN4sead10StrTreeMapILi64ElE4Node6erase_Ev","sead::StrTreeMap<64,long>::Node::erase_(void)",false
