Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14CameraDirectorC1Ei","al::CameraDirector::CameraDirector(int)",false
"_ZN2al14CameraDirectorD2Ev","al::CameraDirector::~CameraDirector()",false
"_ZN2al14CameraDirectorD0Ev","al::CameraDirector::~CameraDirector()",false
"_ZN2al14CameraDirector4initEPNS_20CameraPoserSceneInfoEPKNS_18CameraPoserFactoryE","al::CameraDirector::init(al::CameraPoserSceneInfo *,al::CameraPoserFactory const*)",false
"_ZNK2al14CameraDirector14getPoseUpdaterEi","al::CameraDirector::getPoseUpdater(int)const",false
"_ZN2al14CameraDirector7endInitEPKNS_12PlayerHolderE","al::CameraDirector::endInit(al::PlayerHolder const*)",false
"_ZN2al14CameraDirector23createCameraFromFactoryEPKcPKNS_11PlacementIdES2_iRKN4sead8Matrix34IfEE","al::CameraDirector::createCameraFromFactory(char const*,al::PlacementId const*,char const*,int,sead::Matrix34<float> const&)",false
"_ZN2al14CameraDirector12createCameraEPNS_11CameraPoserEPKNS_11PlacementIdEPKciRKN4sead8Matrix34IfEEb","al::CameraDirector::createCamera(al::CameraPoser *,al::PlacementId const*,char const*,int,sead::Matrix34<float> const&,bool)",false
"_ZN2al14CameraDirector7executeEv","al::CameraDirector::execute(void)",false
"_ZN2al14CameraDirector6updateEv","al::CameraDirector::update(void)",false
"_ZN2al14CameraDirector18createObjectCameraEPKNS_11PlacementIdEPKcS5_iRKN4sead8Matrix34IfEE","al::CameraDirector::createObjectCamera(al::PlacementId const*,char const*,char const*,int,sead::Matrix34<float> const&)",false
"_ZN2al14CameraDirector26createObjectEntranceCameraEPKNS_11PlacementIdEPKcRKN4sead8Matrix34IfEE","al::CameraDirector::createObjectEntranceCamera(al::PlacementId const*,char const*,sead::Matrix34<float> const&)",false
"_ZN2al14CameraDirector24createMirrorObjectCameraEPKNS_11PlacementIdEPKciRKN4sead8Matrix34IfEE","al::CameraDirector::createMirrorObjectCamera(al::PlacementId const*,char const*,int,sead::Matrix34<float> const&)",false
"_ZN2al14CameraDirector39initAreaCameraSwitcherMultiForPrototypeEPNS_15AreaObjDirectorE","al::CameraDirector::initAreaCameraSwitcherMultiForPrototype(al::AreaObjDirector *)",false
"_ZNK2al14CameraDirector14getCameraInputEi","al::CameraDirector::getCameraInput(int)const",false
"_ZN2al14CameraDirector14setCameraInputEPKNS_12ICameraInputE","al::CameraDirector::setCameraInput(al::ICameraInput const*)",false
"_ZN2al14CameraDirector18setViewCameraInputEPKNS_12ICameraInputEi","al::CameraDirector::setViewCameraInput(al::ICameraInput const*,int)",false
"_ZN2al14CameraDirector28initAreaCameraSwitcherSingleEv","al::CameraDirector::initAreaCameraSwitcherSingle(void)",false
"_ZN2al14CameraDirector18initResourceHolderEPKNS_20CameraResourceHolderE","al::CameraDirector::initResourceHolder(al::CameraResourceHolder const*)",false
"_ZN2al14CameraDirector24registerCameraRailHolderEPNS_16CameraRailHolderE","al::CameraDirector::registerCameraRailHolder(al::CameraRailHolder *)",false
"_ZN2al14CameraDirector19initSceneFovyDegreeEf","al::CameraDirector::initSceneFovyDegree(float)",false
"_ZN2al14CameraDirector31setCameraParamTransferFuncTableEPKNS_29NameToCameraParamTransferFuncEi","al::CameraDirector::setCameraParamTransferFuncTable(al::NameToCameraParamTransferFunc const*,int)",false
"_ZN2al14CameraDirector19initSettingCloudSeaEf","al::CameraDirector::initSettingCloudSea(float)",false
"_ZN2al14CameraDirector29initSnapShotCameraAudioKeeperEPNS_15IUseAudioKeeperE","al::CameraDirector::initSnapShotCameraAudioKeeper(al::IUseAudioKeeper *)",false
"_ZN2al14CameraDirector28initAndCreatePauseCameraCtrlEf","al::CameraDirector::initAndCreatePauseCameraCtrl(float)",false
"_ZNK2al14CameraDirector18getSceneFovyDegreeEv","al::CameraDirector::getSceneFovyDegree(void)const",false
"_ZN2al14CameraDirector20validateCameraArea2DEv","al::CameraDirector::validateCameraArea2D(void)",false
"_ZN2al14CameraDirector22invalidateCameraArea2DEv","al::CameraDirector::invalidateCameraArea2D(void)",false
"_ZN2al14CameraDirector17stopByDeathPlayerEv","al::CameraDirector::stopByDeathPlayer(void)",false
"_ZN2al14CameraDirector20restartByDeathPlayerEv","al::CameraDirector::restartByDeathPlayer(void)",false
"_ZN2al14CameraDirector27startInvalidStopJudgeByDemoEv","al::CameraDirector::startInvalidStopJudgeByDemo(void)",false
"_ZN2al14CameraDirector25endInvalidStopJudgeByDemoEv","al::CameraDirector::endInvalidStopJudgeByDemo(void)",false
"_ZN2al14CameraDirector17startSnapShotModeEb","al::CameraDirector::startSnapShotMode(bool)",false
"_ZN2al14CameraDirector15endSnapShotModeEv","al::CameraDirector::endSnapShotMode(void)",false
