Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23CameraSwitchRequestInfoC2Ev","al::CameraSwitchRequestInfo::CameraSwitchRequestInfo(void)",false
"_ZN2al23CameraSwitchRequestInfo10addRequestEPNS_12CameraTicketEib","al::CameraSwitchRequestInfo::addRequest(al::CameraTicket *,int,bool)",false
"_ZN2al23CameraSwitchRequestInfo28addRequestWithNextCameraPoseEPNS_12CameraTicketEPKNS_14CameraPoseInfoEi","al::CameraSwitchRequestInfo::addRequestWithNextCameraPose(al::CameraTicket *,al::CameraPoseInfo const*,int)",false
"_ZN2al23CameraSwitchRequestInfo23tryRemoveRequestIfExistEPNS_12CameraTicketE","al::CameraSwitchRequestInfo::tryRemoveRequestIfExist(al::CameraTicket *)",false
"_ZN2al23CameraSwitchRequestInfo5resetEv","al::CameraSwitchRequestInfo::reset(void)",false
"_ZN2al16CameraTargetBaseC2Ev","al::CameraTargetBase::CameraTargetBase(void)",false
"_ZNK2al16CameraTargetBase8calcSideEPN4sead7Vector3IfEE","al::CameraTargetBase::calcSide(sead::Vector3<float> *)const",false
"_ZNK2al16CameraTargetBase6calcUpEPN4sead7Vector3IfEE","al::CameraTargetBase::calcUp(sead::Vector3<float> *)const",false
"_ZNK2al16CameraTargetBase9calcFrontEPN4sead7Vector3IfEE","al::CameraTargetBase::calcFront(sead::Vector3<float> *)const",false
"_ZNK2al16CameraTargetBase12calcVelocityEPN4sead7Vector3IfEE","al::CameraTargetBase::calcVelocity(sead::Vector3<float> *)const",false
