Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18CameraTargetHolderC2Ei","al::CameraTargetHolder::CameraTargetHolder(int)",false
"_ZN2al18CameraTargetHolder18initAfterPlacementEPKNS_12PlayerHolderE","al::CameraTargetHolder::initAfterPlacement(al::PlayerHolder const*)",false
"_ZNK2al18CameraTargetHolder16tryGetViewTargetEi","al::CameraTargetHolder::tryGetViewTarget(int)const",false
"_ZN2al18CameraTargetHolder6updateEv","al::CameraTargetHolder::update(void)",false
"_ZN2al18CameraTargetHolder9addTargetEPNS_16CameraTargetBaseE","al::CameraTargetHolder::addTarget(al::CameraTargetBase *)",false
"_ZN2al18CameraTargetHolder12removeTargetEPNS_16CameraTargetBaseE","al::CameraTargetHolder::removeTarget(al::CameraTargetBase *)",false
"_ZNK2al18CameraTargetHolder13getViewTargetEi","al::CameraTargetHolder::getViewTarget(int)const",false
"_ZNK2al18CameraTargetHolder18isChangeViewTargetEi","al::CameraTargetHolder::isChangeViewTarget(int)const",false
"_ZNK2al18CameraTargetHolder15getTopSubTargetEv","al::CameraTargetHolder::getTopSubTarget(void)const",false
"_ZN2al18CameraTargetHolder12addSubTargetEPNS_19CameraSubTargetBaseE","al::CameraTargetHolder::addSubTarget(al::CameraSubTargetBase *)",false
"_ZN2al18CameraTargetHolder15removeSubTargetEPNS_19CameraSubTargetBaseE","al::CameraTargetHolder::removeSubTarget(al::CameraSubTargetBase *)",false
"_ZN2al18CameraTargetHolder21addPlacementSubTargetEPNS_19CameraSubTargetBaseE","al::CameraTargetHolder::addPlacementSubTarget(al::CameraSubTargetBase *)",false
"_ZN2al18CameraTargetHolder24removePlacementSubTargetEPNS_19CameraSubTargetBaseE","al::CameraTargetHolder::removePlacementSubTarget(al::CameraSubTargetBase *)",false
