Mangled Symbol, Demangled Symbol, Is Matched
"_ZNK2al20TransCameraSubTarget13getTargetNameEv","al::TransCameraSubTarget::getTargetName(void)const",false
"_ZNK2al20TransCameraSubTarget9calcTransEPN4sead7Vector3IfEE","al::TransCameraSubTarget::calcTrans(sead::Vector3<float> *)const",false
"_ZN2al14GyroCameraCtrlC2Ev","al::GyroCameraCtrl::GyroCameraCtrl(void)",false
"_ZN2al14GyroCameraCtrl5resetERKN4sead7Vector3IfEES5_S5_","al::GyroCameraCtrl::reset(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14GyroCameraCtrl6updateERKN4sead7Vector3IfEES5_S5_","al::GyroCameraCtrl::update(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14GyroCameraCtrl17reduceSensitivityEv","al::GyroCameraCtrl::reduceSensitivity(void)",false
"_ZN2al15PauseCameraCtrlC2Ef","al::PauseCameraCtrl::PauseCameraCtrl(float)",false
"_ZN2al19SceneCameraViewCtrlC2Ev","al::SceneCameraViewCtrl::SceneCameraViewCtrl(void)",false
"_ZN2al15SceneCameraCtrlC2Ev","al::SceneCameraCtrl::SceneCameraCtrl(void)",false
"_ZN2al15SceneCameraCtrl4initEi","al::SceneCameraCtrl::init(int)",false
