Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17SimpleCameraInputC2Ei","al::SimpleCameraInput::SimpleCameraInput(int)",false
"_ZNK2al17SimpleCameraInput14calcInputStickEPN4sead7Vector2IfEE","al::SimpleCameraInput::calcInputStick(sead::Vector2<float> *)const",false
"_ZNK2al17SimpleCameraInput14isTriggerResetEv","al::SimpleCameraInput::isTriggerReset(void)const",false
"_ZNK2al17SimpleCameraInput10isHoldZoomEv","al::SimpleCameraInput::isHoldZoom(void)const",false
"_ZNK2al17SimpleCameraInput20isHoldSnapShotZoomInEv","al::SimpleCameraInput::isHoldSnapShotZoomIn(void)const",false
"_ZNK2al17SimpleCameraInput21isHoldSnapShotZoomOutEv","al::SimpleCameraInput::isHoldSnapShotZoomOut(void)const",false
"_ZNK2al12ICameraInput24tryCalcSnapShotMoveStickEPN4sead7Vector2IfEE","al::ICameraInput::tryCalcSnapShotMoveStick(sead::Vector2<float> *)const",false
"_ZNK2al12ICameraInput22isHoldSnapShotRollLeftEv","al::ICameraInput::isHoldSnapShotRollLeft(void)const",false
"_ZNK2al12ICameraInput23isHoldSnapShotRollRightEv","al::ICameraInput::isHoldSnapShotRollRight(void)const",false
"_ZNK2al12ICameraInput12calcGyroPoseEPN4sead7Vector3IfEES4_S4_","al::ICameraInput::calcGyroPose(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> *)const",false
