Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18SnapShotCameraCtrlC1EPKNS_23SnapShotCameraSceneInfoE","al::SnapShotCameraCtrl::SnapShotCameraCtrl(al::SnapShotCameraSceneInfo const*)",false
"_ZN2al18SnapShotCameraCtrl5startEf","al::SnapShotCameraCtrl::start(float)",false
"_ZN2al18SnapShotCameraCtrl4loadERKNS_9ByamlIterE","al::SnapShotCameraCtrl::load(al::ByamlIter const&)",false
"_ZN2al18SnapShotCameraCtrl10startResetEi","al::SnapShotCameraCtrl::startReset(int)",false
"_ZN2al18SnapShotCameraCtrl6updateERKN4sead12LookAtCameraEPKNS_13IUseCollisionEPKNS_12ICameraInputE","al::SnapShotCameraCtrl::update(sead::LookAtCamera const&,al::IUseCollision const*,al::ICameraInput const*)",false
"_ZNK2al18SnapShotCameraCtrl20makeLookAtCameraPostEPN4sead12LookAtCameraE","al::SnapShotCameraCtrl::makeLookAtCameraPost(sead::LookAtCamera *)const",false
"_ZNK2al18SnapShotCameraCtrl20makeLookAtCameraLastEPN4sead12LookAtCameraE","al::SnapShotCameraCtrl::makeLookAtCameraLast(sead::LookAtCamera *)const",false
"_ZN2al18SnapShotCameraCtrl7exeWaitEv","al::SnapShotCameraCtrl::exeWait(void)",false
"_ZN2al18SnapShotCameraCtrl8exeResetEv","al::SnapShotCameraCtrl::exeReset(void)",false
"_ZNK2al18SnapShotCameraCtrl14getAudioKeeperEv","al::SnapShotCameraCtrl::getAudioKeeper(void)const",false
"_ZThn16_NK2al18SnapShotCameraCtrl14getAudioKeeperEv","`non-virtual thunk to'al::SnapShotCameraCtrl::getAudioKeeper(void)const",false
"_ZN2al18SnapShotCameraCtrlD0Ev","al::SnapShotCameraCtrl::~SnapShotCameraCtrl()",false
"nullsub_453","",false
"sub_7100840B44","",false
