Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19ClippingActorHolderC2Ei","al::ClippingActorHolder::ClippingActorHolder(int)",false
"_ZN2al19ClippingActorHolder11updateAsyncEPN4sead6ThreadEl","al::ClippingActorHolder::updateAsync(sead::Thread *,long)",false
"_ZN2al19ClippingActorHolderD2Ev","al::ClippingActorHolder::~ClippingActorHolder()",false
"_ZN2al19ClippingActorHolder6updateEPKNS_13ClippingJudgeE","al::ClippingActorHolder::update(al::ClippingJudge const*)",false
"_ZN2al19ClippingActorHolder13registerActorEPNS_9LiveActorE","al::ClippingActorHolder::registerActor(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder17initGroupClippingEPNS_9LiveActorERKNS_13ActorInitInfoE","al::ClippingActorHolder::initGroupClipping(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al19ClippingActorHolder7endInitEPNS_19ClippingGroupHolderE","al::ClippingActorHolder::endInit(al::ClippingGroupHolder *)",false
"_ZN2al19ClippingActorHolder16validateClippingEPNS_9LiveActorE","al::ClippingActorHolder::validateClipping(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder18invalidateClippingEPNS_9LiveActorE","al::ClippingActorHolder::invalidateClipping(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder19addToClippingTargetEPNS_9LiveActorE","al::ClippingActorHolder::addToClippingTarget(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder24removeFromClippingTargetEPNS_9LiveActorE","al::ClippingActorHolder::removeFromClippingTarget(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder15onGroupClippingEPNS_9LiveActorE","al::ClippingActorHolder::onGroupClipping(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder16offGroupClippingEPNS_9LiveActorE","al::ClippingActorHolder::offGroupClipping(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder17getClippingRadiusEPKNS_9LiveActorE","al::ClippingActorHolder::getClippingRadius(al::LiveActor const*)",false
"_ZNK2al19ClippingActorHolder4findEPKNS_9LiveActorE","al::ClippingActorHolder::find(al::LiveActor const*)const",false
"_ZN2al19ClippingActorHolder20getClippingCenterPosEPKNS_9LiveActorE","al::ClippingActorHolder::getClippingCenterPos(al::LiveActor const*)",false
"_ZN2al19ClippingActorHolder15setTypeToSphereEPNS_9LiveActorEfPKN4sead7Vector3IfEE","al::ClippingActorHolder::setTypeToSphere(al::LiveActor *,float,sead::Vector3<float> const*)",false
"_ZN2al19ClippingActorHolder12setTypeToObbEPNS_9LiveActorERKN4sead9BoundBox3IfEE","al::ClippingActorHolder::setTypeToObb(al::LiveActor *,sead::BoundBox3<float> const&)",false
"_ZN2al19ClippingActorHolder14getClippingObbEPKNS_9LiveActorE","al::ClippingActorHolder::getClippingObb(al::LiveActor const*)",false
"_ZN2al19ClippingActorHolder19setNearClipDistanceEPNS_9LiveActorEf","al::ClippingActorHolder::setNearClipDistance(al::LiveActor *,float)",false
"_ZN2al19ClippingActorHolder18setFarClipLevel20MEPNS_9LiveActorE","al::ClippingActorHolder::setFarClipLevel20M(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder18setFarClipLevelMaxEPNS_9LiveActorE","al::ClippingActorHolder::setFarClipLevelMax(al::LiveActor *)",false
"_ZN2al19ClippingActorHolder18updateFarClipLevelEv","al::ClippingActorHolder::updateFarClipLevel(void)",false
"_ZN4sead9Delegate2IN2al19ClippingActorHolderEPNS_6ThreadElE6invokeES4_l","sead::Delegate2<al::ClippingActorHolder,sead::Thread *,long>::invoke(sead::Thread *,long)",false
"_ZNK4sead9Delegate2IN2al19ClippingActorHolderEPNS_6ThreadElE5cloneEPNS_4HeapE","sead::Delegate2<al::ClippingActorHolder,sead::Thread *,long>::clone(sead::Heap *)const",false
