Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17ClippingActorInfoC1EPNS_9LiveActorE","al::ClippingActorInfo::ClippingActorInfo(al::LiveActor *)",false
"_ZN2al17ClippingActorInfo15setTypeToSphereEfPKN4sead7Vector3IfEE","al::ClippingActorInfo::setTypeToSphere(float,sead::Vector3<float> const*)",false
"_ZN2al17ClippingActorInfo12startClippedEv","al::ClippingActorInfo::startClipped(void)",false
"_ZN2al17ClippingActorInfo10endClippedEv","al::ClippingActorInfo::endClipped(void)",false
"_ZN2al17ClippingActorInfo14updateClippingEPKNS_13ClippingJudgeE","al::ClippingActorInfo::updateClipping(al::ClippingJudge const*)",false
"_ZNK2al17ClippingActorInfo13judgeClippingEPKNS_13ClippingJudgeE","al::ClippingActorInfo::judgeClipping(al::ClippingJudge const*)const",false
"_ZN2al17ClippingActorInfo14updateClippingEPNS_21ClippingRequestKeeperEPKNS_13ClippingJudgeE","al::ClippingActorInfo::updateClipping(al::ClippingRequestKeeper *,al::ClippingJudge const*)",false
"_ZNK2al17ClippingActorInfo15isGroupClippingEv","al::ClippingActorInfo::isGroupClipping(void)const",false
"_ZNK2al17ClippingActorInfo19isGroupClippingInitEv","al::ClippingActorInfo::isGroupClippingInit(void)const",false
"_ZN2al17ClippingActorInfo12setTypeToObbERKN4sead9BoundBox3IfEEPKNS1_8Matrix34IfEE","al::ClippingActorInfo::setTypeToObb(sead::BoundBox3<float> const&,sead::Matrix34<float> const*)",false
"_ZN2al17ClippingActorInfo18setGroupClippingIdERKNS_13ActorInitInfoE","al::ClippingActorInfo::setGroupClippingId(al::ActorInitInfo const&)",false
"_ZN2al17ClippingActorInfo18setFarClipLevel20MEv","al::ClippingActorInfo::setFarClipLevel20M(void)",false
"_ZN2al17ClippingActorInfo18updateFarClipLevelEv","al::ClippingActorInfo::updateFarClipLevel(void)",false
"_ZN2al17ClippingActorInfo18setFarClipLevelMaxEv","al::ClippingActorInfo::setFarClipLevelMax(void)",false
"_ZNK2al17ClippingActorInfo17isFarClipLevelMaxEv","al::ClippingActorInfo::isFarClipLevelMax(void)const",false
"_ZNK2al17ClippingActorInfo23checkActiveViewGroupAnyEv","al::ClippingActorInfo::checkActiveViewGroupAny(void)const",false
"_ZN2al17ClippingActorInfo13initViewGroupEPKNS_12ViewIdHolderE","al::ClippingActorInfo::initViewGroup(al::ViewIdHolder const*)",false
"_ZN2al17ClippingActorInfo28registerViewGroupFarClipFlagEPKb","al::ClippingActorInfo::registerViewGroupFarClipFlag(bool const*)",false
