Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17ClippingInfoGroupC2Ev","al::ClippingInfoGroup::ClippingInfoGroup(void)",false
"_ZN2al17ClippingInfoGroup12registerInfoEPNS_17ClippingActorInfoE","al::ClippingInfoGroup::registerInfo(al::ClippingActorInfo *)",false
"_ZN2al17ClippingInfoGroup10removeInfoEPNS_17ClippingActorInfoE","al::ClippingInfoGroup::removeInfo(al::ClippingActorInfo *)",false
"_ZN2al17ClippingInfoGroup8addCountEv","al::ClippingInfoGroup::addCount(void)",false
"_ZN2al17ClippingInfoGroup11allocBufferEv","al::ClippingInfoGroup::allocBuffer(void)",false
"_ZN2al17ClippingInfoGroup10setGroupIdEPKNS_17ClippingActorInfoE","al::ClippingInfoGroup::setGroupId(al::ClippingActorInfo const*)",false
"_ZNK2al17ClippingInfoGroup14isEqualGroupIdEPKNS_11PlacementIdE","al::ClippingInfoGroup::isEqualGroupId(al::PlacementId const*)const",false
"_ZNK2al17ClippingInfoGroup16judgeClippingAllEPKNS_13ClippingJudgeE","al::ClippingInfoGroup::judgeClippingAll(al::ClippingJudge const*)const",false
"_ZN2al17ClippingInfoGroup15startClippedAllEv","al::ClippingInfoGroup::startClippedAll(void)",false
"_ZN2al17ClippingInfoGroup13endClippedAllEv","al::ClippingInfoGroup::endClippedAll(void)",false
