Mangled Symbol, Demangled Symbol, Is Matched
"_ZN23alCollisionCodeFunction26tyrCreateCollisionCodeListEPKc","alCollisionCodeFunction::tyrCreateCollisionCodeList(char const*)",false
"_ZN23alCollisionCodeFunction27tyrGetCollisionRelationListEPKN2al17CollisionCodeListEPKc","alCollisionCodeFunction::tyrGetCollisionRelationList(al::CollisionCodeList const*,char const*)",false
"_ZN23alCollisionCodeFunction16getCodeNameByIdxEPKN2al17CollisionCodeListEi","alCollisionCodeFunction::getCodeNameByIdx(al::CollisionCodeList const*,int)",false
"_ZN23alCollisionCodeFunction16getDispNameByIdxEPKN2al17CollisionCodeListEi","alCollisionCodeFunction::getDispNameByIdx(al::CollisionCodeList const*,int)",false
"_ZN23alCollisionCodeFunction16getIdxByCodeNameEPKN2al17CollisionCodeListEPKc","alCollisionCodeFunction::getIdxByCodeName(al::CollisionCodeList const*,char const*)",false
"_ZN23alCollisionCodeFunction15isExistCodeNameEPKN2al17CollisionCodeListEPKc","alCollisionCodeFunction::isExistCodeName(al::CollisionCodeList const*,char const*)",false
"_ZN23alCollisionCodeFunction15isValidUserTypeEPKN2al17CollisionCodeListEPKc","alCollisionCodeFunction::isValidUserType(al::CollisionCodeList const*,char const*)",false
"_ZN23alCollisionCodeFunction21judgeIsBetterCodeNameEPKN2al17CollisionCodeListEPKcS5_S5_S5_","alCollisionCodeFunction::judgeIsBetterCodeName(al::CollisionCodeList const*,char const*,char const*,char const*,char const*)",false
"_ZN23alCollisionCodeFunction33judgeIsBetterCodeNameWithAreaNameEPKN2al25CollisionCodeRelationListEPKcS5_S5_S5_S5_S5_","alCollisionCodeFunction::judgeIsBetterCodeNameWithAreaName(al::CollisionCodeRelationList const*,char const*,char const*,char const*,char const*,char const*,char const*)",false
"sub_7100846834","",false
