Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13DiskCheckInfoC2ERKN4sead7Vector3IfEEffS5_","al::DiskCheckInfo::DiskCheckInfo(sead::Vector3<float> const&,float,float,sead::Vector3<float> const&)",false
"nullsub_454","",false
"sub_710084A168","",false
"sub_710084A20C","",false
"sub_710084A2B0","",false
"nullsub_455","",false
"sub_710084A2EC","",false
"sub_710084A390","",false
"sub_710084A454","",false
"sub_710084A464","",false
"sub_710084A510","",false
"sub_710084A5C0","",false
"sub_710084A648","",false
"_ZN2al26CollisionPartsKeeperOctreeC2Eiif","al::CollisionPartsKeeperOctree::CollisionPartsKeeperOctree(int,int,float)",false
"_ZN2al26CollisionPartsKeeperOctree7endInitEv","al::CollisionPartsKeeperOctree::endInit(void)",false
"_ZN2al26CollisionPartsKeeperOctree30insertMovingPartsListToOctNodeEv","al::CollisionPartsKeeperOctree::insertMovingPartsListToOctNode(void)",false
"_ZN2al26CollisionPartsKeeperOctree17addCollisionPartsEPNS_14CollisionPartsE","al::CollisionPartsKeeperOctree::addCollisionParts(al::CollisionParts *)",false
"_ZN2al26CollisionPartsKeeperOctree27connectToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperOctree::connectToCollisionPartsList(al::CollisionParts *)",false
"_ZN2al26CollisionPartsKeeperOctree17insertLooseOctreeEPNS0_7OctNodeEPNS_14CollisionPartsE","al::CollisionPartsKeeperOctree::insertLooseOctree(al::CollisionPartsKeeperOctree::OctNode *,al::CollisionParts *)",false
"_ZN2al26CollisionPartsKeeperOctree30disconnectToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperOctree::disconnectToCollisionPartsList(al::CollisionParts *)",false
"_ZN2al26CollisionPartsKeeperOctree25resetToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperOctree::resetToCollisionPartsList(al::CollisionParts *)",false
"_ZNK2al26CollisionPartsKeeperOctree16checkStrikePointEPNS_7HitInfoERKNS_22CollisionCheckInfoBaseE","al::CollisionPartsKeeperOctree::checkStrikePoint(al::HitInfo *,al::CollisionCheckInfoBase const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree17checkStrikeSphereEPNS_21SphereHitResultBufferERKNS_15SphereCheckInfoEbRKN4sead7Vector3IfEE","al::CollisionPartsKeeperOctree::checkStrikeSphere(al::SphereHitResultBuffer *,al::SphereCheckInfo const&,bool,sead::Vector3<float> const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree26checkStrikeSphereRecursiveEPNS_21SphereHitResultBufferERKNS_15SphereCheckInfoEPKNS0_7OctNodeEbRKN4sead7Vector3IfEEPFjS2_RKNS9_5TListIPNS_14CollisionPartsEEES5_bSD_E","al::CollisionPartsKeeperOctree::checkStrikeSphereRecursive(al::SphereHitResultBuffer *,al::SphereCheckInfo const&,al::CollisionPartsKeeperOctree::OctNode const*,bool,sead::Vector3<float> const&,unsigned int (*)(al::SphereHitResultBuffer *,sead::TList<al::CollisionParts *> const&,al::SphereCheckInfo const&,bool,sead::Vector3<float> const&))const",false
"_ZNK2al26CollisionPartsKeeperOctree26checkStrikeSphereForPlayerEPNS_21SphereHitResultBufferERKNS_15SphereCheckInfoE","al::CollisionPartsKeeperOctree::checkStrikeSphereForPlayer(al::SphereHitResultBuffer *,al::SphereCheckInfo const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree15checkStrikeDiskEPNS_19DiskHitResultBufferERKNS_13DiskCheckInfoE","al::CollisionPartsKeeperOctree::checkStrikeDisk(al::DiskHitResultBuffer *,al::DiskCheckInfo const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree24checkStrikeDiskRecursiveEPNS_19DiskHitResultBufferERKNS_13DiskCheckInfoEPKNS0_7OctNodeE","al::CollisionPartsKeeperOctree::checkStrikeDiskRecursive(al::DiskHitResultBuffer *,al::DiskCheckInfo const&,al::CollisionPartsKeeperOctree::OctNode const*)const",false
"_ZNK2al26CollisionPartsKeeperOctree16searchWithSphereERKNS_15SphereCheckInfoERN4sead10IDelegate1IPNS_14CollisionPartsEEE","al::CollisionPartsKeeperOctree::searchWithSphere(al::SphereCheckInfo const&,sead::IDelegate1<al::CollisionParts *> &)const",false
"_ZNK2al26CollisionPartsKeeperOctree25searchWithSphereRecursiveERKNS_15SphereCheckInfoERN4sead10IDelegate1IPNS_14CollisionPartsEEEPKNS0_7OctNodeE","al::CollisionPartsKeeperOctree::searchWithSphereRecursive(al::SphereCheckInfo const&,sead::IDelegate1<al::CollisionParts *> &,al::CollisionPartsKeeperOctree::OctNode const*)const",false
"_ZNK2al26CollisionPartsKeeperOctree16checkStrikeArrowEPNS_20ArrowHitResultBufferERKNS_14ArrowCheckInfoE","al::CollisionPartsKeeperOctree::checkStrikeArrow(al::ArrowHitResultBuffer *,al::ArrowCheckInfo const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree25checkStrikeArrowRecursiveEPNS_20ArrowHitResultBufferERKNS_14ArrowCheckInfoEPKNS0_7OctNodeE","al::CollisionPartsKeeperOctree::checkStrikeArrowRecursive(al::ArrowHitResultBuffer *,al::ArrowCheckInfo const&,al::CollisionPartsKeeperOctree::OctNode const*)const",false
"_ZN2al26CollisionPartsKeeperOctree8movementEv","al::CollisionPartsKeeperOctree::movement(void)",false
"_ZN2al26CollisionPartsKeeperOctree36updateOctNodeCollisionPartsRecursiveEPNS0_7OctNodeE","al::CollisionPartsKeeperOctree::updateOctNodeCollisionPartsRecursive(al::CollisionPartsKeeperOctree::OctNode *)",false
"_ZNK2al26CollisionPartsKeeperOctree11isFitsInBoxEPKNS_14CollisionPartsERKN4sead9BoundBox3IfEE","al::CollisionPartsKeeperOctree::isFitsInBox(al::CollisionParts const*,sead::BoundBox3<float> const&)const",false
"_ZNK2al26CollisionPartsKeeperOctree20calcNodeCubeSizeHalfEi","al::CollisionPartsKeeperOctree::calcNodeCubeSizeHalf(int)const",false
"_ZN2al26CollisionPartsKeeperOctree27isEnableSearchNextDepthNodeEPKNS0_7OctNodeE","al::CollisionPartsKeeperOctree::isEnableSearchNextDepthNode(al::CollisionPartsKeeperOctree::OctNode const*)",false
"_ZNK2al26CollisionPartsKeeperOctree17isSphereFitsInBoxERKN4sead7Vector3IfEEfRKNS1_9BoundBox3IfEE","al::CollisionPartsKeeperOctree::isSphereFitsInBox(sead::Vector3<float> const&,float,sead::BoundBox3<float> const&)const",false
