Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al28CollisionPartsKeeperPtrArrayC2Ev","al::CollisionPartsKeeperPtrArray::CollisionPartsKeeperPtrArray(void)",false
"_ZNK2al28CollisionPartsKeeperPtrArray16checkStrikePointEPNS_7HitInfoERKNS_22CollisionCheckInfoBaseE","al::CollisionPartsKeeperPtrArray::checkStrikePoint(al::HitInfo *,al::CollisionCheckInfoBase const&)const",false
"_ZNK2al28CollisionPartsKeeperPtrArray17checkStrikeSphereEPNS_21SphereHitResultBufferERKNS_15SphereCheckInfoEbRKN4sead7Vector3IfEE","al::CollisionPartsKeeperPtrArray::checkStrikeSphere(al::SphereHitResultBuffer *,al::SphereCheckInfo const&,bool,sead::Vector3<float> const&)const",false
"_ZNK2al28CollisionPartsKeeperPtrArray16checkStrikeArrowEPNS_20ArrowHitResultBufferERKNS_14ArrowCheckInfoE","al::CollisionPartsKeeperPtrArray::checkStrikeArrow(al::ArrowHitResultBuffer *,al::ArrowCheckInfo const&)const",false
"_ZNK2al28CollisionPartsKeeperPtrArray26checkStrikeSphereForPlayerEPNS_21SphereHitResultBufferERKNS_15SphereCheckInfoE","al::CollisionPartsKeeperPtrArray::checkStrikeSphereForPlayer(al::SphereHitResultBuffer *,al::SphereCheckInfo const&)const",false
"_ZNK2al28CollisionPartsKeeperPtrArray15checkStrikeDiskEPNS_19DiskHitResultBufferERKNS_13DiskCheckInfoE","al::CollisionPartsKeeperPtrArray::checkStrikeDisk(al::DiskHitResultBuffer *,al::DiskCheckInfo const&)const",false
"_ZNK2al28CollisionPartsKeeperPtrArray16searchWithSphereERKNS_15SphereCheckInfoERN4sead10IDelegate1IPNS_14CollisionPartsEEE","al::CollisionPartsKeeperPtrArray::searchWithSphere(al::SphereCheckInfo const&,sead::IDelegate1<al::CollisionParts *> &)const",false
"_ZN2al28CollisionPartsKeeperPtrArray7endInitEv","al::CollisionPartsKeeperPtrArray::endInit(void)",false
"_ZN2al28CollisionPartsKeeperPtrArray17addCollisionPartsEPNS_14CollisionPartsE","al::CollisionPartsKeeperPtrArray::addCollisionParts(al::CollisionParts *)",false
"_ZN2al28CollisionPartsKeeperPtrArray27connectToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperPtrArray::connectToCollisionPartsList(al::CollisionParts *)",false
"_ZN2al28CollisionPartsKeeperPtrArray30disconnectToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperPtrArray::disconnectToCollisionPartsList(al::CollisionParts *)",false
"_ZN2al28CollisionPartsKeeperPtrArray25resetToCollisionPartsListEPNS_14CollisionPartsE","al::CollisionPartsKeeperPtrArray::resetToCollisionPartsList(al::CollisionParts *)",false
"_ZN2al28CollisionPartsKeeperPtrArray8movementEv","al::CollisionPartsKeeperPtrArray::movement(void)",false
