Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19getMaterialCodeNameERKNS_8TriangleE","al::getMaterialCodeName(al::Triangle const&)",false
"_ZN2al20getCollisionCodeNameERKNS_8TriangleEPKc","al::getCollisionCodeName(al::Triangle const&,char const*)",false
"_ZN2al16getFloorCodeNameERKNS_8TriangleE","al::getFloorCodeName(al::Triangle const&)",false
"_ZN2al15getWallCodeNameERKNS_8TriangleE","al::getWallCodeName(al::Triangle const&)",false
"_ZN2al17getCameraCodeNameERKNS_8TriangleE","al::getCameraCodeName(al::Triangle const&)",false
"_ZN2al19getMaterialCodeNameEPKNS_7HitInfoE","al::getMaterialCodeName(al::HitInfo const*)",false
"_ZN2al16getFloorCodeNameEPKNS_7HitInfoE","al::getFloorCodeName(al::HitInfo const*)",false
"_ZN2al15getWallCodeNameEPKNS_7HitInfoE","al::getWallCodeName(al::HitInfo const*)",false
"_ZN2al17getCameraCodeNameEPKNS_7HitInfoE","al::getCameraCodeName(al::HitInfo const*)",false
"_ZN2al20getCollisionCodeNameEPKNS_7HitInfoEPKc","al::getCollisionCodeName(al::HitInfo const*,char const*)",false
"_ZN2al14isMaterialCodeERKNS_8TriangleEPKc","al::isMaterialCode(al::Triangle const&,char const*)",false
"_ZN2al11isFloorCodeERKNS_8TriangleEPKc","al::isFloorCode(al::Triangle const&,char const*)",false
"_ZN2al10isWallCodeERKNS_8TriangleEPKc","al::isWallCode(al::Triangle const&,char const*)",false
"_ZN2al12isCameraCodeERKNS_8TriangleEPKc","al::isCameraCode(al::Triangle const&,char const*)",false
"_ZN2al15isCollisionCodeERKNS_8TriangleEPKcS4_","al::isCollisionCode(al::Triangle const&,char const*,char const*)",false
"_ZN2al14isMaterialCodeEPKNS_7HitInfoEPKc","al::isMaterialCode(al::HitInfo const*,char const*)",false
"_ZN2al11isFloorCodeEPKNS_7HitInfoEPKc","al::isFloorCode(al::HitInfo const*,char const*)",false
"_ZN2al10isWallCodeEPKNS_7HitInfoEPKc","al::isWallCode(al::HitInfo const*,char const*)",false
"_ZN2al12isCameraCodeEPKNS_7HitInfoEPKc","al::isCameraCode(al::HitInfo const*,char const*)",false
"_ZN2al15isCollisionCodeEPKNS_7HitInfoEPKcS4_","al::isCollisionCode(al::HitInfo const*,char const*,char const*)",false
"_ZN2al21getSpecialPurposeNameEPKNS_7HitInfoE","al::getSpecialPurposeName(al::HitInfo const*)",false
"_ZN2al16isCollisionValidEPKNS_14CollisionPartsE","al::isCollisionValid(al::CollisionParts const*)",false
"_ZN2al17isCollisionMovingEPKNS_14CollisionPartsE","al::isCollisionMoving(al::CollisionParts const*)",false
"_ZN2al18calcForceMovePowerEPN4sead7Vector3IfEEPKNS_14CollisionPartsERKS2_","al::calcForceMovePower(sead::Vector3<float> *,al::CollisionParts const*,sead::Vector3<float> const&)",false
"_ZN2al30calcForceMovePowerExceptNormalEPN4sead7Vector3IfEEPKNS_14CollisionPartsERKS2_S8_","al::calcForceMovePowerExceptNormal(sead::Vector3<float> *,al::CollisionParts const*,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN15alCollisionUtil23getCollisionPartsKeeperEPKN2al13IUseCollisionE","alCollisionUtil::getCollisionPartsKeeper(al::IUseCollision const*)",false
"_ZN15alCollisionUtil17isCollisionMovingEPKN2al7HitInfoE","alCollisionUtil::isCollisionMoving(al::HitInfo const*)",false
"_ZN15alCollisionUtil18getCollisionHitPosEPKN2al7HitInfoE","alCollisionUtil::getCollisionHitPos(al::HitInfo const*)",false
"_ZN15alCollisionUtil21getCollisionHitNormalEPKN2al7HitInfoE","alCollisionUtil::getCollisionHitNormal(al::HitInfo const*)",false
"_ZN15alCollisionUtil26getCollisionMovingReactionEPKN2al7HitInfoE","alCollisionUtil::getCollisionMovingReaction(al::HitInfo const*)",false
"_ZN15alCollisionUtil21getCollisionHitSensorEPKN2al7HitInfoE","alCollisionUtil::getCollisionHitSensor(al::HitInfo const*)",false
"_ZN15alCollisionUtil20getCollisionHitPartsEPKN2al7HitInfoE","alCollisionUtil::getCollisionHitParts(al::HitInfo const*)",false
"_ZN15alCollisionUtil20getCollisionHitActorEPKN2al7HitInfoE","alCollisionUtil::getCollisionHitActor(al::HitInfo const*)",false
"_ZN15alCollisionUtil17checkStrikeSphereEPKN2al13IUseCollisionERKN4sead7Vector3IfEEfPKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeSphere(al::IUseCollision const*,sead::Vector3<float> const&,float,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil31checkStrikeSphereMovingReactionEPKN2al13IUseCollisionERKN4sead7Vector3IfEEfS8_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeSphereMovingReaction(al::IUseCollision const*,sead::Vector3<float> const&,float,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil15checkStrikeDiskEPKN2al13IUseCollisionERKN4sead7Vector3IfEEffS8_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeDisk(al::IUseCollision const*,sead::Vector3<float> const&,float,float,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil16checkStrikeArrowEPKN2al13IUseCollisionERKN4sead7Vector3IfEES8_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeArrow(al::IUseCollision const*,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil26checkStrikeSphereForPlayerEPKN2al13IUseCollisionERKN4sead7Vector3IfEEfPKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeSphereForPlayer(al::IUseCollision const*,sead::Vector3<float> const&,float,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil19getFirstPolyOnArrowEPKN2al13IUseCollisionEPPKNS0_12ArrowHitInfoERKN4sead7Vector3IfEESC_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getFirstPolyOnArrow(al::IUseCollision const*,al::ArrowHitInfo const**,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil18getStrikeArrowInfoEPKN2al13IUseCollisionEj","alCollisionUtil::getStrikeArrowInfo(al::IUseCollision const*,unsigned int)",false
"_ZN15alCollisionUtil19getFirstPolyOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEEPNS0_8TriangleERKS6_SB_PKc","alCollisionUtil::getFirstPolyOnArrow(al::IUseCollision const*,sead::Vector3<float> *,al::Triangle *,sead::Vector3<float> const&,sead::Vector3<float> const&,char const*)",false
"_ZN15alCollisionUtil19getFirstPolyOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEEPNS0_8TriangleERKS6_SB_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getFirstPolyOnArrow(al::IUseCollision const*,sead::Vector3<float> *,al::Triangle *,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil16getHitPosOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEERKS6_S9_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getHitPosOnArrow(al::IUseCollision const*,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil25getHitPosAndNormalOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEES7_RKS6_S9_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getHitPosAndNormalOnArrow(al::IUseCollision const*,sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil34getHitPosAndNormalAndSensorOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEES7_PPNS0_9HitSensorERKS6_SC_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getHitPosAndNormalAndSensorOnArrow(al::IUseCollision const*,sead::Vector3<float> *,sead::Vector3<float> *,al::HitSensor **,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil30getFirstCollisionSensorOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEEPPNS0_9HitSensorERKS6_SC_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getFirstCollisionSensorOnArrow(al::IUseCollision const*,sead::Vector3<float> *,al::HitSensor **,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil29getLastCollisionSensorOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEEPPNS0_9HitSensorERKS6_SC_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getLastCollisionSensorOnArrow(al::IUseCollision const*,sead::Vector3<float> *,al::HitSensor **,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil18getLastPolyOnArrowEPKN2al13IUseCollisionEPN4sead7Vector3IfEEPNS0_8TriangleERKS6_SB_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getLastPolyOnArrow(al::IUseCollision const*,sead::Vector3<float> *,al::Triangle *,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil18getLastPolyOnArrowEPKN2al13IUseCollisionEPPKNS0_12ArrowHitInfoERKN4sead7Vector3IfEESC_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getLastPolyOnArrow(al::IUseCollision const*,al::ArrowHitInfo const**,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil28getStrikeArrowCollisionPartsEPKN2al13IUseCollisionEPN4sead7Vector3IfEERKS6_S9_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::getStrikeArrowCollisionParts(al::IUseCollision const*,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil32tryGetStrikeArrowCollisionSensorEPKN2al13IUseCollisionERKN4sead7Vector3IfEES8_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::tryGetStrikeArrowCollisionSensor(al::IUseCollision const*,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil21getStrikeArrowInfoNumEPKN2al13IUseCollisionE","alCollisionUtil::getStrikeArrowInfoNum(al::IUseCollision const*)",false
"_ZN15alCollisionUtil19getStrikeSphereInfoEPKN2al13IUseCollisionEj","alCollisionUtil::getStrikeSphereInfo(al::IUseCollision const*,unsigned int)",false
"_ZN15alCollisionUtil22getStrikeSphereInfoNumEPKN2al13IUseCollisionE","alCollisionUtil::getStrikeSphereInfoNum(al::IUseCollision const*)",false
"_ZN15alCollisionUtil21getStrikeSphereHitPosEPKN2al13IUseCollisionEj","alCollisionUtil::getStrikeSphereHitPos(al::IUseCollision const*,unsigned int)",false
"_ZN15alCollisionUtil17getStrikeDiskInfoEPKN2al13IUseCollisionEj","alCollisionUtil::getStrikeDiskInfo(al::IUseCollision const*,unsigned int)",false
"_ZN15alCollisionUtil20getStrikeDiskInfoNumEPKN2al13IUseCollisionE","alCollisionUtil::getStrikeDiskInfoNum(al::IUseCollision const*)",false
"_ZN15alCollisionUtil19getStrikeDiskHitPosEPKN2al13IUseCollisionEj","alCollisionUtil::getStrikeDiskHitPos(al::IUseCollision const*,unsigned int)",false
"_ZN15alCollisionUtil14isInvalidPartsERKN2al14CollisionPartsERKNS0_22CollisionCheckInfoBaseE","alCollisionUtil::isInvalidParts(al::CollisionParts const&,al::CollisionCheckInfoBase const&)",false
"_ZN15alCollisionUtil9isFarAwayERKN2al14CollisionPartsERKN4sead7Vector3IfEEf","alCollisionUtil::isFarAway(al::CollisionParts const&,sead::Vector3<float> const&,float)",false
"_ZN15alCollisionUtil21checkStrikeSphereMoveEPKN2al13IUseCollisionEPNS_17SphereMoveHitInfoEiRKN4sead7Vector3IfEEfSA_PKNS0_24CollisionPartsFilterBaseEPKNS0_18TriangleFilterBaseE","alCollisionUtil::checkStrikeSphereMove(al::IUseCollision const*,alCollisionUtil::SphereMoveHitInfo *,int,sead::Vector3<float> const&,float,sead::Vector3<float> const&,al::CollisionPartsFilterBase const*,al::TriangleFilterBase const*)",false
"_ZN15alCollisionUtil17SphereMoveHitInfo7compareERKS0_S2_","alCollisionUtil::SphereMoveHitInfo::compare(alCollisionUtil::SphereMoveHitInfo const&,alCollisionUtil::SphereMoveHitInfo const&)",false
"_ZN15alCollisionUtil20searchCollisionPartsEPKN2al13IUseCollisionERKN4sead7Vector3IfEEfRNS4_10IDelegate1IPNS0_14CollisionPartsEEEPKNS0_24CollisionPartsFilterBaseE","alCollisionUtil::searchCollisionParts(al::IUseCollision const*,sead::Vector3<float> const&,float,sead::IDelegate1<al::CollisionParts *> &,al::CollisionPartsFilterBase const*)",false
