Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al8TriangleC2Ev","al::Triangle::Triangle(void)",false
"_ZN2al8TriangleC2ERKNS_14CollisionPartsEPKNS_11KCPrismDataEPKNS_13KCPrismHeaderE","al::Triangle::Triangle(al::CollisionParts const&,al::KCPrismData const*,al::KCPrismHeader const*)",false
"_ZN2al8Triangle8fillDataERKNS_14CollisionPartsEPKNS_11KCPrismDataEPKNS_13KCPrismHeaderE","al::Triangle::fillData(al::CollisionParts const&,al::KCPrismData const*,al::KCPrismHeader const*)",false
"_ZN2al8Triangle4fillERKN4sead7Vector3IfEES5_S5_","al::Triangle::fill(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZNK2al8Triangle12getHostActorEv","al::Triangle::getHostActor(void)const",false
"_ZNK2al8Triangle11isHostMovedEv","al::Triangle::isHostMoved(void)const",false
"_ZNK2al8Triangle7isValidEv","al::Triangle::isValid(void)const",false
"_ZNK2al8Triangle9getNormalEi","al::Triangle::getNormal(int)const",false
"_ZNK2al8Triangle13getFaceNormalEv","al::Triangle::getFaceNormal(void)const",false
"_ZNK2al8Triangle13getEdgeNormalEi","al::Triangle::getEdgeNormal(int)const",false
"_ZNK2al8Triangle6getPosEi","al::Triangle::getPos(int)const",false
"_ZNK2al8Triangle13calcCenterPosEPN4sead7Vector3IfEE","al::Triangle::calcCenterPos(sead::Vector3<float> *)const",false
"_ZN2al8Triangle16calcAndGetNormalEi","al::Triangle::calcAndGetNormal(int)",false
"_ZN2al8Triangle20calcAndGetFaceNormalEv","al::Triangle::calcAndGetFaceNormal(void)",false
"_ZN2al8Triangle20calcAndGetEdgeNormalEi","al::Triangle::calcAndGetEdgeNormal(int)",false
"_ZN2al8Triangle13calcAndGetPosEi","al::Triangle::calcAndGetPos(int)",false
"_ZNK2al8Triangle11getLocalPosEPN4sead7Vector3IfEEi","al::Triangle::getLocalPos(sead::Vector3<float> *,int)const",false
"_ZNK2al8Triangle18calcForceMovePowerEPN4sead7Vector3IfEERKS3_","al::Triangle::calcForceMovePower(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al8Triangle20calcForceRotatePowerEPN4sead4QuatIfEE","al::Triangle::calcForceRotatePower(sead::Quat<float> *)const",false
"_ZNK2al8Triangle13getAttributesEPNS_9ByamlIterE","al::Triangle::getAttributes(al::ByamlIter *)const",false
"_ZNK2al8Triangle9getSensorEv","al::Triangle::getSensor(void)const",false
"_ZNK2al8Triangle10getBaseMtxEv","al::Triangle::getBaseMtx(void)const",false
"_ZNK2al8Triangle13getBaseInvMtxEv","al::Triangle::getBaseInvMtx(void)const",false
"_ZNK2al8Triangle14getPrevBaseMtxEv","al::Triangle::getPrevBaseMtx(void)const",false
"_ZeqRKN2al8TriangleES2_","operator==(al::Triangle const&,al::Triangle const&)",false
"_ZneRKN2al8TriangleES2_","operator!=(al::Triangle const&,al::Triangle const&)",false
