Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18createMtxConnectorEPKNS_9LiveActorE","al::createMtxConnector(al::LiveActor const*)",false
"_ZN2al18createMtxConnectorEPKNS_9LiveActorERKN4sead4QuatIfEE","al::createMtxConnector(al::LiveActor const*,sead::Quat<float> const&)",false
"_ZN2al21tryCreateMtxConnectorEPKNS_9LiveActorERKNS_13ActorInitInfoE","al::tryCreateMtxConnector(al::LiveActor const*,al::ActorInitInfo const&)",false
"_ZN2al21tryCreateMtxConnectorEPKNS_9LiveActorERKNS_13ActorInitInfoERKN4sead4QuatIfEE","al::tryCreateMtxConnector(al::LiveActor const*,al::ActorInitInfo const&,sead::Quat<float> const&)",false
"_ZN2al29createCollisionPartsConnectorEPKNS_9LiveActorERKN4sead4QuatIfEE","al::createCollisionPartsConnector(al::LiveActor const*,sead::Quat<float> const&)",false
"_ZN2al32tryCreateCollisionPartsConnectorEPKNS_9LiveActorERKNS_13ActorInitInfoE","al::tryCreateCollisionPartsConnector(al::LiveActor const*,al::ActorInitInfo const&)",false
"_ZN2al32tryCreateCollisionPartsConnectorEPKNS_9LiveActorERKNS_13ActorInitInfoERKN4sead4QuatIfEE","al::tryCreateCollisionPartsConnector(al::LiveActor const*,al::ActorInitInfo const&,sead::Quat<float> const&)",false
"_ZN2al24isMtxConnectorConnectingEPKNS_12MtxConnectorE","al::isMtxConnectorConnecting(al::MtxConnector const*)",false
"_ZN2al22disconnectMtxConnectorEPNS_12MtxConnectorE","al::disconnectMtxConnector(al::MtxConnector *)",false
"_ZN2al29attachMtxConnectorToCollisionEPNS_12MtxConnectorEPKNS_9LiveActorERKN4sead7Vector3IfEES9_","al::attachMtxConnectorToCollision(al::MtxConnector *,al::LiveActor const*,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al29attachMtxConnectorToCollisionEPNS_12MtxConnectorEPKNS_9LiveActorEb","al::attachMtxConnectorToCollision(al::MtxConnector *,al::LiveActor const*,bool)",false
"_ZN2al29attachMtxConnectorToCollisionEPNS_12MtxConnectorEPKNS_9LiveActorEff","al::attachMtxConnectorToCollision(al::MtxConnector *,al::LiveActor const*,float,float)",false
"_ZN2al34attachMtxConnectorToCollisionPartsEPNS_12MtxConnectorEPKNS_14CollisionPartsE","al::attachMtxConnectorToCollisionParts(al::MtxConnector *,al::CollisionParts const*)",false
"_ZN2al25setConnectorBaseQuatTransERKN4sead4QuatIfEERKNS0_7Vector3IfEEPNS_12MtxConnectorE","al::setConnectorBaseQuatTrans(sead::Quat<float> const&,sead::Vector3<float> const&,al::MtxConnector *)",false
"_ZN2al25setConnectorBaseQuatTransEPNS_9LiveActorEPNS_12MtxConnectorE","al::setConnectorBaseQuatTrans(al::LiveActor *,al::MtxConnector *)",false
"_ZN2al13connectPoseQTEPNS_9LiveActorEPKNS_12MtxConnectorE","al::connectPoseQT(al::LiveActor *,al::MtxConnector const*)",false
"_ZN2al13connectPoseQTEPNS_9LiveActorEPKNS_12MtxConnectorERKN4sead4QuatIfEERKNS5_7Vector3IfEE","al::connectPoseQT(al::LiveActor *,al::MtxConnector const*,sead::Quat<float> const&,sead::Vector3<float> const&)",false
"_ZN2al16connectPoseTransEPNS_9LiveActorEPKNS_12MtxConnectorERKN4sead7Vector3IfEE","al::connectPoseTrans(al::LiveActor *,al::MtxConnector const*,sead::Vector3<float> const&)",false
"_ZN2al14connectPoseMtxEPNS_9LiveActorEPKNS_12MtxConnectorERKN4sead8Matrix34IfEE","al::connectPoseMtx(al::LiveActor *,al::MtxConnector const*,sead::Matrix34<float> const&)",false
"_ZN2al16calcConnectTransEPN4sead7Vector3IfEEPKNS_12MtxConnectorERKS2_","al::calcConnectTrans(sead::Vector3<float> *,al::MtxConnector const*,sead::Vector3<float> const&)",false
"_ZN2al16calcConnectTransEPN4sead7Vector3IfEEPKNS_12MtxConnectorE","al::calcConnectTrans(sead::Vector3<float> *,al::MtxConnector const*)",false
"_ZN2al14calcConnectDirEPN4sead7Vector3IfEEPKNS_12MtxConnectorERKS2_","al::calcConnectDir(sead::Vector3<float> *,al::MtxConnector const*,sead::Vector3<float> const&)",false
"_ZN2al13calcConnectQTEPN4sead4QuatIfEEPNS0_7Vector3IfEEPKNS_12MtxConnectorERKS2_RKS5_","al::calcConnectQT(sead::Quat<float> *,sead::Vector3<float> *,al::MtxConnector const*,sead::Quat<float> const&,sead::Vector3<float> const&)",false
"_ZN2al13calcConnectQTEPN4sead4QuatIfEEPNS0_7Vector3IfEEPKNS_12MtxConnectorE","al::calcConnectQT(sead::Quat<float> *,sead::Vector3<float> *,al::MtxConnector const*)",false
"_ZN2al14calcConnectMtxEPN4sead8Matrix34IfEEPKNS_12MtxConnectorERKS2_","al::calcConnectMtx(sead::Matrix34<float> *,al::MtxConnector const*,sead::Matrix34<float> const&)",false
"_ZN2al14calcConnectMtxEPN4sead8Matrix34IfEEPKNS_12MtxConnectorERKNS0_4QuatIfEERKNS0_7Vector3IfEE","al::calcConnectMtx(sead::Matrix34<float> *,al::MtxConnector const*,sead::Quat<float> const&,sead::Vector3<float> const&)",false
"_ZN2al31attachMtxConnectorToCollisionRTEPNS_12MtxConnectorEPKNS_9LiveActorEbb","al::attachMtxConnectorToCollisionRT(al::MtxConnector *,al::LiveActor const*,bool,bool)",false
"_ZN2al31attachMtxConnectorToCollisionQTEPNS_12MtxConnectorEPKNS_9LiveActorEbb","al::attachMtxConnectorToCollisionQT(al::MtxConnector *,al::LiveActor const*,bool,bool)",false
"_ZN2al25attachMtxConnectorToJointEPNS_12MtxConnectorEPKNS_9LiveActorEPKc","al::attachMtxConnectorToJoint(al::MtxConnector *,al::LiveActor const*,char const*)",false
"_ZN2al25attachMtxConnectorToJointEPNS_12MtxConnectorEPKNS_9LiveActorEPKcRKN4sead7Vector3IfEESB_","al::attachMtxConnectorToJoint(al::MtxConnector *,al::LiveActor const*,char const*,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al26attachMtxConnectorToMtxPtrEPNS_12MtxConnectorEPKN4sead8Matrix34IfEERKNS2_7Vector3IfEESA_","al::attachMtxConnectorToMtxPtr(al::MtxConnector *,sead::Matrix34<float> const*,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al25attachMtxConnectorToActorEPNS_12MtxConnectorEPKNS_9LiveActorE","al::attachMtxConnectorToActor(al::MtxConnector *,al::LiveActor const*)",false
"_ZN2al25attachMtxConnectorToActorEPNS_12MtxConnectorEPKNS_9LiveActorERKN4sead7Vector3IfEES9_","al::attachMtxConnectorToActor(al::MtxConnector *,al::LiveActor const*,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al26attachMtxConnectorToMtxPtrEPNS_12MtxConnectorEPKN4sead8Matrix34IfEE","al::attachMtxConnectorToMtxPtr(al::MtxConnector *,sead::Matrix34<float> const*)",false
"_ZN2al26attachMtxConnectorToSensorEPNS_12MtxConnectorEPNS_9HitSensorERKN4sead8Matrix34IfEE","al::attachMtxConnectorToSensor(al::MtxConnector *,al::HitSensor *,sead::Matrix34<float> const&)",false
"_ZN2al29attachSensorConnectorToSensorEPNS_15SensorConnectorEPNS_9HitSensorERKN4sead8Matrix34IfEE","al::attachSensorConnectorToSensor(al::SensorConnector *,al::HitSensor *,sead::Matrix34<float> const&)",false
"_ZN2al37attachMtxConnectorToScreenPointTargetEPNS_12MtxConnectorEPNS_17ScreenPointTargetERKN4sead8Matrix34IfEE","al::attachMtxConnectorToScreenPointTarget(al::MtxConnector *,al::ScreenPointTarget *,sead::Matrix34<float> const&)",false
