Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13GamePadSystemC2Ev","al::GamePadSystem::GamePadSystem(void)",false
"_ZN2al13GamePadSystem20changeSinglePlayModeEv","al::GamePadSystem::changeSinglePlayMode(void)",false
"_ZNK2al13GamePadSystem20isDisconnectPlayableEv","al::GamePadSystem::isDisconnectPlayable(void)const",false
"_ZNK2al13GamePadSystem10getPadNameEh","al::GamePadSystem::getPadName(unsigned char)const",false
"_ZNK2al13GamePadSystem15getPadPlayStyleEh","al::GamePadSystem::getPadPlayStyle(unsigned char)const",false
"_ZN2al13GamePadSystem6updateEv","al::GamePadSystem::update(void)",false
"_ZNK2al13GamePadSystem24isDisconnectPlayableImplEv","al::GamePadSystem::isDisconnectPlayableImpl(void)const",false
"_ZN2al13GamePadSystem18setDisconnectFrameEi","al::GamePadSystem::setDisconnectFrame(int)",false
"_ZN2al13GamePadSystem28setInvalidateDisconnectFrameEi","al::GamePadSystem::setInvalidateDisconnectFrame(int)",false
"_ZN2al13GamePadSystem10setPadNameEhRKN4sead14SafeStringBaseIDsEE","al::GamePadSystem::setPadName(unsigned char,sead::SafeStringBase<char16_t> const&)",false
"_ZN2al13GamePadSystem19changeMultiPlayModeEii","al::GamePadSystem::changeMultiPlayMode(int,int)",false
