Mangled Symbol, Demangled Symbol, Is Matched
"_ZNK2al17WaveVibrationDataltERKS0_","al::WaveVibrationData::operator<(al::WaveVibrationData const&)const",false
"_ZN2al19WaveVibrationPlayerC2EPN2nn3hid14VibrationMixerES4_","al::WaveVibrationPlayer::WaveVibrationPlayer(nn::hid::VibrationMixer *,nn::hid::VibrationMixer *)",false
"_ZN2al19WaveVibrationPlayer6updateEv","al::WaveVibrationPlayer::update(void)",false
"_ZN2al19WaveVibrationPlayer12startOneTimeEPKNS_17WaveVibrationDataEffffb","al::WaveVibrationPlayer::startOneTime(al::WaveVibrationData const*,float,float,float,float,bool)",false
"_ZN2al19WaveVibrationPlayer5startEPKNS_17WaveVibrationDataEffffb","al::WaveVibrationPlayer::start(al::WaveVibrationData const*,float,float,float,float,bool)",false
"_ZN2al19WaveVibrationPlayer9startLoopEPKNS_17WaveVibrationDataEffffb","al::WaveVibrationPlayer::startLoop(al::WaveVibrationData const*,float,float,float,float,bool)",false
"_ZN2al19WaveVibrationPlayer4stopEv","al::WaveVibrationPlayer::stop(void)",false
"_ZN2al19WaveVibrationPlayer5pauseEv","al::WaveVibrationPlayer::pause(void)",false
"_ZN2al19WaveVibrationPlayer8endPauseEv","al::WaveVibrationPlayer::endPause(void)",false
"_ZN2al19WaveVibrationPlayer12changeVolumeEff","al::WaveVibrationPlayer::changeVolume(float,float)",false
"_ZNK2al19WaveVibrationPlayer9isPlayingEv","al::WaveVibrationPlayer::isPlaying(void)const",false
"_ZN2al19WaveVibrationPlayer11changePitchEff","al::WaveVibrationPlayer::changePitch(float,float)",false
"_ZN2al19WaveVibrationPlayer20changeVolumeAndPitchEffff","al::WaveVibrationPlayer::changeVolumeAndPitch(float,float,float,float)",false
"_ZN2al19WaveVibrationHolderC1EPKNS_13GamePadSystemE","al::WaveVibrationHolder::WaveVibrationHolder(al::GamePadSystem const*)",false
"_ZN2al19WaveVibrationHolder8loadDataEv","al::WaveVibrationHolder::loadData(void)",false
"_ZN2al19WaveVibrationHolder6updateEv","al::WaveVibrationHolder::update(void)",false
"_ZNK2al19WaveVibrationHolder21findWaveVibrationDataEPKc","al::WaveVibrationHolder::findWaveVibrationData(char const*)const",false
"_ZNK2al19WaveVibrationHolder27findPlayableVibrationPlayerEi","al::WaveVibrationHolder::findPlayableVibrationPlayer(int)const",false
"_ZNK2al19WaveVibrationHolder6findIdEi","al::WaveVibrationHolder::findId(int)const",false
"_ZN2al19WaveVibrationHolder7stopAllEv","al::WaveVibrationHolder::stopAll(void)",false
"_ZNK2al19WaveVibrationHolder12getUsePadNumEv","al::WaveVibrationHolder::getUsePadNum(void)const",false
"_ZN2al19WaveVibrationHolder5pauseEv","al::WaveVibrationHolder::pause(void)",false
"_ZN2al19WaveVibrationHolder8endPauseEv","al::WaveVibrationHolder::endPause(void)",false
"_ZN2al19WaveVibrationHolder25startVibrationDirectValueEiffffff","al::WaveVibrationHolder::startVibrationDirectValue(int,float,float,float,float,float,float)",false
"_ZN2al19WaveVibrationHolder24stopVibrationDirectValueEi","al::WaveVibrationHolder::stopVibrationDirectValue(int)",false
"_ZN2al19WaveVibrationHolder18audioFrameProcess_Ev","al::WaveVibrationHolder::audioFrameProcess_(void)",false
"_ZN3aal18IAudioFrameProcessD2Ev","aal::IAudioFrameProcess::~IAudioFrameProcess()",false
"_ZN2al19WaveVibrationHolderD0Ev","al::WaveVibrationHolder::~WaveVibrationHolder()",false
"_ZNK4sead15RuntimeTypeInfo6DeriveINS_10ControllerEE9isDerivedEPKNS0_9InterfaceE","sead::RuntimeTypeInfo::Derive<sead::Controller>::isDerived(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZN4sead8PtrArrayIN2al17WaveVibrationDataEE8compareTEPKS2_S5_","sead::PtrArray<al::WaveVibrationData>::compareT(al::WaveVibrationData const*,al::WaveVibrationData const*)",false
