Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al24getJoyPadSingleRightPortEv","al::getJoyPadSingleRightPort(void)",false
"_ZN2al23getJoyPadSingleLeftPortEv","al::getJoyPadSingleLeftPort(void)",false
"_ZN2al19getJoyPadDoublePortEv","al::getJoyPadDoublePort(void)",false
"_ZN2al17getTouchPanelPortEv","al::getTouchPanelPort(void)",false
"_ZN2al21getMainControllerPortEv","al::getMainControllerPort(void)",false
"_ZN2al23getPlayerControllerPortEi","al::getPlayerControllerPort(int)",false
"_ZN2al23getMainJoyPadDoublePortEv","al::getMainJoyPadDoublePort(void)",false
"_ZN2al28getMainJoyPadSingleRightPortEv","al::getMainJoyPadSingleRightPort(void)",false
"_ZN2al27getMainJoyPadSingleLeftPortEv","al::getMainJoyPadSingleLeftPort(void)",false
"_ZN2al12isSameNpadIdEji","al::isSameNpadId(unsigned int,int)",false
"_ZN2al12isPadTriggerEii","al::isPadTrigger(int,int)",false
"_ZN2al13isPadTriggerAEi","al::isPadTriggerA(int)",false
"_ZN2al13isPadTriggerBEi","al::isPadTriggerB(int)",false
"_ZN2al13isPadTriggerXEi","al::isPadTriggerX(int)",false
"_ZN2al13isPadTriggerYEi","al::isPadTriggerY(int)",false
"_ZN2al14isPadTriggerZLEi","al::isPadTriggerZL(int)",false
"_ZN2al14isPadTriggerZREi","al::isPadTriggerZR(int)",false
"_ZN2al13isPadTriggerLEi","al::isPadTriggerL(int)",false
"_ZN2al13isPadTriggerREi","al::isPadTriggerR(int)",false
"_ZN2al13isPadTrigger1Ei","al::isPadTrigger1(int)",false
"_ZN2al13isPadTrigger2Ei","al::isPadTrigger2(int)",false
"_ZN2al14isPadTriggerUpEi","al::isPadTriggerUp(int)",false
"_ZN2al16isPadTriggerDownEi","al::isPadTriggerDown(int)",false
"_ZN2al16isPadTriggerLeftEi","al::isPadTriggerLeft(int)",false
"_ZN2al17isPadTriggerRightEi","al::isPadTriggerRight(int)",false
"_ZN2al18isPadTriggerLeftUpEi","al::isPadTriggerLeftUp(int)",false
"_ZN2al20isPadTriggerLeftDownEi","al::isPadTriggerLeftDown(int)",false
"_ZN2al19isPadTriggerRightUpEi","al::isPadTriggerRightUp(int)",false
"_ZN2al21isPadTriggerRightDownEi","al::isPadTriggerRightDown(int)",false
"_ZN2al16isPadTriggerHomeEi","al::isPadTriggerHome(int)",false
"_ZN2al17isPadTriggerStartEi","al::isPadTriggerStart(int)",false
"_ZN2al18isPadTriggerSelectEi","al::isPadTriggerSelect(int)",false
"_ZN2al16isPadTriggerPlusEi","al::isPadTriggerPlus(int)",false
"_ZN2al17isPadTriggerMinusEi","al::isPadTriggerMinus(int)",false
"_ZN2al17isPadTriggerTouchEv","al::isPadTriggerTouch(void)",false
"_ZN2al23isPadTriggerUpLeftStickEi","al::isPadTriggerUpLeftStick(int)",false
"_ZN2al25isPadTriggerDownLeftStickEi","al::isPadTriggerDownLeftStick(int)",false
"_ZN2al25isPadTriggerLeftLeftStickEi","al::isPadTriggerLeftLeftStick(int)",false
"_ZN2al26isPadTriggerRightLeftStickEi","al::isPadTriggerRightLeftStick(int)",false
"_ZN2al24isPadTriggerUpRightStickEi","al::isPadTriggerUpRightStick(int)",false
"_ZN2al26isPadTriggerDownRightStickEi","al::isPadTriggerDownRightStick(int)",false
"_ZN2al26isPadTriggerLeftRightStickEi","al::isPadTriggerLeftRightStick(int)",false
"_ZN2al27isPadTriggerRightRightStickEi","al::isPadTriggerRightRightStick(int)",false
"_ZN2al19isPadTriggerAnyABXYEi","al::isPadTriggerAnyABXY(int)",false
"_ZN2al15isPadTriggerAnyEi","al::isPadTriggerAny(int)",false
"_ZN2al21isPadTriggerLeftStickEi","al::isPadTriggerLeftStick(int)",false
"_ZN2al22isPadTriggerRightStickEi","al::isPadTriggerRightStick(int)",false
"_ZN2al26isPadTriggerPressLeftStickEi","al::isPadTriggerPressLeftStick(int)",false
"_ZN2al27isPadTriggerPressRightStickEi","al::isPadTriggerPressRightStick(int)",false
"_ZN2al23isPadHoldPressLeftStickEi","al::isPadHoldPressLeftStick(int)",false
"_ZN2al24isPadHoldPressRightStickEi","al::isPadHoldPressRightStick(int)",false
"_ZN2al12setPadRepeatEiiii","al::setPadRepeat(int,int,int,int)",false
"_ZN2al12isPadRepeatAEi","al::isPadRepeatA(int)",false
"_ZN2al12isPadRepeatBEi","al::isPadRepeatB(int)",false
"_ZN2al12isPadRepeatXEi","al::isPadRepeatX(int)",false
"_ZN2al12isPadRepeatYEi","al::isPadRepeatY(int)",false
"_ZN2al13isPadRepeatZLEi","al::isPadRepeatZL(int)",false
"_ZN2al13isPadRepeatZREi","al::isPadRepeatZR(int)",false
"_ZN2al12isPadRepeatLEi","al::isPadRepeatL(int)",false
"_ZN2al12isPadRepeatREi","al::isPadRepeatR(int)",false
"_ZN2al12isPadRepeat1Ei","al::isPadRepeat1(int)",false
"_ZN2al12isPadRepeat2Ei","al::isPadRepeat2(int)",false
"_ZN2al13isPadRepeatUpEi","al::isPadRepeatUp(int)",false
"_ZN2al15isPadRepeatDownEi","al::isPadRepeatDown(int)",false
"_ZN2al15isPadRepeatLeftEi","al::isPadRepeatLeft(int)",false
"_ZN2al16isPadRepeatRightEi","al::isPadRepeatRight(int)",false
"_ZN2al15isPadRepeatHomeEi","al::isPadRepeatHome(int)",false
"_ZN2al16isPadRepeatStartEi","al::isPadRepeatStart(int)",false
"_ZN2al17isPadRepeatSelectEi","al::isPadRepeatSelect(int)",false
"_ZN2al15isPadRepeatPlusEi","al::isPadRepeatPlus(int)",false
"_ZN2al16isPadRepeatMinusEi","al::isPadRepeatMinus(int)",false
"_ZN2al16isPadRepeatTouchEv","al::isPadRepeatTouch(void)",false
"_ZN2al22isPadRepeatUpLeftStickEi","al::isPadRepeatUpLeftStick(int)",false
"_ZN2al24isPadRepeatDownLeftStickEi","al::isPadRepeatDownLeftStick(int)",false
