Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23JoyPadAccelPoseAnalyzerC2Ev","al::JoyPadAccelPoseAnalyzer::JoyPadAccelPoseAnalyzer(void)",false
"_ZN2al23JoyPadAccelPoseAnalyzer11HistoryInfoC2Ei","al::JoyPadAccelPoseAnalyzer::HistoryInfo::HistoryInfo(int)",false
"_ZN2al23JoyPadAccelPoseAnalyzer11HistoryInfo11calcHistoryERKN4sead7Vector3IfEES6_f","al::JoyPadAccelPoseAnalyzer::HistoryInfo::calcHistory(sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al23JoyPadAccelPoseAnalyzer11PoseAxisDirC2Ei","al::JoyPadAccelPoseAnalyzer::PoseAxisDir::PoseAxisDir(int)",false
"_ZN2al23JoyPadAccelPoseAnalyzer11PoseAxisDir11calcHistoryERKN4sead7Vector3IfEES6_","al::JoyPadAccelPoseAnalyzer::PoseAxisDir::calcHistory(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al23JoyPadAccelPoseAnalyzer6updateEv","al::JoyPadAccelPoseAnalyzer::update(void)",false
"sub_7100865FDC","",false
"_ZN2al23JoyPadAccelPoseAnalyzer14setSwingBorderEff","al::JoyPadAccelPoseAnalyzer::setSwingBorder(float,float)",false
"_ZNK2al23JoyPadAccelPoseAnalyzer15isSwingLeftHandEv","al::JoyPadAccelPoseAnalyzer::isSwingLeftHand(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer16isSwingRightHandEv","al::JoyPadAccelPoseAnalyzer::isSwingRightHand(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer14isSwingAnyHandEv","al::JoyPadAccelPoseAnalyzer::isSwingAnyHand(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer17isSwingDoubleHandEv","al::JoyPadAccelPoseAnalyzer::isSwingDoubleHand(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer24isSwingDoubleHandSameDirEv","al::JoyPadAccelPoseAnalyzer::isSwingDoubleHandSameDir(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer27isSwingDoubleHandReverseDirEv","al::JoyPadAccelPoseAnalyzer::isSwingDoubleHandReverseDir(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer33isSwingDoubleHandReverseInsideDirEv","al::JoyPadAccelPoseAnalyzer::isSwingDoubleHandReverseInsideDir(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer34isSwingDoubleHandReverseOutsideDirEv","al::JoyPadAccelPoseAnalyzer::isSwingDoubleHandReverseOutsideDir(void)const",false
"_ZNK2al23JoyPadAccelPoseAnalyzer28getSwingDirDoubleHandSameDirEv","al::JoyPadAccelPoseAnalyzer::getSwingDirDoubleHandSameDir(void)const",false
