Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14NpadControllerC2EPN4sead13ControllerMgrE","al::NpadController::NpadController(sead::ControllerMgr *)",false
"_ZNK2al14NpadController11isConnectedEv","al::NpadController::isConnected(void)const",false
"_ZNK2al14NpadController13isValidNpadIdEv","al::NpadController::isValidNpadId(void)const",false
"_ZNK2al14NpadController9getNpadIdEv","al::NpadController::getNpadId(void)const",false
"_ZN2al14NpadController20setAnyControllerModeEv","al::NpadController::setAnyControllerMode(void)",false
"_ZN2al14NpadController22setIndexControllerModeEi","al::NpadController::setIndexControllerMode(int)",false
"_ZNK2al14NpadController24getVibrationDeviceHandleEi","al::NpadController::getVibrationDeviceHandle(int)const",false
"_ZN2al14NpadController9calcImpl_Ev","al::NpadController::calcImpl_(void)",false
"_ZNK2al14NpadController27checkDerivedRuntimeTypeInfoEPKN4sead15RuntimeTypeInfo9InterfaceE","al::NpadController::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZNK2al14NpadController18getRuntimeTypeInfoEv","al::NpadController::getRuntimeTypeInfo(void)const",false
"_ZN2al14NpadControllerD0Ev","al::NpadController::~NpadController()",false
"sub_7100867374","",false
