Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22createReplayControllerEj","al::createReplayController(unsigned int)",false
"_ZN2al24unregistReplayControllerEj","al::unregistReplayController(unsigned int)",false
"_ZN2al19getReplayControllerEj","al::getReplayController(unsigned int)",false
"_ZN2al16setPadDataReaderEPNS_17IUsePadDataReaderEj","al::setPadDataReader(al::IUsePadDataReader *,unsigned int)",false
"_ZN2al28createAndSetPadDataArcReaderEPKcS1_j","al::createAndSetPadDataArcReader(char const*,char const*,unsigned int)",false
"_ZN2al14startPadReplayEj","al::startPadReplay(unsigned int)",false
"_ZN2al14pausePadReplayEj","al::pausePadReplay(unsigned int)",false
"_ZN2al12endPadReplayEj","al::endPadReplay(unsigned int)",false
"_ZN2al16setPadDataWriterEPNS_17IUsePadDataWriterEj","al::setPadDataWriter(al::IUsePadDataWriter *,unsigned int)",false
"_ZN2al17startPadRecordingEj","al::startPadRecording(unsigned int)",false
"_ZN2al15endPadRecordingEj","al::endPadRecording(unsigned int)",false
"_ZN2al14isPadReplayingEj","al::isPadReplaying(unsigned int)",false
"_ZN2al23getPadReplayRemainFrameEj","al::getPadReplayRemainFrame(unsigned int)",false
"_ZN2al14isPadRecordingEj","al::isPadRecording(unsigned int)",false
"_ZN2al19invalidatePadReplayEj","al::invalidatePadReplay(unsigned int)",false
"_ZN2al17validatePadReplayEj","al::validatePadReplay(unsigned int)",false
"_ZN2al23isValidReplayControllerEj","al::isValidReplayController(unsigned int)",false
"_ZN2al19isReadPadReplayDataEj","al::isReadPadReplayData(unsigned int)",false
