Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14PadRumbleParam18setVolumeByBalanceEf","al::PadRumbleParam::setVolumeByBalance(float)",false
"_ZN2al17PadRumbleDirectorC2EPKNS_12PlayerHolderEPKNS_14CameraDirectorE","al::PadRumbleDirector::PadRumbleDirector(al::PlayerHolder const*,al::CameraDirector const*)",false
"_ZN2al17PadRumbleDirector22setWaveVibrationHolderEPNS_19WaveVibrationHolderE","al::PadRumbleDirector::setWaveVibrationHolder(al::WaveVibrationHolder *)",false
"_ZN2al17PadRumbleDirector6updateEv","al::PadRumbleDirector::update(void)",false
"_ZN2al17PadRumbleDirector17updateInfoListAllEv","al::PadRumbleDirector::updateInfoListAll(void)",false
"_ZN2al17PadRumbleDirector11startRumbleEPKcRKN4sead7Vector3IfEERKNS_14PadRumbleParamEi","al::PadRumbleDirector::startRumble(char const*,sead::Vector3<float> const&,al::PadRumbleParam const&,int)",false
"sub_71008694B0","",false
"sub_710086965C","",false
"sub_710086993C","",false
"_ZN2al17PadRumbleDirector19findDeadInfoOneTimeEv","al::PadRumbleDirector::findDeadInfoOneTime(void)",false
"_ZN2al17PadRumbleDirector15startRumbleNo3DEPKcRKNS_14PadRumbleParamEi","al::PadRumbleDirector::startRumbleNo3D(char const*,al::PadRumbleParam const&,int)",false
"_ZN2al17PadRumbleDirector20stopPadRumbleOneTimeEPKci","al::PadRumbleDirector::stopPadRumbleOneTime(char const*,int)",false
"_ZN2al17PadRumbleDirector15startRumbleLoopEPKcPKN4sead7Vector3IfEERKNS_14PadRumbleParamEi","al::PadRumbleDirector::startRumbleLoop(char const*,sead::Vector3<float> const*,al::PadRumbleParam const&,int)",false
"_ZN2al17PadRumbleDirector12findDeadInfoEv","al::PadRumbleDirector::findDeadInfo(void)",false
"_ZN2al17PadRumbleDirector19startRumbleLoopNo3DEPKcPKN4sead7Vector3IfEERKNS_14PadRumbleParamEi","al::PadRumbleDirector::startRumbleLoopNo3D(char const*,sead::Vector3<float> const*,al::PadRumbleParam const&,int)",false
"_ZN2al17PadRumbleDirector14stopRumbleLoopEPKcPKN4sead7Vector3IfEEi","al::PadRumbleDirector::stopRumbleLoop(char const*,sead::Vector3<float> const*,int)",false
"_ZN2al17PadRumbleDirector8findInfoEPKcPKN4sead7Vector3IfEEi","al::PadRumbleDirector::findInfo(char const*,sead::Vector3<float> const*,int)",false
"_ZN2al17PadRumbleDirector22checkIsAliveRumbleLoopEPKcPKN4sead7Vector3IfEEi","al::PadRumbleDirector::checkIsAliveRumbleLoop(char const*,sead::Vector3<float> const*,int)",false
"_ZN2al17PadRumbleDirector13stopAllRumbleEv","al::PadRumbleDirector::stopAllRumble(void)",false
"_ZN2al17PadRumbleDirector16clearAllInfoListEv","al::PadRumbleDirector::clearAllInfoList(void)",false
