Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16ReplayControllerC2EPN4sead10ControllerE","al::ReplayController::ReplayController(sead::Controller *)",false
"_ZN2al16ReplayController8unregistEv","al::ReplayController::unregist(void)",false
"_ZN2al16ReplayController11startReplayEv","al::ReplayController::startReplay(void)",false
"_ZN2al16ReplayController11pauseReplayEv","al::ReplayController::pauseReplay(void)",false
"_ZN2al16ReplayController9endReplayEv","al::ReplayController::endReplay(void)",false
"_ZNK2al16ReplayController11isReplayingEv","al::ReplayController::isReplaying(void)const",false
"_ZNK2al16ReplayController11isRecordingEv","al::ReplayController::isRecording(void)const",false
"_ZNK2al16ReplayController20getReplayRemainFrameEv","al::ReplayController::getReplayRemainFrame(void)const",false
"_ZN2al16ReplayController4calcEjb","al::ReplayController::calc(unsigned int,bool)",false
"_ZN2al16ReplayController11startRecordEv","al::ReplayController::startRecord(void)",false
"_ZN2al16ReplayController9endRecordEv","al::ReplayController::endRecord(void)",false
"_ZNK2al16ReplayController27checkDerivedRuntimeTypeInfoEPKN4sead15RuntimeTypeInfo9InterfaceE","al::ReplayController::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZNK2al16ReplayController18getRuntimeTypeInfoEv","al::ReplayController::getRuntimeTypeInfo(void)const",false
"_ZN2al16ReplayControllerD0Ev","al::ReplayController::~ReplayController()",false
"_ZThn312_N2al16ReplayControllerD1Ev","`non-virtual thunk to'al::ReplayController::~ReplayController()",false
"_ZThn312_N2al16ReplayControllerD0Ev","`non-virtual thunk to'al::ReplayController::~ReplayController()",false
"_ZN2al16ReplayController33checkDerivedRuntimeTypeInfoStaticEPKN4sead15RuntimeTypeInfo9InterfaceE","al::ReplayController::checkDerivedRuntimeTypeInfoStatic(sead::RuntimeTypeInfo::Interface const*)",false
