Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9DemoActorC2EPKc","al::DemoActor::DemoActor(char const*)",false
"_ZN2al9DemoActorC1EPKc","al::DemoActor::DemoActor(char const*)",false
"_ZN2al9DemoActor13initDemoActorERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEEb","al::DemoActor::initDemoActor(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*,bool)",false
"_ZN2al9DemoActor10initCommonERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEEb","al::DemoActor::initCommon(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*,bool)",false
"_ZN2al9DemoActor19initDemoActorSerialERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEE","al::DemoActor::initDemoActorSerial(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*)",false
"_ZN2al9DemoActor4initERKNS_13ActorInitInfoE","al::DemoActor::init(al::ActorInitInfo const&)",false
"_ZN2al9DemoActor26initAfterCreateFromFactoryERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEEb","al::DemoActor::initAfterCreateFromFactory(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*,bool)",false
"_ZN2al9DemoActor7controlEv","al::DemoActor::control(void)",false
"_ZN2al9DemoActor9startDemoERKN4sead8Matrix34IfEE","al::DemoActor::startDemo(sead::Matrix34<float> const&)",false
"_ZN2al9DemoActor11startActionEi","al::DemoActor::startAction(int)",false
"_ZNK2al9DemoActor13isExistActionEi","al::DemoActor::isExistAction(int)const",false
"_ZNK2al9DemoActor17getDemoActionNameEi","al::DemoActor::getDemoActionName(int)const",false
"_ZN2al9DemoActor17startActionByNameEPKc","al::DemoActor::startActionByName(char const*)",false
"_ZN2al9DemoActor13resetDynamicsEv","al::DemoActor::resetDynamics(void)",false
"_ZN2al9DemoActor17hideModelBySwitchEv","al::DemoActor::hideModelBySwitch(void)",false
"_ZN2al9DemoActor17showModelBySwitchEv","al::DemoActor::showModelBySwitch(void)",false
"_ZN2al9DemoActor7endDemoEv","al::DemoActor::endDemo(void)",false
"_ZN2al9DemoActor8exeDelayEv","al::DemoActor::exeDelay(void)",false
"_ZN2al9DemoActor9exeActionEv","al::DemoActor::exeAction(void)",false
"sub_71008707EC","",false
"nullsub_456","",false
"_ZN19alDemoActorFunction20calcPlacementBaseMtxEPN4sead8Matrix34IfEERKN2al13ActorInitInfoES7_PKS2_","alDemoActorFunction::calcPlacementBaseMtx(sead::Matrix34<float> *,al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*)",false
"_ZN19alDemoActorFunction12isHideActionEPKc","alDemoActorFunction::isHideAction(char const*)",false
"_ZN19alDemoActorFunction12isShowActionEPKc","alDemoActorFunction::isShowAction(char const*)",false
