Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10DemoCameraC2Ev","al::DemoCamera::DemoCamera(void)",false
"_ZN2al10DemoCamera13initDemoActorERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEEb","al::DemoCamera::initDemoActor(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*,bool)",false
"_ZN2al10DemoCamera19initDemoActorSerialERKNS_13ActorInitInfoES3_PKN4sead8Matrix34IfEE","al::DemoCamera::initDemoActorSerial(al::ActorInitInfo const&,al::ActorInitInfo const&,sead::Matrix34<float> const*)",false
"_ZNK2al10DemoCamera17getCameraDirectorEv","al::DemoCamera::getCameraDirector(void)const",false
"_ZN2al10DemoCamera11startActionEi","al::DemoCamera::startAction(int)",false
"_ZN2al10DemoCamera11startCameraEi","al::DemoCamera::startCamera(int)",false
"_ZN2al10DemoCamera9startDemoERKN4sead8Matrix34IfEE","al::DemoCamera::startDemo(sead::Matrix34<float> const&)",false
"_ZN2al10DemoCamera7endDemoEv","al::DemoCamera::endDemo(void)",false
"_ZN2al10DemoCamera12endCameraAllEv","al::DemoCamera::endCameraAll(void)",false
"_ZN2al10DemoCamera9endCameraEi","al::DemoCamera::endCamera(int)",false
"_ZNK2al10DemoCamera15isEndAnimCameraEi","al::DemoCamera::isEndAnimCamera(int)const",false
"_ZNK2al10DemoCamera11getMaxFrameEv","al::DemoCamera::getMaxFrame(void)const",false
"_ZNK2al10DemoCamera15getCurrentFrameEv","al::DemoCamera::getCurrentFrame(void)const",false
"_ZN2al10DemoCamera19setInterpolateFrameEi","al::DemoCamera::setInterpolateFrame(int)",false
"_ZNK2al10DemoCamera20getCurrentActionNameEv","al::DemoCamera::getCurrentActionName(void)const",false
