Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17DemoSyncedBgmCtrl9tryCreateEPNS_13AudioDirectorE","al::DemoSyncedBgmCtrl::tryCreate(al::AudioDirector *)",false
"_ZN2al17DemoSyncedBgmCtrlC1EPNS_13AudioDirectorE","al::DemoSyncedBgmCtrl::DemoSyncedBgmCtrl(al::AudioDirector *)",false
"_ZN2al17DemoSyncedBgmCtrl6updateEi","al::DemoSyncedBgmCtrl::update(int)",false
"_ZN2al18BgmEventControllerINS_15IUseAudioKeeperENS_15BgmDemoProcInfoEE6updateEfffb","al::BgmEventController<al::IUseAudioKeeper,al::BgmDemoProcInfo>::update(float,float,float,bool)",false
"_ZN2al17DemoSyncedBgmCtrl8finalizeEv","al::DemoSyncedBgmCtrl::finalize(void)",false
"_ZN2al17DemoSyncedBgmCtrl9startDemoEPKc","al::DemoSyncedBgmCtrl::startDemo(char const*)",false
"_ZN2al17DemoSyncedBgmCtrl7endDemoEPKcb","al::DemoSyncedBgmCtrl::endDemo(char const*,bool)",false
"_ZN2al18BgmEventControllerINS_15IUseAudioKeeperENS_15BgmDemoProcInfoEE8endEventEPNS_22AudioInfoListWithPartsIS2_EEb","al::BgmEventController<al::IUseAudioKeeper,al::BgmDemoProcInfo>::endEvent(al::AudioInfoListWithParts<al::BgmDemoProcInfo> *,bool)",false
"_ZN2al17DemoSyncedBgmCtrl14notifyDemoSkipEv","al::DemoSyncedBgmCtrl::notifyDemoSkip(void)",false
"_ZNK2al17DemoSyncedBgmCtrl14getAudioKeeperEv","al::DemoSyncedBgmCtrl::getAudioKeeper(void)const",false
"_ZN2al18BgmEventControllerINS_15IUseAudioKeeperENS_15BgmDemoProcInfoEE13tryStartEventEPKS2_","al::BgmEventController<al::IUseAudioKeeper,al::BgmDemoProcInfo>::tryStartEvent(al::BgmDemoProcInfo const*)",false
