Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19calcFovByProjectionEPN4sead7Vector2IfEERKNS0_8Matrix44IfEE","al::calcFovByProjection(sead::Vector2<float> *,sead::Matrix44<float> const&)",false
"_ZN2al20setDepthFuncNearDrawEPN4sead15GraphicsContextE","al::setDepthFuncNearDraw(sead::GraphicsContext *)",false
"_ZN2al19setDepthFuncFarDrawEPN4sead15GraphicsContextE","al::setDepthFuncFarDraw(sead::GraphicsContext *)",false
"_ZN2al20setDepthFuncNearDrawEPN4sead18GraphicsContextMRTE","al::setDepthFuncNearDraw(sead::GraphicsContextMRT *)",false
"_ZN2al19setDepthFuncFarDrawEPN4sead18GraphicsContextMRTE","al::setDepthFuncFarDraw(sead::GraphicsContextMRT *)",false
"_ZN2al24isUsingReverseProjectionEv","al::isUsingReverseProjection(void)",false
"_ZN2al18isDepthFuncReverseEv","al::isDepthFuncReverse(void)",false
"_ZN2al18getDepthClearValueEv","al::getDepthClearValue(void)",false
"_ZN2al14calcViewVolumeEPN2nn3g3d10ViewVolumeERKN4sead8Matrix34IfEERKNS4_8Matrix44IfEE","al::calcViewVolume(nn::g3d::ViewVolume *,sead::Matrix34<float> const&,sead::Matrix44<float> const&)",false
"_ZN2al23calcAndExpandViewVolumeEPN2nn3g3d10ViewVolumeERKN4sead8Matrix34IfEERKNS4_8Matrix44IfEERKNS4_7Vector3IfEEf","al::calcAndExpandViewVolume(nn::g3d::ViewVolume *,sead::Matrix34<float> const&,sead::Matrix44<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al10isUseBlendEPKN2nn3g3d11MaterialObjE","al::isUseBlend(nn::g3d::MaterialObj const*)",false
"_ZNK2nn3g3d11ResMaterial14FindRenderInfoEPKc","nn::g3d::ResMaterial::FindRenderInfo(char const*)const",false
"_ZN2al16isUseXluZPrepassEPKN2nn3g3d11MaterialObjE","al::isUseXluZPrepass(nn::g3d::MaterialObj const*)",false
"_ZN2al12getBlendModeEPKN2nn3g3d11MaterialObjE","al::getBlendMode(nn::g3d::MaterialObj const*)",false
"_ZN2al12getBlendFuncEPKN2nn3g3d11MaterialObjEbb","al::getBlendFunc(nn::g3d::MaterialObj const*,bool,bool)",false
"_ZN2al16getBlendEquationEPKN2nn3g3d11MaterialObjEb","al::getBlendEquation(nn::g3d::MaterialObj const*,bool)",false
"_ZN2al16getConstantColorEPN4sead7Color4fEPKN2nn3g3d11MaterialObjE","al::getConstantColor(sead::Color4f *,nn::g3d::MaterialObj const*)",false
"_ZN2al18getDepthTestEnableEPKN2nn3g3d11MaterialObjE","al::getDepthTestEnable(nn::g3d::MaterialObj const*)",false
