Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22GraphicsPresetDirectorC2EPNS_18GraphicsSystemInfoE","al::GraphicsPresetDirector::GraphicsPresetDirector(al::GraphicsSystemInfo *)",false
"_ZN2al22GraphicsPresetDirector19initProjectResourceEv","al::GraphicsPresetDirector::initProjectResource(void)",false
"_ZN2al22GraphicsPresetDirector14registerPresetEPKcS2_S2_b","al::GraphicsPresetDirector::registerPreset(char const*,char const*,char const*,bool)",false
"_ZNK2al22GraphicsPresetDirector10findPresetEPKc","al::GraphicsPresetDirector::findPreset(char const*)const",false
"_ZN2al22GraphicsPresetDirector7endInitEv","al::GraphicsPresetDirector::endInit(void)",false
"_ZN2al22GraphicsPresetDirector12clearRequestEv","al::GraphicsPresetDirector::clearRequest(void)",false
"_ZN2al22GraphicsPresetDirector6updateEv","al::GraphicsPresetDirector::update(void)",false
"_ZN2al22GraphicsPresetDirector13requestPresetEPKciiiRKN4sead7Vector3IfEE","al::GraphicsPresetDirector::requestPreset(char const*,int,int,int,sead::Vector3<float> const&)",false
"_ZNK2al22GraphicsPresetDirector17findDefaultPresetEv","al::GraphicsPresetDirector::findDefaultPreset(void)const",false
"_ZNK2al22GraphicsPresetDirector10findPresetEi","al::GraphicsPresetDirector::findPreset(int)const",false
"_ZNK2al22GraphicsPresetDirector12findPresetIdEPKc","al::GraphicsPresetDirector::findPresetId(char const*)const",false
"_ZNK2al22GraphicsPresetDirector13calcPresetNumEv","al::GraphicsPresetDirector::calcPresetNum(void)const",false
"_ZN2al15GraphicsInitArgC1EPN3agl11DrawContextEPN4sead11FrameBufferE","al::GraphicsInitArg::GraphicsInitArg(agl::DrawContext *,sead::FrameBuffer *)",false
"_ZNK2al15GraphicsInitArg26isUsingCubeMapAtmosScatterEv","al::GraphicsInitArg::isUsingCubeMapAtmosScatter(void)const",false
"_ZNK2al15GraphicsInitArg22getAtmosScatterViewNumEv","al::GraphicsInitArg::getAtmosScatterViewNum(void)const",false
