Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17SubCameraRendererC1EPN3agl11DrawContextEPNS_18GraphicsSystemInfoEPNS_15ExecuteDirectorEPNS_15SceneCameraInfoE","al::SubCameraRenderer::SubCameraRenderer(agl::DrawContext *,al::GraphicsSystemInfo *,al::ExecuteDirector *,al::SceneCameraInfo *)",false
"_ZN2al17SubCameraRendererD2Ev","al::SubCameraRenderer::~SubCameraRenderer()",false
"_ZN2al17SubCameraRendererD0Ev","al::SubCameraRenderer::~SubCameraRenderer()",false
"_ZN2al17SubCameraRenderer7endInitEv","al::SubCameraRenderer::endInit(void)",false
"sub_710087C65C","",false
"_ZN2al17SubCameraRenderer4drawEPN3agl11DrawContextEPKNS1_11TextureDataES6_S6_S6_PKNS1_17RenderTargetDepthEb","al::SubCameraRenderer::draw(agl::DrawContext *,agl::TextureData const*,agl::TextureData const*,agl::TextureData const*,agl::TextureData const*,agl::RenderTargetDepth const*,bool)",false
"_ZN2al17SubCameraRenderer10tryCaptureEv","al::SubCameraRenderer::tryCapture(void)",false
"_ZN2al17SubCameraRenderer6updateEv","al::SubCameraRenderer::update(void)",false
"_ZN2al17SubCameraRenderer10exeCaptureEv","al::SubCameraRenderer::exeCapture(void)",false
"_ZN2al17SubCameraRenderer16exeCaptureFinishEv","al::SubCameraRenderer::exeCaptureFinish(void)",false
"_ZNK2al17SubCameraRenderer15isCaptureFinishEv","al::SubCameraRenderer::isCaptureFinish(void)const",false
"_ZNK2al17SubCameraRenderer27findCameraSubAreaScreenInfoERKN4sead7Vector3IfEE","al::SubCameraRenderer::findCameraSubAreaScreenInfo(sead::Vector3<float> const&)const",false
"_ZNK2al17SubCameraRenderer15calcOnScreenPosEPN4sead7Vector3IfEERKS3_","al::SubCameraRenderer::calcOnScreenPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"sub_710087D0B8","",false
"nullsub_457","",false
