Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12ViewRendererC1EPNS_18GraphicsSystemInfoEPNS_15ExecuteDirectorEPNS_12EffectSystemEPNS_15SceneCameraInfoE","al::ViewRenderer::ViewRenderer(al::GraphicsSystemInfo *,al::ExecuteDirector *,al::EffectSystem *,al::SceneCameraInfo *)",false
"_ZN2al12ViewRendererD2Ev","al::ViewRenderer::~ViewRenderer()",false
"_ZN2al12ViewRenderer12clearRequestEv","al::ViewRenderer::clearRequest(void)",false
"_ZN2al12ViewRenderer8calcViewEiPKN4sead6CameraEPKNS_10ProjectionE","al::ViewRenderer::calcView(int,sead::Camera const*,al::Projection const*)",false
"_ZN2al12ViewRenderer15preDrawGraphicsEv","al::ViewRenderer::preDrawGraphics(void)",false
"_ZNK2al12ViewRenderer8drawViewEiPNS_14DrawSystemInfoERKNS_10ProjectionERKN4sead6CameraEPKN3agl12RenderBufferERKNS6_8ViewportEbbb","al::ViewRenderer::drawView(int,al::DrawSystemInfo *,al::Projection const&,sead::Camera const&,agl::RenderBuffer const*,sead::Viewport const&,bool,bool,bool)const",false
"_ZNK2al12ViewRenderer8drawViewERKNS_8ViewInfoEPNS_14DrawSystemInfoERKNS_10ProjectionERKN4sead6CameraEPKN3agl12RenderBufferERKNS9_8ViewportEbbb","al::ViewRenderer::drawView(al::ViewInfo const&,al::DrawSystemInfo *,al::Projection const&,sead::Camera const&,agl::RenderBuffer const*,sead::Viewport const&,bool,bool,bool)const",false
"_ZNK2al12ViewRenderer10drawSystemERKNS_18GraphicsRenderInfoE","al::ViewRenderer::drawSystem(al::GraphicsRenderInfo const&)const",false
"_ZNK2al12ViewRenderer10drawMirrorEPN3agl11DrawContextEiPNS_15RenderVariablesE","al::ViewRenderer::drawMirror(agl::DrawContext *,int,al::RenderVariables *)const",false
"_ZNK2al12ViewRenderer7drawHdrERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesEbb","al::ViewRenderer::drawHdr(al::GraphicsRenderInfo const&,al::RenderVariables const&,bool,bool)const",false
"_ZNK2al12ViewRenderer22captureIndirectTextureEPN3agl11DrawContextEPKNS1_11TextureDataES6_","al::ViewRenderer::captureIndirectTexture(agl::DrawContext *,agl::TextureData const*,agl::TextureData const*)const",false
"_ZN2al12ViewRenderer29startForwardPlayerScreenFaderEiif","al::ViewRenderer::startForwardPlayerScreenFader(int,int,float)",false
"_ZN2al12ViewRenderer27endForwardPlayerScreenFaderEi","al::ViewRenderer::endForwardPlayerScreenFader(int)",false
"_ZN22alViewRendererFunction32createLinearDepthFromDepthBufferEPN3agl11DrawContextEPKN2al12ShaderHolderEPKNS0_11TextureDataES9_","alViewRendererFunction::createLinearDepthFromDepthBuffer(agl::DrawContext *,al::ShaderHolder const*,agl::TextureData const*,agl::TextureData const*)",false
