Mangled Symbol, Demangled Symbol, Is Matched
"_ZN15alEffectEnvUtil10setWindDirEPN2al12EffectSystemERKN4sead7Vector3IfEE","alEffectEnvUtil::setWindDir(al::EffectSystem *,sead::Vector3<float> const&)",false
"_ZN15alEffectEnvUtil18setEnableRepulsionEPN2al12EffectSystemEb","alEffectEnvUtil::setEnableRepulsion(al::EffectSystem *,bool)",false
"_ZN15alEffectEnvUtil18setRepulsionPosNumEPN2al12EffectSystemEi","alEffectEnvUtil::setRepulsionPosNum(al::EffectSystem *,int)",false
"_ZN15alEffectEnvUtil15setRepulsionPosEPN2al12EffectSystemEiRKN4sead7Vector3IfEE","alEffectEnvUtil::setRepulsionPos(al::EffectSystem *,int,sead::Vector3<float> const&)",false
"_ZN15alEffectEnvUtil17setNatureDirectorEPN2al12EffectSystemEPNS0_14NatureDirectorE","alEffectEnvUtil::setNatureDirector(al::EffectSystem *,al::NatureDirector *)",false
"_ZN15alEffectEnvUtil19resetNatureDirectorEPN2al12EffectSystemE","alEffectEnvUtil::resetNatureDirector(al::EffectSystem *)",false
"_ZN26alEffectKeeperInitFunction24setupModelToEffectKeeperEPN2al12EffectKeeperEPKNS0_11ModelKeeperE","alEffectKeeperInitFunction::setupModelToEffectKeeper(al::EffectKeeper *,al::ModelKeeper const*)",false
"_ZN26alEffectKeeperInitFunction25setupLayoutToEffectKeeperEPN2al12EffectKeeperEPKNS0_10IUseLayoutE","alEffectKeeperInitFunction::setupLayoutToEffectKeeper(al::EffectKeeper *,al::IUseLayout const*)",false
"_ZN26alEffectKeeperInitFunction25setupCameraToEffectKeeperEPN2al12EffectKeeperEPKNS0_10IUseCameraE","alEffectKeeperInitFunction::setupCameraToEffectKeeper(al::EffectKeeper *,al::IUseCamera const*)",false
"_ZN26alEffectKeeperInitFunction17updateNamedMtxPtrEPN2al12EffectKeeperEPKc","alEffectKeeperInitFunction::updateNamedMtxPtr(al::EffectKeeper *,char const*)",false
"_ZN22alEffectSystemFunction40setDrawPathRenderStateSetDrawDepthShadowEPKN2al12EffectSystemEb","alEffectSystemFunction::setDrawPathRenderStateSetDrawDepthShadow(al::EffectSystem const*,bool)",false
"_ZN22alEffectSystemFunction17calcEffectComputeEPKN2al12EffectSystemE","alEffectSystemFunction::calcEffectCompute(al::EffectSystem const*)",false
"_ZN22alEffectSystemFunction18drawEffectDeferredEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectDeferred(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction17drawEffectForwardEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectForward(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction29drawEffectForwardReduceBufferEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectForwardReduceBuffer(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction32drawEffectForwardReduceBufferHdrEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectForwardReduceBufferHdr(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction25drawEffectForwardAfterFogEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectForwardAfterFog(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction18drawEffectIndirectEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfffPKNS4_8ViewportE","alEffectSystemFunction::drawEffectIndirect(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float,sead::Viewport const*)",false
"_ZN22alEffectSystemFunction20drawEffectPostEffectEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectPostEffect(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction19drawEffectChromakeyEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectChromakey(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction22drawEffectShadowCasterEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectShadowCaster(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction24drawEffectShadowReceiverEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectShadowReceiver(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
"_ZN22alEffectSystemFunction36drawEffectShadowCasterWithSilhouetteEPKN2al12EffectSystemERKN4sead8Matrix44IfEERKNS4_8Matrix34IfEEfff","alEffectSystemFunction::drawEffectShadowCasterWithSilhouette(al::EffectSystem const*,sead::Matrix44<float> const&,sead::Matrix34<float> const&,float,float,float)",false
