Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18EffectShaderHolderC2EPNS_10PtclSystemEPN3agl11DrawContextEPNS_14EffectEnvParamE","al::EffectShaderHolder::EffectShaderHolder(al::PtclSystem *,agl::DrawContext *,al::EffectEnvParam *)",false
"sub_710088463C","",false
"sub_7100884684","",false
"_ZN2al18EffectShaderHolder21setGraphicsSystemInfoEPKNS_18GraphicsSystemInfoE","al::EffectShaderHolder::setGraphicsSystemInfo(al::GraphicsSystemInfo const*)",false
"_ZN2al18EffectShaderHolder7swapUboEv","al::EffectShaderHolder::swapUbo(void)",false
"_ZN2al18EffectShaderHolder27updateShaderParamForComputeEv","al::EffectShaderHolder::updateShaderParamForCompute(void)",false
"_ZN2al18EffectShaderHolder17updateShaderParamERKN4sead8Matrix34IfEE","al::EffectShaderHolder::updateShaderParam(sead::Matrix34<float> const&)",false
"_ZN2al18EffectShaderHolder29bindCustomShaderUboForComputeEPN3agl11DrawContextE","al::EffectShaderHolder::bindCustomShaderUboForCompute(agl::DrawContext *)",false
"_ZN2al18EffectShaderHolder19bindCustomShaderUboEPN3agl11DrawContextE","al::EffectShaderHolder::bindCustomShaderUbo(agl::DrawContext *)",false
"_ZN2al18EffectShaderHolder11updateLightEv","al::EffectShaderHolder::updateLight(void)",false
"_ZN2al18EffectShaderHolder17setupTextureColorEPKN3agl11TextureDataE","al::EffectShaderHolder::setupTextureColor(agl::TextureData const*)",false
"_ZN2al18EffectShaderHolder17setupTextureDepthEPKN3agl11TextureDataE","al::EffectShaderHolder::setupTextureDepth(agl::TextureData const*)",false
"_ZN2al18EffectShaderHolder17setupTextureLightEPKN3agl11TextureDataE","al::EffectShaderHolder::setupTextureLight(agl::TextureData const*)",false
"_ZN2al18EffectShaderHolder20setupTextureExposureEPKN3agl11TextureDataE","al::EffectShaderHolder::setupTextureExposure(agl::TextureData const*)",false
"_ZN2al18EffectShaderHolder17setupTextureProg0EPKN3agl11TextureDataE","al::EffectShaderHolder::setupTextureProg0(agl::TextureData const*)",false
"_ZNK2al18EffectShaderHolder23getTextureMaterialLightEi","al::EffectShaderHolder::getTextureMaterialLight(int)const",false
"_ZNK2al18EffectShaderHolder15getTextureNoiseEi","al::EffectShaderHolder::getTextureNoise(int)const",false
"sub_71008864BC","",false
"sub_7100886670","",false
"sub_71008867EC","",false
