Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12EffectSystem30getDefaultDataBaseResourcePathEv","al::EffectSystem::getDefaultDataBaseResourcePath(void)",false
"_ZN2al12EffectSystem26getDefaultPtclResourcePathEv","al::EffectSystem::getDefaultPtclResourcePath(void)",false
"_ZN2al12EffectSystem31getDefaultPtclPatchResourcePathEv","al::EffectSystem::getDefaultPtclPatchResourcePath(void)",false
"_ZN2al12EffectSystem12createSystemEPN3agl11DrawContextEPN4sead4HeapE","al::EffectSystem::createSystem(agl::DrawContext *,sead::Heap *)",false
"_ZN2al12EffectSystem28createSystemWithPatchResouceEPN3agl11DrawContextEPN4sead4HeapE","al::EffectSystem::createSystemWithPatchResouce(agl::DrawContext *,sead::Heap *)",false
"_ZN2al12EffectSystem18loadEffectResourceEPS0_","al::EffectSystem::loadEffectResource(al::EffectSystem*)",false
"_ZN2al12EffectSystem16loadPtclResourceEPN4sead4HeapE","al::EffectSystem::loadPtclResource(sead::Heap *)",false
"_ZN2al12EffectSystem16initializeSystemEPN3agl11DrawContextEPN4sead4HeapE","al::EffectSystem::initializeSystem(agl::DrawContext *,sead::Heap *)",false
"_ZN2al12EffectSystem32initializeSystemWithPatchResouceEPN3agl11DrawContextEPN4sead4HeapE","al::EffectSystem::initializeSystemWithPatchResouce(agl::DrawContext *,sead::Heap *)",false
"_ZN2al12EffectSystem20isEnableBatchComputeEv","al::EffectSystem::isEnableBatchCompute(void)",false
"_ZN2al12EffectSystem22getPauseForceCalcFrameEv","al::EffectSystem::getPauseForceCalcFrame(void)",false
"_ZN2al12EffectSystemC2Ev","al::EffectSystem::EffectSystem(void)",false
"_ZN2al12EffectSystem14setDrawContextEPN3agl11DrawContextE","al::EffectSystem::setDrawContext(agl::DrawContext *)",false
"_ZN2al12EffectSystem15addResourcePathEPKc","al::EffectSystem::addResourcePath(char const*)",false
"_ZN2al12EffectSystem4initEv","al::EffectSystem::init(void)",false
"sub_710088714C","",false
"sub_7100887198","",false
"sub_71008871E0","",false
"sub_71008871F8","",false
"_ZN2al12EffectSystem14loadDbResourceEPN4sead4HeapE","al::EffectSystem::loadDbResource(sead::Heap *)",false
"_ZN2nn3vfx6ConfigD2Ev","nn::vfx::Config::~Config()",false
"_ZN2al12EffectSystem9initSceneEv","al::EffectSystem::initScene(void)",false
"_ZN2al12EffectSystem7endInitEv","al::EffectSystem::endInit(void)",false
"_ZN2al12EffectSystem10startSceneEPNS_15ExecuteDirectorE","al::EffectSystem::startScene(al::ExecuteDirector *)",false
