Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16EffectSystemInfoC2Ev","al::EffectSystemInfo::EffectSystemInfo(void)",false
"_ZNK2al16EffectSystemInfo15getEffectSystemEv","al::EffectSystemInfo::getEffectSystem(void)const",false
"_ZN2al20emitEffectCurrentPosEPNS_16IUseEffectKeeperEPKc","al::emitEffectCurrentPos(al::IUseEffectKeeper *,char const*)",false
"_ZN2al10emitEffectEPNS_16IUseEffectKeeperEPKcPKN4sead7Vector3IfEE","al::emitEffect(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const*)",false
"_ZN2al13tryEmitEffectEPNS_16IUseEffectKeeperEPKcPKN4sead7Vector3IfEE","al::tryEmitEffect(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const*)",false
"_ZN2al12deleteEffectEPNS_16IUseEffectKeeperEPKc","al::deleteEffect(al::IUseEffectKeeper *,char const*)",false
"_ZN2al15tryDeleteEffectEPNS_16IUseEffectKeeperEPKc","al::tryDeleteEffect(al::IUseEffectKeeper *,char const*)",false
"_ZN2al15deleteEffectAllEPNS_16IUseEffectKeeperE","al::deleteEffectAll(al::IUseEffectKeeper *)",false
"_ZN2al28tryKillEmitterAndParticleAllEPNS_16IUseEffectKeeperE","al::tryKillEmitterAndParticleAll(al::IUseEffectKeeper *)",false
"_ZN2al19onCalcAndDrawEffectEPNS_16IUseEffectKeeperE","al::onCalcAndDrawEffect(al::IUseEffectKeeper *)",false
"_ZN2al20offCalcAndDrawEffectEPNS_16IUseEffectKeeperE","al::offCalcAndDrawEffect(al::IUseEffectKeeper *)",false
"_ZN2al23forceSetStopCalcAndDrawEPNS_16IUseEffectKeeperEb","al::forceSetStopCalcAndDraw(al::IUseEffectKeeper *,bool)",false
"_ZN2al16isEffectEmittingEPKNS_16IUseEffectKeeperEPKc","al::isEffectEmitting(al::IUseEffectKeeper const*,char const*)",false
"_ZN2al18setEffectEmitRatioEPNS_16IUseEffectKeeperEPKcf","al::setEffectEmitRatio(al::IUseEffectKeeper *,char const*,float)",false
"_ZN2al17setEffectAllScaleEPNS_16IUseEffectKeeperEPKcRKN4sead7Vector3IfEE","al::setEffectAllScale(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const&)",false
"_ZN2al27setEffectEmitterVolumeScaleEPNS_16IUseEffectKeeperEPKcRKN4sead7Vector3IfEE","al::setEffectEmitterVolumeScale(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const&)",false
"_ZN2al22setEffectParticleScaleEPNS_16IUseEffectKeeperEPKcf","al::setEffectParticleScale(al::IUseEffectKeeper *,char const*,float)",false
"_ZN2al22setEffectParticleScaleEPNS_16IUseEffectKeeperEPKcRKN4sead7Vector3IfEE","al::setEffectParticleScale(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const&)",false
"_ZN2al22setEffectParticleAlphaEPNS_16IUseEffectKeeperEPKcf","al::setEffectParticleAlpha(al::IUseEffectKeeper *,char const*,float)",false
"_ZN2al22setEffectParticleColorEPNS_16IUseEffectKeeperEPKcRKN4sead7Color4fE","al::setEffectParticleColor(al::IUseEffectKeeper *,char const*,sead::Color4f const&)",false
"_ZN2al20setParticleLifeScaleEPNS_16IUseEffectKeeperEPKcf","al::setParticleLifeScale(al::IUseEffectKeeper *,char const*,float)",false
"_ZN2al31setEffectParticleDirectionalVelEPNS_16IUseEffectKeeperEPKcf","al::setEffectParticleDirectionalVel(al::IUseEffectKeeper *,char const*,float)",false
"_ZN2al21setEffectFollowPosPtrEPNS_16IUseEffectKeeperEPKcPKN4sead7Vector3IfEE","al::setEffectFollowPosPtr(al::IUseEffectKeeper *,char const*,sead::Vector3<float> const*)",false
"_ZN2al21setEffectFollowMtxPtrEPNS_16IUseEffectKeeperEPKcPKN4sead8Matrix34IfEE","al::setEffectFollowMtxPtr(al::IUseEffectKeeper *,char const*,sead::Matrix34<float> const*)",false
"_ZN2al20setEffectNamedMtxPtrEPNS_16IUseEffectKeeperEPKcPKN4sead8Matrix34IfEE","al::setEffectNamedMtxPtr(al::IUseEffectKeeper *,char const*,sead::Matrix34<float> const*)",false
"_ZN2al23trySetEffectNamedMtxPtrEPNS_16IUseEffectKeeperEPKcPKN4sead8Matrix34IfEE","al::trySetEffectNamedMtxPtr(al::IUseEffectKeeper *,char const*,sead::Matrix34<float> const*)",false
"_ZN2al27tryUpdateEffectMaterialCodeEPNS_16IUseEffectKeeperEPKc","al::tryUpdateEffectMaterialCode(al::IUseEffectKeeper *,char const*)",false
"_ZN2al23resetEffectMaterialCodeEPNS_16IUseEffectKeeperE","al::resetEffectMaterialCode(al::IUseEffectKeeper *)",false
"_ZN2al25updateEffectMaterialWaterEPNS_16IUseEffectKeeperEb","al::updateEffectMaterialWater(al::IUseEffectKeeper *,bool)",false
"_ZN2al23updateEffectMaterialWetEPNS_16IUseEffectKeeperEb","al::updateEffectMaterialWet(al::IUseEffectKeeper *,bool)",false
"_ZN2al26updateEffectMaterialPuddleEPNS_16IUseEffectKeeperEb","al::updateEffectMaterialPuddle(al::IUseEffectKeeper *,bool)",false
