Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10PtclSystemC2ERKN4sead4ptcl6ConfigEPNS_12EffectSystemE","al::PtclSystem::PtclSystem(sead::ptcl::Config const&,al::EffectSystem *)",false
"_ZN4sead4ptcl10PtclSystemC2ERKNS0_6ConfigE","sead::ptcl::PtclSystem::PtclSystem(sead::ptcl::Config const&)",false
"_ZNK2al10PtclSystem14getNumResourceEv","al::PtclSystem::getNumResource(void)const",false
"_ZN2al10PtclSystem16entryResourceEndEv","al::PtclSystem::entryResourceEnd(void)",false
"_ZN2al10PtclSystem17getEffectEnvParamEv","al::PtclSystem::getEffectEnvParam(void)",false
"_ZN4sead4ptcl10PtclSystemD2Ev","sead::ptcl::PtclSystem::~PtclSystem()",false
"_ZN2al10PtclSystemD0Ev","al::PtclSystem::~PtclSystem()",false
"_ZN4sead4ptcl19PtclEditorInterfaceC2Ev","sead::ptcl::PtclEditorInterface::PtclEditorInterface(void)",false
"_ZN4sead4ptcl10PtclSystemD0Ev","sead::ptcl::PtclSystem::~PtclSystem()",false
"_ZN4sead4ptcl14PtclWorldScaleC2Ev","sead::ptcl::PtclWorldScale::PtclWorldScale(void)",false
"_ZN4sead15FixedSafeStringILi96EED0Ev","sead::FixedSafeString<96>::~FixedSafeString()",false
"_ZN4sead15FixedSafeStringILi96EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeString<96>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN4sead4ptcl14PtclWorldScale6updateEv","sead::ptcl::PtclWorldScale::update(void)",false
