Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23HeightMapTextureBlenderC2EPNS_18GraphicsSystemInfoERKN4sead7Vector2IiEES7_RKNS4_IfEE","al::HeightMapTextureBlender::HeightMapTextureBlender(al::GraphicsSystemInfo *,sead::Vector2<int> const&,sead::Vector2<int> const&,sead::Vector2<float> const&)",false
"_ZN2al23HeightMapTextureBlender9setSourceEPN3agl14TextureSamplerEi","al::HeightMapTextureBlender::setSource(agl::TextureSampler *,int)",false
"_ZN2al23HeightMapTextureBlender8finalizeEv","al::HeightMapTextureBlender::finalize(void)",false
"_ZN2al23HeightMapTextureBlender6updateERKNS_18GraphicsUpdateInfoE","al::HeightMapTextureBlender::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al23HeightMapTextureBlender7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::HeightMapTextureBlender::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al23HeightMapTextureBlender10drawSystemEPKNS_18GraphicsRenderInfoE","al::HeightMapTextureBlender::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZNK2al23HeightMapTextureBlender10drawHeightEPN3agl11DrawContextEPNS1_12RenderBufferE","al::HeightMapTextureBlender::drawHeight(agl::DrawContext *,agl::RenderBuffer *)const",false
"_ZNK2al23HeightMapTextureBlender7drawNrmEPN3agl11DrawContextEPNS1_12RenderBufferE","al::HeightMapTextureBlender::drawNrm(agl::DrawContext *,agl::RenderBuffer *)const",false
"_ZNK2al23HeightMapTextureBlender12calcIsInAreaERKN4sead7Vector3IfEE","al::HeightMapTextureBlender::calcIsInArea(sead::Vector3<float> const&)const",false
"_ZThn40_NK2al23HeightMapTextureBlender12calcIsInAreaERKN4sead7Vector3IfEE","`non-virtual thunk to'al::HeightMapTextureBlender::calcIsInArea(sead::Vector3<float> const&)const",false
"_ZNK2al23HeightMapTextureBlender7calcPosEPN4sead7Vector3IfEERKS3_","al::HeightMapTextureBlender::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al23HeightMapTextureBlender7calcPosEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::HeightMapTextureBlender::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al23HeightMapTextureBlender10calcNormalEPN4sead7Vector3IfEERKS3_","al::HeightMapTextureBlender::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al23HeightMapTextureBlender10calcNormalEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::HeightMapTextureBlender::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al23HeightMapTextureBlender7getNameEv","al::HeightMapTextureBlender::getName(void)const",false
"_ZNK2al23HeightMapTextureBlender11calcPosFlatEPN4sead7Vector3IfEERKS3_","al::HeightMapTextureBlender::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al23HeightMapTextureBlender11getTypeNameEv","al::HeightMapTextureBlender::getTypeName(void)const",false
"_ZThn40_NK2al23HeightMapTextureBlender11calcPosFlatEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::HeightMapTextureBlender::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al23HeightMapTextureBlender11getTypeNameEv","`non-virtual thunk to'al::HeightMapTextureBlender::getTypeName(void)const",false
