Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23RippleTextureControllerC2EPKc","al::RippleTextureController::RippleTextureController(char const*)",false
"_ZN2al23RippleTextureController9initParamEPNS_11ParameterIoEPKNS_9ByamlIterEPNS_11IUseHioNodeEPNS_18GraphicsSystemInfoERKN4sead7Vector3IfEERKNSA_4QuatIfEE","al::RippleTextureController::initParam(al::ParameterIo *,al::ByamlIter const*,al::IUseHioNode *,al::GraphicsSystemInfo *,sead::Vector3<float> const&,sead::Quat<float> const&)",false
"_ZN2al23RippleTextureController6updateERKN4sead7Vector3IfEES5_b","al::RippleTextureController::update(sead::Vector3<float> const&,sead::Vector3<float> const&,bool)",false
"_ZN2al23RippleTextureController14replaceTextureEPNS_9LiveActorEPKcS4_ii","al::RippleTextureController::replaceTexture(al::LiveActor *,char const*,char const*,int,int)",false
"_ZNK2al23RippleTextureController11getTexRangeEv","al::RippleTextureController::getTexRange(void)const",false
"_ZNK2al23RippleTextureController12getCenterPosEv","al::RippleTextureController::getCenterPos(void)const",false
"_ZN2al23RippleTextureController13setFieldScaleEf","al::RippleTextureController::setFieldScale(float)",false
"_ZNK2al12ParameterV2f15getParamTypeStrEv","al::ParameterV2f::getParamTypeStr(void)const",false
"_ZNK2al12ParameterV2f12getParamTypeEv","al::ParameterV2f::getParamType(void)const",false
"_ZNK2al9ParameterIN4sead7Vector2IfEEE3ptrEv","al::Parameter<sead::Vector2<float>>::ptr(void)const",false
"_ZN2al9ParameterIN4sead7Vector2IfEEE3ptrEv","al::Parameter<sead::Vector2<float>>::ptr(void)",false
"_ZNK2al9ParameterIN4sead7Vector2IfEEE4sizeEv","al::Parameter<sead::Vector2<float>>::size(void)const",false
"_ZNK2al9ParameterIN4sead7Vector2IfEEE15getParamTypeStrEv","al::Parameter<sead::Vector2<float>>::getParamTypeStr(void)const",false
"_ZNK2al9ParameterIN4sead7Vector2IfEEE12getParamTypeEv","al::Parameter<sead::Vector2<float>>::getParamType(void)const",false
