Mangled Symbol, Demangled Symbol, Is Matched
"_ZNK2al8FogParam8isEnableEv","al::FogParam::isEnable(void)const",false
"_ZNK2al8FogParam10isApplySkyEv","al::FogParam::isApplySky(void)const",false
"_ZNK2al8FogParam17isApplySkyDefaultEv","al::FogParam::isApplySkyDefault(void)const",false
"_ZNK2al8FogParam13isDeferredFogEv","al::FogParam::isDeferredFog(void)const",false
"_ZNK2al8FogParam11isBlendMultEv","al::FogParam::isBlendMult(void)const",false
"_ZNK2al8FogParam9isInWaterEv","al::FogParam::isInWater(void)const",false
"_ZNK2al8FogParam13isUseDepthTgtEv","al::FogParam::isUseDepthTgt(void)const",false
"_ZNK2al8FogParam8getColorEv","al::FogParam::getColor(void)const",false
"_ZNK2al8FogParam8getStartEv","al::FogParam::getStart(void)const",false
"_ZNK2al8FogParam8getSlopeEv","al::FogParam::getSlope(void)const",false
"_ZNK2al8FogParam6getMaxEv","al::FogParam::getMax(void)const",false
"_ZNK2al8FogParam9getSkyMipEv","al::FogParam::getSkyMip(void)const",false
"_ZNK2al8FogParam17getNoiseIntensityEv","al::FogParam::getNoiseIntensity(void)const",false
"_ZNK2al8FogParam16getNoiseDistCoefEv","al::FogParam::getNoiseDistCoef(void)const",false
"_ZNK2al8FogParam19getNoiseTexCrdScaleEv","al::FogParam::getNoiseTexCrdScale(void)const",false
"_ZNK2al8FogParam22getNoiseTexCrdVelocityEv","al::FogParam::getNoiseTexCrdVelocity(void)const",false
"_ZN2al8FogParam9setEnableEb","al::FogParam::setEnable(bool)",false
"_ZN2al8FogParam11setApplySkyEb","al::FogParam::setApplySky(bool)",false
"_ZN2al8FogParam18setApplySkyDefaultEb","al::FogParam::setApplySkyDefault(bool)",false
"_ZN2al8FogParam12setBlendMultEb","al::FogParam::setBlendMult(bool)",false
"_ZN2al8FogParam12setIsInWaterEb","al::FogParam::setIsInWater(bool)",false
"_ZN2al8FogParam8setColorERKN4sead7Color4fE","al::FogParam::setColor(sead::Color4f const&)",false
"_ZN2al8FogParam8setStartEf","al::FogParam::setStart(float)",false
"_ZN2al8FogParam8setSlopeEf","al::FogParam::setSlope(float)",false
"_ZN2al8FogParam6setMaxEf","al::FogParam::setMax(float)",false
"_ZN2al8FogParam9setSkyMipEf","al::FogParam::setSkyMip(float)",false
"_ZN2al8FogParam17setNoiseIntensityEf","al::FogParam::setNoiseIntensity(float)",false
"_ZN2al8FogParam16setNoiseDistCoefEf","al::FogParam::setNoiseDistCoef(float)",false
