Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15GameFrameworkNxC1ERKN4sead15GameFrameworkNx9CreateArgE","al::GameFrameworkNx::GameFrameworkNx(sead::GameFrameworkNx::CreateArg const&)",false
"_ZN2al15GameFrameworkNx19createControllerMgrEPN4sead8TaskBaseE","al::GameFrameworkNx::createControllerMgr(sead::TaskBase *)",false
"_ZN2al15GameFrameworkNx7initAglEPN4sead4HeapEiiiiii","al::GameFrameworkNx::initAgl(sead::Heap *,int,int,int,int,int,int)",false
"_ZN2al15GameFrameworkNx20createInfLoopCheckerEPN4sead8TaskBaseERKNS1_8TickSpanEi","al::GameFrameworkNx::createInfLoopChecker(sead::TaskBase *,sead::TickSpan const&,int)",false
"_ZN2al15GameFrameworkNx16clearFrameBufferEv","al::GameFrameworkNx::clearFrameBuffer(void)",false
"_ZN2al15GameFrameworkNx10procFrame_Ev","al::GameFrameworkNx::procFrame_(void)",false
"_ZN2al15GameFrameworkNx9procDraw_Ev","al::GameFrameworkNx::procDraw_(void)",false
"_ZN2al15GameFrameworkNx8present_Ev","al::GameFrameworkNx::present_(void)",false
"_ZNK2al15GameFrameworkNx27checkDerivedRuntimeTypeInfoEPKN4sead15RuntimeTypeInfo9InterfaceE","al::GameFrameworkNx::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZNK2al15GameFrameworkNx18getRuntimeTypeInfoEv","al::GameFrameworkNx::getRuntimeTypeInfo(void)const",false
"_ZN2al15GameFrameworkNxD0Ev","al::GameFrameworkNx::~GameFrameworkNx()",false
"_ZN2al15GameFrameworkNx15createHostIOMgrEPN4sead8TaskBaseEPNS1_9HostIOMgr9ParameterEPNS1_4HeapE","al::GameFrameworkNx::createHostIOMgr(sead::TaskBase *,sead::HostIOMgr::Parameter *,sead::Heap *)",false
"_ZNK4sead13ControllerMgr9Parameter27checkDerivedRuntimeTypeInfoEPKNS_15RuntimeTypeInfo9InterfaceE","sead::ControllerMgr::Parameter::checkDerivedRuntimeTypeInfo(sead::RuntimeTypeInfo::Interface const*)const",false
"_ZNK4sead13ControllerMgr9Parameter18getRuntimeTypeInfoEv","sead::ControllerMgr::Parameter::getRuntimeTypeInfo(void)const",false
"_ZN2al15GameFrameworkNx33checkDerivedRuntimeTypeInfoStaticEPKN4sead15RuntimeTypeInfo9InterfaceE","al::GameFrameworkNx::checkDerivedRuntimeTypeInfoStatic(sead::RuntimeTypeInfo::Interface const*)",false
