Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15HitSensorKeeperC2Ei","al::HitSensorKeeper::HitSensorKeeper(int)",false
"_ZN2al15HitSensorKeeper9addSensorEPNS_9LiveActorEPKcjftPKN4sead7Vector3IfEEPKNS5_8Matrix34IfEERS8_","al::HitSensorKeeper::addSensor(al::LiveActor *,char const*,unsigned int,float,unsigned short,sead::Vector3<float> const*,sead::Matrix34<float> const*,sead::Vector3<float> const&)",false
"_ZN2al15HitSensorKeeper6updateEv","al::HitSensorKeeper::update(void)",false
"_ZNK2al15HitSensorKeeper12getSensorNumEv","al::HitSensorKeeper::getSensorNum(void)const",false
"_ZNK2al15HitSensorKeeper9getSensorEi","al::HitSensorKeeper::getSensor(int)const",false
"_ZN2al15HitSensorKeeper12attackSensorEv","al::HitSensorKeeper::attackSensor(void)",false
"_ZN2al15HitSensorKeeper5clearEv","al::HitSensorKeeper::clear(void)",false
"_ZN2al15HitSensorKeeper8validateEv","al::HitSensorKeeper::validate(void)",false
"_ZN2al15HitSensorKeeper10invalidateEv","al::HitSensorKeeper::invalidate(void)",false
"_ZN2al15HitSensorKeeper16validateBySystemEv","al::HitSensorKeeper::validateBySystem(void)",false
"_ZN2al15HitSensorKeeper18invalidateBySystemEv","al::HitSensorKeeper::invalidateBySystem(void)",false
"_ZNK2al15HitSensorKeeper9getSensorEPKc","al::HitSensorKeeper::getSensor(char const*)const",false
