Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13KeyPoseKeeperC2Ev","al::KeyPoseKeeper::KeyPoseKeeper(void)",false
"_ZN2al13KeyPoseKeeper4initERKNS_13PlacementInfoE","al::KeyPoseKeeper::init(al::PlacementInfo const&)",false
"_ZNK2al13KeyPoseKeeper10getKeyPoseEi","al::KeyPoseKeeper::getKeyPose(int)const",false
"_ZNK2al13KeyPoseKeeper17getCurrentKeyPoseEv","al::KeyPoseKeeper::getCurrentKeyPose(void)const",false
"_ZNK2al13KeyPoseKeeper14getNextKeyPoseEv","al::KeyPoseKeeper::getNextKeyPose(void)const",false
"_ZNK2al13KeyPoseKeeper17calcNextPoseIndexEv","al::KeyPoseKeeper::calcNextPoseIndex(void)const",false
"_ZN2al13KeyPoseKeeper5resetEv","al::KeyPoseKeeper::reset(void)",false
"_ZN2al13KeyPoseKeeper4nextEv","al::KeyPoseKeeper::next(void)",false
"_ZNK2al13KeyPoseKeeper9isLastKeyEv","al::KeyPoseKeeper::isLastKey(void)const",false
"_ZN2al13KeyPoseKeeper7reverseEv","al::KeyPoseKeeper::reverse(void)",false
"_ZNK2al13KeyPoseKeeper10isFirstKeyEv","al::KeyPoseKeeper::isFirstKey(void)const",false
"_ZN2al13KeyPoseKeeper15setMoveTypeLoopEv","al::KeyPoseKeeper::setMoveTypeLoop(void)",false
"_ZN2al13KeyPoseKeeper15setMoveTypeTurnEv","al::KeyPoseKeeper::setMoveTypeTurn(void)",false
"_ZN2al13KeyPoseKeeper15setMoveTypeStopEv","al::KeyPoseKeeper::setMoveTypeStop(void)",false
"_ZN2al13KeyPoseKeeper18setMoveTypeRestartEv","al::KeyPoseKeeper::setMoveTypeRestart(void)",false
"_ZN2al19createKeyPoseKeeperERKNS_13ActorInitInfoE","al::createKeyPoseKeeper(al::ActorInitInfo const&)",false
"_ZN2al19createKeyPoseKeeperERKNS_13PlacementInfoE","al::createKeyPoseKeeper(al::PlacementInfo const&)",false
"_ZN2al12resetKeyPoseEPNS_13KeyPoseKeeperE","al::resetKeyPose(al::KeyPoseKeeper *)",false
"_ZN2al11nextKeyPoseEPNS_13KeyPoseKeeperE","al::nextKeyPose(al::KeyPoseKeeper *)",false
"_ZN2al14restartKeyPoseEPNS_13KeyPoseKeeperEPN4sead7Vector3IfEEPNS2_4QuatIfEE","al::restartKeyPose(al::KeyPoseKeeper *,sead::Vector3<float> *,sead::Quat<float> *)",false
"_ZN2al14reverseKeyPoseEPNS_13KeyPoseKeeperE","al::reverseKeyPose(al::KeyPoseKeeper *)",false
"_ZN2al18getCurrentKeyTransEPKNS_13KeyPoseKeeperE","al::getCurrentKeyTrans(al::KeyPoseKeeper const*)",false
"_ZN2al15getNextKeyTransEPKNS_13KeyPoseKeeperE","al::getNextKeyTrans(al::KeyPoseKeeper const*)",false
"_ZN2al17getCurrentKeyQuatEPKNS_13KeyPoseKeeperE","al::getCurrentKeyQuat(al::KeyPoseKeeper const*)",false
"_ZN2al14getNextKeyQuatEPKNS_13KeyPoseKeeperE","al::getNextKeyQuat(al::KeyPoseKeeper const*)",false
"_ZN2al26getCurrentKeyPlacementInfoEPKNS_13KeyPoseKeeperE","al::getCurrentKeyPlacementInfo(al::KeyPoseKeeper const*)",false
"_ZN2al23getNextKeyPlacementInfoEPKNS_13KeyPoseKeeperE","al::getNextKeyPlacementInfo(al::KeyPoseKeeper const*)",false
"_ZN2al15getKeyPoseCountEPKNS_13KeyPoseKeeperE","al::getKeyPoseCount(al::KeyPoseKeeper const*)",false
"_ZN2al15getKeyPoseTransEPN4sead7Vector3IfEEPKNS_13KeyPoseKeeperEi","al::getKeyPoseTrans(sead::Vector3<float> *,al::KeyPoseKeeper const*,int)",false
"_ZN2al14getKeyPoseQuatEPN4sead4QuatIfEEPKNS_13KeyPoseKeeperEi","al::getKeyPoseQuat(sead::Quat<float> *,al::KeyPoseKeeper const*,int)",false
"_ZN2al16calcLerpKeyTransEPN4sead7Vector3IfEEPKNS_13KeyPoseKeeperEf","al::calcLerpKeyTrans(sead::Vector3<float> *,al::KeyPoseKeeper const*,float)",false
"_ZN2al16calcSlerpKeyQuatEPN4sead4QuatIfEEPKNS_13KeyPoseKeeperEf","al::calcSlerpKeyQuat(sead::Quat<float> *,al::KeyPoseKeeper const*,float)",false
"_ZN2al13isMoveSignKeyEPKNS_13KeyPoseKeeperE","al::isMoveSignKey(al::KeyPoseKeeper const*)",false
"_ZN2al9isLastKeyEPKNS_13KeyPoseKeeperE","al::isLastKey(al::KeyPoseKeeper const*)",false
"_ZN2al10isFirstKeyEPKNS_13KeyPoseKeeperE","al::isFirstKey(al::KeyPoseKeeper const*)",false
"_ZN2al12isGoingToEndEPKNS_13KeyPoseKeeperE","al::isGoingToEnd(al::KeyPoseKeeper const*)",false
"_ZN2al6isStopEPKNS_13KeyPoseKeeperE","al::isStop(al::KeyPoseKeeper const*)",false
"_ZN2al9isRestartEPKNS_13KeyPoseKeeperE","al::isRestart(al::KeyPoseKeeper const*)",false
"_ZN2al24calcDistanceNextKeyTransEPKNS_13KeyPoseKeeperE","al::calcDistanceNextKeyTrans(al::KeyPoseKeeper const*)",false
"_ZN2al21calcTimeToNextKeyMoveEPKNS_13KeyPoseKeeperEf","al::calcTimeToNextKeyMove(al::KeyPoseKeeper const*,float)",false
"_ZN2al16calcDirToNextKeyEPN4sead7Vector3IfEEPKNS_13KeyPoseKeeperE","al::calcDirToNextKey(sead::Vector3<float> *,al::KeyPoseKeeper const*)",false
"_ZN2al16calcKeyMoveSpeedEPKNS_13KeyPoseKeeperE","al::calcKeyMoveSpeed(al::KeyPoseKeeper const*)",false
"_ZN2al22calcKeyMoveSpeedByTimeEPKNS_13KeyPoseKeeperE","al::calcKeyMoveSpeedByTime(al::KeyPoseKeeper const*)",false
"_ZN2al19calcKeyMoveWaitTimeEPKNS_13KeyPoseKeeperE","al::calcKeyMoveWaitTime(al::KeyPoseKeeper const*)",false
"_ZN2al19calcKeyMoveMoveTimeEPKNS_13KeyPoseKeeperE","al::calcKeyMoveMoveTime(al::KeyPoseKeeper const*)",false
"_ZN2al23calcKeyMoveClippingInfoEPN4sead7Vector3IfEEPfPKNS_13KeyPoseKeeperEf","al::calcKeyMoveClippingInfo(sead::Vector3<float> *,float *,al::KeyPoseKeeper const*,float)",false
"_ZN2al22setKeyMoveClippingInfoEPNS_9LiveActorEPN4sead7Vector3IfEEPKNS_13KeyPoseKeeperE","al::setKeyMoveClippingInfo(al::LiveActor *,sead::Vector3<float> *,al::KeyPoseKeeper const*)",false
