Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12MoveTwoPointC2Ev","al::MoveTwoPoint::MoveTwoPoint(void)",false
"_ZN2al12MoveTwoPointC1ERKNS_13ActorInitInfoE","al::MoveTwoPoint::MoveTwoPoint(al::ActorInitInfo const&)",false
"_ZN2al12MoveTwoPoint4initERKNS_13ActorInitInfoE","al::MoveTwoPoint::init(al::ActorInitInfo const&)",false
"_ZNK2al12MoveTwoPoint8calcPoseEPN4sead4QuatIfEEPNS1_7Vector3IfEEf","al::MoveTwoPoint::calcPose(sead::Quat<float> *,sead::Vector3<float> *,float)const",false
"_ZNK2al12MoveTwoPoint18calcPoseByDistanceEPN4sead4QuatIfEEPNS1_7Vector3IfEEf","al::MoveTwoPoint::calcPoseByDistance(sead::Quat<float> *,sead::Vector3<float> *,float)const",false
"_ZN2al11startActionEPNS_16IUseLayoutActionEPKcS3_","al::startAction(al::IUseLayoutAction *,char const*,char const*)",false
"_ZN2al24startActionAtRandomFrameEPNS_16IUseLayoutActionEPKcS3_","al::startActionAtRandomFrame(al::IUseLayoutAction *,char const*,char const*)",false
"_ZN2al17startFreezeActionEPNS_16IUseLayoutActionEPKcfS3_","al::startFreezeAction(al::IUseLayoutAction *,char const*,float,char const*)",false
"_ZN2al20startFreezeActionEndEPNS_16IUseLayoutActionEPKcS3_","al::startFreezeActionEnd(al::IUseLayoutAction *,char const*,char const*)",false
"_ZN2al17getActionFrameMaxEPKNS_16IUseLayoutActionEPKcS4_","al::getActionFrameMax(al::IUseLayoutAction const*,char const*,char const*)",false
"_ZN2al22startFreezeGaugeActionEPNS_16IUseLayoutActionEfffPKcS3_","al::startFreezeGaugeAction(al::IUseLayoutAction *,float,float,float,char const*,char const*)",false
"_ZN2al14tryStartActionEPNS_16IUseLayoutActionEPKcS3_","al::tryStartAction(al::IUseLayoutAction *,char const*,char const*)",false
"_ZN2al13isExistActionEPKNS_16IUseLayoutActionEPKcS4_","al::isExistAction(al::IUseLayoutAction const*,char const*,char const*)",false
"_ZN2al11isActionEndEPKNS_16IUseLayoutActionEPKc","al::isActionEnd(al::IUseLayoutAction const*,char const*)",false
"_ZN2al13isExistActionEPKNS_16IUseLayoutActionEPKc","al::isExistAction(al::IUseLayoutAction const*,char const*)",false
"_ZN2al15isActionOneTimeEPKNS_16IUseLayoutActionEPKcS4_","al::isActionOneTime(al::IUseLayoutAction const*,char const*,char const*)",false
"_ZN2al14getActionFrameEPKNS_16IUseLayoutActionEPKc","al::getActionFrame(al::IUseLayoutAction const*,char const*)",false
"_ZN2al14setActionFrameEPNS_16IUseLayoutActionEfPKc","al::setActionFrame(al::IUseLayoutAction *,float,char const*)",false
"_ZN2al18getActionFrameRateEPKNS_16IUseLayoutActionEPKc","al::getActionFrameRate(al::IUseLayoutAction const*,char const*)",false
"_ZN2al18setActionFrameRateEPNS_16IUseLayoutActionEfPKc","al::setActionFrameRate(al::IUseLayoutAction *,float,char const*)",false
"_ZN2al13getActionNameEPKNS_16IUseLayoutActionEPKc","al::getActionName(al::IUseLayoutAction const*,char const*)",false
"_ZN2al15isActionPlayingEPKNS_16IUseLayoutActionEPKcS4_","al::isActionPlaying(al::IUseLayoutAction const*,char const*,char const*)",false
"_ZN2al18isAnyActionPlayingEPKNS_16IUseLayoutActionEPKc","al::isAnyActionPlaying(al::IUseLayoutAction const*,char const*)",false
"_ZN2al19setNerveAtActionEndEPNS_11LayoutActorEPKNS_5NerveE","al::setNerveAtActionEnd(al::LayoutActor *,al::Nerve const*)",false
"_ZN2al17startTextPaneAnimEPNS_11LayoutActorEPKDsPKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseE","al::startTextPaneAnim(al::LayoutActor *,char16_t const*,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*)",false
"_ZN2al30startTextPaneAnimWithAudioUserEPNS_11LayoutActorEPKDsPKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseEPKNS_15IUseAudioKeeperE","al::startTextPaneAnimWithAudioUser(al::LayoutActor *,char16_t const*,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*,al::IUseAudioKeeper const*)",false
"_ZN2al28startAndSetTextPaneAnimStageEPNS_11LayoutActorEPKcS3_PKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseE","al::startAndSetTextPaneAnimStage(al::LayoutActor *,char const*,char const*,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*)",false
"_ZN2al29startAndSetTextPaneAnimSystemEPNS_11LayoutActorEPKcS3_PKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseE","al::startAndSetTextPaneAnimSystem(al::LayoutActor *,char const*,char const*,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*)",false
"_ZN2al15endTextPaneAnimEPNS_11LayoutActorE","al::endTextPaneAnim(al::LayoutActor *)",false
"_ZN2al16skipTextPaneAnimEPNS_11LayoutActorE","al::skipTextPaneAnim(al::LayoutActor *)",false
"_ZN2al17flushTextPaneAnimEPNS_11LayoutActorE","al::flushTextPaneAnim(al::LayoutActor *)",false
"_ZN2al14changeNextPageEPNS_11LayoutActorEPKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseE","al::changeNextPage(al::LayoutActor *,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*)",false
"_ZN2al17tryChangeNextPageEPNS_11LayoutActorEPKNS_20MessageTagDataHolderEPKNS_23ReplaceTagProcessorBaseE","al::tryChangeNextPage(al::LayoutActor *,al::MessageTagDataHolder const*,al::ReplaceTagProcessorBase const*)",false
"_ZN2al15isExistNextPageEPKNS_11LayoutActorE","al::isExistNextPage(al::LayoutActor const*)",false
"_ZN2al17isEndTextPaneAnimEPKNS_11LayoutActorEb","al::isEndTextPaneAnim(al::LayoutActor const*,bool)",false
"_ZN2al25getCurrentMessagePaneAnimEPKNS_11LayoutActorE","al::getCurrentMessagePaneAnim(al::LayoutActor const*)",false
"_ZN2al25calcCurrentMessageTextNumEPKNS_11LayoutActorE","al::calcCurrentMessageTextNum(al::LayoutActor const*)",false
"_ZN2al16calcShowTextTimeEi","al::calcShowTextTime(int)",false
"_ZN2al16tryStartTextAnimEPNS_11LayoutActorEPKDs","al::tryStartTextAnim(al::LayoutActor *,char16_t const*)",false
"_ZN2al20tryStartTextTagVoiceEPNS_11LayoutActorEPKDsPKNS_15IUseAudioKeeperEPKcPN4sead15FixedSafeStringILi64EEE","al::tryStartTextTagVoice(al::LayoutActor *,char16_t const*,al::IUseAudioKeeper const*,char const*,sead::FixedSafeString<64> *)",false
"_ZN2al16startHitReactionEPKNS_11LayoutActorEPKcS4_","al::startHitReaction(al::LayoutActor const*,char const*,char const*)",false
"_ZN2al11LayoutActorC2EPKc","al::LayoutActor::LayoutActor(char const*)",false
"_ZN2al11LayoutActorC1EPKc","al::LayoutActor::LayoutActor(char const*)",false
"_ZN2al11LayoutActor6appearEv","al::LayoutActor::appear(void)",false
"_ZN2al11LayoutActor4killEv","al::LayoutActor::kill(void)",false
"_ZN2al11LayoutActor8movementEv","al::LayoutActor::movement(void)",false
"_ZN2al11LayoutActor10syncActionEv","al::LayoutActor::syncAction(void)",false
"_ZN2al11LayoutActor8calcAnimEb","al::LayoutActor::calcAnim(bool)",false
"_ZN2al11LayoutActor16initLayoutKeeperEPNS_12LayoutKeeperE","al::LayoutActor::initLayoutKeeper(al::LayoutKeeper *)",false
"_ZN2al11LayoutActor16initActionKeeperEv","al::LayoutActor::initActionKeeper(void)",false
"_ZN2al11LayoutActor20initTextPaneAnimatorEPNS_22LayoutTextPaneAnimatorE","al::LayoutActor::initTextPaneAnimator(al::LayoutTextPaneAnimator *)",false
"_ZN2al11LayoutActor15initExecuteInfoEPNS_17LayoutExecuteInfoE","al::LayoutActor::initExecuteInfo(al::LayoutExecuteInfo *)",false
"_ZN2al11LayoutActor21initHitReactionKeeperEPNS_17HitReactionKeeperE","al::LayoutActor::initHitReactionKeeper(al::HitReactionKeeper *)",false
"_ZN2al11LayoutActor13initSceneInfoEPNS_15LayoutSceneInfoE","al::LayoutActor::initSceneInfo(al::LayoutSceneInfo *)",false
