Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12LayoutKeeperC2Ev","al::LayoutKeeper::LayoutKeeper(void)",false
"_ZN2al12LayoutKeeper10initScreenEPN3eui6ScreenE","al::LayoutKeeper::initScreen(eui::Screen *)",false
"_ZN2al12LayoutKeeper10initLayoutEPN2nn4ui2d6LayoutEPNS_14LayoutResourceE","al::LayoutKeeper::initLayout(nn::ui2d::Layout *,al::LayoutResource *)",false
"_ZN2al12LayoutKeeper12initDrawInfoEPN2nn4ui2d8DrawInfoE","al::LayoutKeeper::initDrawInfo(nn::ui2d::DrawInfo *)",false
"_ZN2al12LayoutKeeper16initTagProcessorEPNS_18CustomTagProcessorE","al::LayoutKeeper::initTagProcessor(al::CustomTagProcessor *)",false
"_ZNK2al12LayoutKeeper8getGroupEPKc","al::LayoutKeeper::getGroup(char const*)const",false
"_ZNK2al12LayoutKeeper8getGroupEi","al::LayoutKeeper::getGroup(int)const",false
"_ZNK2al12LayoutKeeper11getGroupNumEv","al::LayoutKeeper::getGroupNum(void)const",false
"_ZN2al12LayoutKeeper8calcAnimEb","al::LayoutKeeper::calcAnim(bool)",false
"_ZN2al12LayoutKeeper4drawEv","al::LayoutKeeper::draw(void)",false
