Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12LayoutSystemC2Ev","al::LayoutSystem::LayoutSystem(void)",false
"_ZN2al12LayoutSystem4initEv","al::LayoutSystem::init(void)",false
"_ZN2al12LayoutSystem20initGraphicsResourceEv","al::LayoutSystem::initGraphicsResource(void)",false
"_ZN2al12LayoutSystem8initFontEv","al::LayoutSystem::initFont(void)",false
"_ZN2al12LayoutSystem7initEuiEv","al::LayoutSystem::initEui(void)",false
"_ZNK2al12LayoutSystem11tryFindFontEPKc","al::LayoutSystem::tryFindFont(char const*)const",false
"_ZNK2al12LayoutSystem15getFontNamePairEi","al::LayoutSystem::getFontNamePair(int)const",false
"_ZN2al12LayoutSystem32prepareInitFontForChangeLanguageEv","al::LayoutSystem::prepareInitFontForChangeLanguage(void)",false
"_ZN2al12LayoutSystem25initFontForChangeLanguageEv","al::LayoutSystem::initFontForChangeLanguage(void)",false
"_ZN2al12LayoutSystem10reinitFontEPN4sead4HeapE","al::LayoutSystem::reinitFont(sead::Heap *)",false
"_ZNK2al12LayoutSystem9beginDrawEv","al::LayoutSystem::beginDraw(void)const",false
"_ZNK2al12LayoutSystem7endDrawEv","al::LayoutSystem::endDraw(void)const",false
"_ZN4sead6BufferIN2al12FontNamePairEE8heapSortEPFiPKS2_S5_Eii","sead::Buffer<al::FontNamePair>::heapSort(int (*)(al::FontNamePair const*,al::FontNamePair const*),int,int)",false
"sub_71008BBB0C","",false
"_ZN2al12FontNamePairC2Ev","al::FontNamePair::FontNamePair(void)",false
"sub_71008BBC10","",false
"_ZN2al16EuiScreenFactory10initializeEPN4sead4HeapEi","al::EuiScreenFactory::initialize(sead::Heap *,int)",false
"_ZN2al16EuiScreenFactory12createScreenEPN4sead4HeapEi","al::EuiScreenFactory::createScreen(sead::Heap *,int)",false
"_ZNK2al16EuiScreenFactory13getScreenNameEi","al::EuiScreenFactory::getScreenName(int)const",false
"_ZNK2al16EuiScreenFactory12getScreenNumEv","al::EuiScreenFactory::getScreenNum(void)const",false
"_ZNK2al16EuiScreenFactory12findScreenIdEPKc","al::EuiScreenFactory::findScreenId(char const*)const",false
"_ZN2al16EuiScreenFactory16assignScreenNameEPKc","al::EuiScreenFactory::assignScreenName(char const*)",false
"_ZN3eui13ScreenFactoryD2Ev","eui::ScreenFactory::~ScreenFactory()",false
"_ZN2al16EuiScreenFactoryD0Ev","al::EuiScreenFactory::~EuiScreenFactory()",false
"_ZNK3eui13ScreenFactory27getDrawTargetFromDrawUnitIdEa","eui::ScreenFactory::getDrawTargetFromDrawUnitId(signed char)const",false
"_ZN2al9LayoutKitC1EPNS_10FontHolderE","al::LayoutKit::LayoutKit(al::FontHolder *)",false
"_ZN2al9LayoutKitD2Ev","al::LayoutKit::~LayoutKit()",false
"_ZN2al9LayoutKit24createCameraParamForIconEv","al::LayoutKit::createCameraParamForIcon(void)",false
"_ZN2al9LayoutKit21createExecuteDirectorEi","al::LayoutKit::createExecuteDirector(int)",false
"_ZN2al9LayoutKit18createEffectSystemEv","al::LayoutKit::createEffectSystem(void)",false
"_ZN2al9LayoutKit7endInitEv","al::LayoutKit::endInit(void)",false
"_ZN2al9LayoutKit6updateEv","al::LayoutKit::update(void)",false
"_ZNK2al9LayoutKit4drawEPKc","al::LayoutKit::draw(char const*)const",false
"_ZNK2al9LayoutKit8drawListEPKcS2_","al::LayoutKit::drawList(char const*,char const*)const",false
"_ZN2al9LayoutKit15setLayoutSystemEPNS_12LayoutSystemE","al::LayoutKit::setLayoutSystem(al::LayoutSystem *)",false
"_ZN2al9LayoutKit14setDrawContextEPN3agl11DrawContextE","al::LayoutKit::setDrawContext(agl::DrawContext *)",false
"_ZN2al18initLayoutInitInfoEPNS_14LayoutInitInfoEPKNS_9LayoutKitEPNS_14SceneObjHolderEPKNS_13AudioDirectorEPKNS_12LayoutSystemEPKNS_13MessageSystemEPKNS_13GamePadSystemE","al::initLayoutInitInfo(al::LayoutInitInfo *,al::LayoutKit const*,al::SceneObjHolder *,al::AudioDirector const*,al::LayoutSystem const*,al::MessageSystem const*,al::GamePadSystem const*)",false
"_ZN2al15setRenderBufferEPNS_9LayoutKitEPKN3agl12RenderBufferE","al::setRenderBuffer(al::LayoutKit *,agl::RenderBuffer const*)",false
"_ZN2al13executeUpdateEPNS_9LayoutKitE","al::executeUpdate(al::LayoutKit *)",false
"_ZN2al17executeUpdateListEPNS_9LayoutKitEPKcS3_","al::executeUpdateList(al::LayoutKit *,char const*,char const*)",false
"_ZN2al19executeUpdateEffectEPNS_9LayoutKitE","al::executeUpdateEffect(al::LayoutKit *)",false
"_ZN2al11executeDrawEPKNS_9LayoutKitEPKc","al::executeDraw(al::LayoutKit const*,char const*)",false
"_ZN2al17executeDrawEffectEPKNS_9LayoutKitE","al::executeDrawEffect(al::LayoutKit const*)",false
