Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14DirectionParam9initByArgERKNS_13ActorInitInfoE","al::DirectionParam::initByArg(al::ActorInitInfo const&)",false
"_ZN2al14DirectionParam15syncToDirectionEv","al::DirectionParam::syncToDirection(void)",false
"_ZN2al14DirectionParam13initializeDirEPN3agl3utl12ParameterObjEPKcS6_","al::DirectionParam::initializeDir(agl::utl::ParameterObj *,char const*,char const*)",false
"_ZN2al14DirectionParam13initializeDirERKN4sead7Vector3IfEEPN3agl3utl12ParameterObjEPKcSB_","al::DirectionParam::initializeDir(sead::Vector3<float> const&,agl::utl::ParameterObj *,char const*,char const*)",false
"_ZN2al14DirectionParam17syncFromDirectionERKN4sead7Vector3IfEE","al::DirectionParam::syncFromDirection(sead::Vector3<float> const&)",false
"_ZN2al14DirectionParam13initializeDirEPNS_12ParameterObjEPKcS4_","al::DirectionParam::initializeDir(al::ParameterObj *,char const*,char const*)",false
"_ZN2al14DirectionParam13initializeDirERKN4sead7Vector3IfEEPNS_12ParameterObjEPKcS9_","al::DirectionParam::initializeDir(sead::Vector3<float> const&,al::ParameterObj *,char const*,char const*)",false
"_ZNK2al14DirectionParam18getLongitudeRadianEv","al::DirectionParam::getLongitudeRadian(void)const",false
"_ZNK2al14DirectionParam17getLatitudeRadianEv","al::DirectionParam::getLatitudeRadian(void)const",false
"_ZN2al14DirectionParam21getLongitudeRadianPtrEv","al::DirectionParam::getLongitudeRadianPtr(void)",false
"_ZN2al14DirectionParam20getLatitudeRadianPtrEv","al::DirectionParam::getLatitudeRadianPtr(void)",false
"_ZN2al14DirectionParam18setLongitudeRadianEf","al::DirectionParam::setLongitudeRadian(float)",false
"_ZN2al14DirectionParam17setLatitudeRadianEf","al::DirectionParam::setLatitudeRadian(float)",false
"_ZN2al14DirectionParam17syncFromDirectionEv","al::DirectionParam::syncFromDirection(void)",false
"_ZN2al14DirectionParam17syncFromRPYDegreeERKN4sead7Vector3IfEE","al::DirectionParam::syncFromRPYDegree(sead::Vector3<float> const&)",false
"_ZN2al14DirectionParam4lerpERKS0_S2_f","al::DirectionParam::lerp(al::DirectionParam const&,al::DirectionParam const&,float)",false
