Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22DirectionalLightKeeperC2EPNS_12ShaderHolderEPNS_22DepthShadowMapDirectorE","al::DirectionalLightKeeper::DirectionalLightKeeper(al::ShaderHolder *,al::DepthShadowMapDirector *)",false
"_ZN2al22DirectionalLightKeeperD2Ev","al::DirectionalLightKeeper::~DirectionalLightKeeper()",false
"_ZN2al22DirectionalLightKeeper7endInitEv","al::DirectionalLightKeeper::endInit(void)",false
"_ZNK2al22DirectionalLightKeeper15getLightDirFromEv","al::DirectionalLightKeeper::getLightDirFrom(void)const",false
"_ZN2al22DirectionalLightKeeper16calcLightDirFromEv","al::DirectionalLightKeeper::calcLightDirFrom(void)",false
"_ZN2al22DirectionalLightKeeper15getCurrentParamEv","al::DirectionalLightKeeper::getCurrentParam(void)",false
"_ZNK2al22DirectionalLightKeeper13getLightColorEv","al::DirectionalLightKeeper::getLightColor(void)const",false
"_ZNK2al22DirectionalLightKeeper15getCurrentParamEv","al::DirectionalLightKeeper::getCurrentParam(void)const",false
"_ZN2al22DirectionalLightKeeper12clearRequestEv","al::DirectionalLightKeeper::clearRequest(void)",false
"_ZN2al22DirectionalLightKeeper6updateEv","al::DirectionalLightKeeper::update(void)",false
"_ZN2al22DirectionalLightKeeper12requestParamEiiRKNS_13DirLightParamE","al::DirectionalLightKeeper::requestParam(int,int,al::DirLightParam const&)",false
"_ZN2al22DirectionalLightKeeper18getTextureFetchPosEv","al::DirectionalLightKeeper::getTextureFetchPos(void)",false
"_ZNK2al22DirectionalLightKeeper17drawDirLightColorEPN3agl11DrawContextE","al::DirectionalLightKeeper::drawDirLightColor(agl::DrawContext *)const",false
"_ZN16DirLightFunction25getDirectionalLightKeeperEPKN2al9LiveActorE","DirLightFunction::getDirectionalLightKeeper(al::LiveActor const*)",false
"_ZNK2al13DirLightParam12getParamNameEv","al::DirLightParam::getParamName(void)const",false
"_ZN2al13DirLightParam11getParamObjEv","al::DirLightParam::getParamObj(void)",false
"_ZNK2al13DirLightParam11getParamObjEv","al::DirLightParam::getParamObj(void)const",false
