Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21MaterialLightDirectorC2EPNS_18GraphicsSystemInfoEPKNS_12ShaderHolderEPKNS_22MaterialCategoryKeeperEPKNS_9HdrEncodeE","al::MaterialLightDirector::MaterialLightDirector(al::GraphicsSystemInfo *,al::ShaderHolder const*,al::MaterialCategoryKeeper const*,al::HdrEncode const*)",false
"_ZN2al21MaterialLightDirector8finalizeEv","al::MaterialLightDirector::finalize(void)",false
"_ZN2al21MaterialLightDirector14createLightMapEPKc","al::MaterialLightDirector::createLightMap(char const*)",false
"_ZN2al21MaterialLightDirector21createComposeLightMapEPKcS2_S2_PKN3agl11TextureDataEi","al::MaterialLightDirector::createComposeLightMap(char const*,char const*,char const*,agl::TextureData const*,int)",false
"_ZN2al21MaterialLightDirector7endInitEv","al::MaterialLightDirector::endInit(void)",false
"_ZN2al21MaterialLightDirector7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::MaterialLightDirector::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al21MaterialLightDirector14isEnableUpdateEv","al::MaterialLightDirector::isEnableUpdate(void)const",false
"_ZN2al21MaterialLightDirector6updateERKNS_18GraphicsUpdateInfoE","al::MaterialLightDirector::update(al::GraphicsUpdateInfo const&)",false
"_ZNK2al21MaterialLightDirector10drawSystemEPKNS_18GraphicsRenderInfoE","al::MaterialLightDirector::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZN2al21MaterialLightDirector18getLightMapSamplerEibPKcS2_","al::MaterialLightDirector::getLightMapSampler(int,bool,char const*,char const*)",false
"_ZNK2al21MaterialLightDirector8isEnableEv","al::MaterialLightDirector::isEnable(void)const",false
"_ZN2al21MaterialLightDirector20findOrCreateLightMapEPKc","al::MaterialLightDirector::findOrCreateLightMap(char const*)",false
"_ZN2al21MaterialLightDirector11getLightMapEibPKcS2_","al::MaterialLightDirector::getLightMap(int,bool,char const*,char const*)",false
"_ZN2al21MaterialLightDirector16activateLightMapEPN3agl11DrawContextEibPKcS5_","al::MaterialLightDirector::activateLightMap(agl::DrawContext *,int,bool,char const*,char const*)",false
"_ZN2al21MaterialLightDirector12setBaseAngleERKN4sead7Vector3IfEE","al::MaterialLightDirector::setBaseAngle(sead::Vector3<float> const&)",false
"_ZN2al21MaterialLightDirector28setSphereMapUpdateEveryFrameERKN4sead7Vector3IfEE","al::MaterialLightDirector::setSphereMapUpdateEveryFrame(sead::Vector3<float> const&)",false
"_ZNK2al21MaterialLightDirector7getNameEv","al::MaterialLightDirector::getName(void)const",false
