Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18PrePassLightKeeper27isForceReducedBufferRequestEv","al::PrePassLightKeeper::isForceReducedBufferRequest(void)",false
"_ZN2al18PrePassLightKeeperC2EPNS_18GraphicsSystemInfoEi","al::PrePassLightKeeper::PrePassLightKeeper(al::GraphicsSystemInfo *,int)",false
"_ZN2al18PrePassLightKeeperD2Ev","al::PrePassLightKeeper::~PrePassLightKeeper()",false
"_ZN2al18PrePassLightKeeper10initShaderEPNS_12ShaderHolderE","al::PrePassLightKeeper::initShader(al::ShaderHolder *)",false
"_ZN2al23AlbedoModePointLightMgr9setShaderEPKN3agl13ShaderProgramE","al::AlbedoModePointLightMgr::setShader(agl::ShaderProgram const*)",false
"_ZN2al22AlbedoModeSpotLightMgr9setShaderEPKN3agl13ShaderProgramE","al::AlbedoModeSpotLightMgr::setShader(agl::ShaderProgram const*)",false
"_ZN2al22AlbedoModeLineLightMgr9setShaderEPKN3agl13ShaderProgramE","al::AlbedoModeLineLightMgr::setShader(agl::ShaderProgram const*)",false
"_ZN2al26AlbedoModeCausticsLightMgr9setShaderEPKN3agl13ShaderProgramE","al::AlbedoModeCausticsLightMgr::setShader(agl::ShaderProgram const*)",false
"_ZN2al18PrePassLightKeeper7endInitEv","al::PrePassLightKeeper::endInit(void)",false
"_ZN2al18PrePassLightKeeper5clearEv","al::PrePassLightKeeper::clear(void)",false
"_ZN2al18PrePassLightKeeper13pushBackLightEPNS_16PrePassLightBaseE","al::PrePassLightKeeper::pushBackLight(al::PrePassLightBase *)",false
"_ZN2al18PrePassLightKeeper10eraseLightEPNS_16PrePassLightBaseE","al::PrePassLightKeeper::eraseLight(al::PrePassLightBase *)",false
"_ZN2al18PrePassLightKeeper7executeEPNS_14ShadowDirectorE","al::PrePassLightKeeper::execute(al::ShadowDirector *)",false
"_ZN2al18PrePassLightKeeper15preDrawGraphicsEv","al::PrePassLightKeeper::preDrawGraphics(void)",false
"_ZN2al18PrePassLightKeeper13updateViewGPUEiPNS_14ShadowDirectorE","al::PrePassLightKeeper::updateViewGPU(int,al::ShadowDirector *)",false
"_ZN2al18PrePassLightKeeper17requestPointLightERKN4sead7Vector3IfEEfRKNS1_7Color4fEfb","al::PrePassLightKeeper::requestPointLight(sead::Vector3<float> const&,float,sead::Color4f const&,float,bool)",false
"_ZN2al18PrePassLightKeeper16requestSpotLightERKN4sead7Vector3IfEES5_ffRKNS1_7Color4fEffb","al::PrePassLightKeeper::requestSpotLight(sead::Vector3<float> const&,sead::Vector3<float> const&,float,float,sead::Color4f const&,float,float,bool)",false
"_ZN2al18PrePassLightKeeper16requestProjLightERKN4sead7Vector3IfEES5_S5_RKNS1_7Color4fEfffffbPN3agl14TextureSamplerEbRKNS1_7Vector2IfEESF_","al::PrePassLightKeeper::requestProjLight(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Color4f const&,float,float,float,float,float,bool,agl::TextureSampler *,bool,sead::Vector2<float> const&,sead::Vector2<float> const&)",false
"_ZN2al22AlbedoModeProjLightMgr17updateParameters_ERNS_16LppLightDataBaseINS_14ProjLightParamEEE","al::AlbedoModeProjLightMgr::updateParameters_(al::LppLightDataBase<al::ProjLightParam> &)",false
"_ZN2al18PrePassLightKeeper21requestProjLightOrthoERKN4sead7Vector3IfEES5_S5_RKNS1_7Color4fEfffffffbPN3agl14TextureSamplerEbRKNS1_7Vector2IfEESF_","al::PrePassLightKeeper::requestProjLightOrtho(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Color4f const&,float,float,float,float,float,float,float,bool,agl::TextureSampler *,bool,sead::Vector2<float> const&,sead::Vector2<float> const&)",false
"_ZN2al18PrePassLightKeeper16requestLineLightERKN4sead7Vector3IfEES5_fRKNS1_7Color4fEfb","al::PrePassLightKeeper::requestLineLight(sead::Vector3<float> const&,sead::Vector3<float> const&,float,sead::Color4f const&,float,bool)",false
"_ZN2al18PrePassLightKeeper20requestCausticsLightERKN4sead7Vector3IfEES5_RKNS1_4QuatIfEERKNS1_7Color4fES5_fffb","al::PrePassLightKeeper::requestCausticsLight(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Quat<float> const&,sead::Color4f const&,sead::Vector3<float> const&,float,float,float,bool)",false
"_ZN2al18CausticsLightParam12calcBoundBoxEv","al::CausticsLightParam::calcBoundBox(void)",false
"_ZNK2al18PrePassLightKeeper7drawLppEPN3agl11DrawContextEiPKNS_12GBufferArrayERKNS1_17RenderTargetDepthEPKNS1_11TextureDataE","al::PrePassLightKeeper::drawLpp(agl::DrawContext *,int,al::GBufferArray const*,agl::RenderTargetDepth const&,agl::TextureData const*)const",false
