Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11startActionEPNS_9LiveActorEPKc","al::startAction(al::LiveActor *,char const*)",false
"_ZN2al24startActionAtRandomFrameEPNS_9LiveActorEPKc","al::startActionAtRandomFrame(al::LiveActor *,char const*)",false
"_ZN2al14tryStartActionEPNS_9LiveActorEPKc","al::tryStartAction(al::LiveActor *,char const*)",false
"_ZN2al26tryStartActionIfNotPlayingEPNS_9LiveActorEPKc","al::tryStartActionIfNotPlaying(al::LiveActor *,char const*)",false
"_ZN2al15isActionPlayingEPKNS_9LiveActorEPKc","al::isActionPlaying(al::LiveActor const*,char const*)",false
"_ZN2al25tryStartActionIfActionEndEPNS_9LiveActorEPKc","al::tryStartActionIfActionEnd(al::LiveActor *,char const*)",false
"_ZN2al11isActionEndEPKNS_9LiveActorE","al::isActionEnd(al::LiveActor const*)",false
"_ZN2al13isExistActionEPKNS_9LiveActorE","al::isExistAction(al::LiveActor const*)",false
"_ZN2al13isExistActionEPKNS_9LiveActorEPKc","al::isExistAction(al::LiveActor const*,char const*)",false
"_ZN2al15isActionOneTimeEPKNS_9LiveActorE","al::isActionOneTime(al::LiveActor const*)",false
"_ZN2al15isActionOneTimeEPKNS_9LiveActorEPKc","al::isActionOneTime(al::LiveActor const*,char const*)",false
"_ZN2al13getActionNameEPKNS_9LiveActorE","al::getActionName(al::LiveActor const*)",false
"_ZN2al14getActionFrameEPKNS_9LiveActorE","al::getActionFrame(al::LiveActor const*)",false
"_ZN2al17getActionFrameMaxEPKNS_9LiveActorE","al::getActionFrameMax(al::LiveActor const*)",false
"_ZN2al17getActionFrameMaxEPKNS_9LiveActorEPKc","al::getActionFrameMax(al::LiveActor const*,char const*)",false
"_ZN2al18getActionFrameRateEPKNS_9LiveActorE","al::getActionFrameRate(al::LiveActor const*)",false
"_ZN2al14setActionFrameEPNS_9LiveActorEf","al::setActionFrame(al::LiveActor *,float)",false
"_ZN2al18setActionFrameRateEPNS_9LiveActorEf","al::setActionFrameRate(al::LiveActor *,float)",false
"_ZN2al10stopActionEPNS_9LiveActorE","al::stopAction(al::LiveActor *)",false
"_ZN2al13restartActionEPNS_9LiveActorE","al::restartAction(al::LiveActor *)",false
"_ZN2al10copyActionEPNS_9LiveActorEPKS0_","al::copyAction(al::LiveActor *,al::LiveActor const*)",false
"_ZN2al16startNerveActionEPNS_9LiveActorEPKc","al::startNerveAction(al::LiveActor *,char const*)",false
"_ZN2al19setNerveAtActionEndEPNS_9LiveActorEPKNS_5NerveE","al::setNerveAtActionEnd(al::LiveActor *,al::Nerve const*)",false
"_ZN2al23resetNerveActionForInitEPNS_9LiveActorE","al::resetNerveActionForInit(al::LiveActor *)",false
"_ZN2al16startHitReactionEPKNS_9LiveActorEPKc","al::startHitReaction(al::LiveActor const*,char const*)",false
"_ZN2al25startHitReactionHitEffectEPKNS_9LiveActorEPKcPKNS_9HitSensorES7_","al::startHitReactionHitEffect(al::LiveActor const*,char const*,al::HitSensor const*,al::HitSensor const*)",false
"_ZN2al25startHitReactionHitEffectEPKNS_9LiveActorEPKcRKN4sead7Vector3IfEE","al::startHitReactionHitEffect(al::LiveActor const*,char const*,sead::Vector3<float> const&)",false
"_ZN2al25startHitReactionHitEffectEPKNS_9LiveActorEPKcPKN4sead8Matrix34IfEE","al::startHitReactionHitEffect(al::LiveActor const*,char const*,sead::Matrix34<float> const*)",false
"_ZN2al23startHitReactionBlowHitEPKNS_9LiveActorEPKNS_9HitSensorES5_","al::startHitReactionBlowHit(al::LiveActor const*,al::HitSensor const*,al::HitSensor const*)",false
"_ZN2al23startHitReactionBlowHitEPKNS_9LiveActorERKN4sead7Vector3IfEE","al::startHitReactionBlowHit(al::LiveActor const*,sead::Vector3<float> const&)",false
"_ZN2al23startHitReactionBlowHitEPKNS_9LiveActorE","al::startHitReactionBlowHit(al::LiveActor const*)",false
"_ZN2al29startHitReactionBlowHitDirectEPKNS_9LiveActorEPKNS_9HitSensorES5_","al::startHitReactionBlowHitDirect(al::LiveActor const*,al::HitSensor const*,al::HitSensor const*)",false
"_ZN2al29startHitReactionBlowHitDirectEPKNS_9LiveActorERKN4sead7Vector3IfEE","al::startHitReactionBlowHitDirect(al::LiveActor const*,sead::Vector3<float> const&)",false
"_ZN2al29startHitReactionBlowHitDirectEPKNS_9LiveActorE","al::startHitReactionBlowHitDirect(al::LiveActor const*)",false
