Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al7isAliveEPKNS_9LiveActorE","al::isAlive(al::LiveActor const*)",false
"_ZN2al6isDeadEPKNS_9LiveActorE","al::isDead(al::LiveActor const*)",false
"_ZN2al11isNoCollideEPKNS_9LiveActorE","al::isNoCollide(al::LiveActor const*)",false
"_ZN2al10onCalcAnimEPNS_9LiveActorE","al::onCalcAnim(al::LiveActor *)",false
"_ZN2al11offCalcAnimEPNS_9LiveActorE","al::offCalcAnim(al::LiveActor *)",false
"_ZN2al14validateShadowEPNS_9LiveActorE","al::validateShadow(al::LiveActor *)",false
"_ZN2al16invalidateShadowEPNS_9LiveActorE","al::invalidateShadow(al::LiveActor *)",false
"_ZN2al9onCollideEPNS_9LiveActorE","al::onCollide(al::LiveActor *)",false
"_ZN2al10offCollideEPNS_9LiveActorE","al::offCollide(al::LiveActor *)",false
"_ZN2al20validateMaterialCodeEPNS_9LiveActorE","al::validateMaterialCode(al::LiveActor *)",false
"_ZN2al22invalidateMaterialCodeEPNS_9LiveActorE","al::invalidateMaterialCode(al::LiveActor *)",false
"_ZN2al22validatePuddleMaterialEPNS_9LiveActorE","al::validatePuddleMaterial(al::LiveActor *)",false
"_ZN2al24invalidatePuddleMaterialEPNS_9LiveActorE","al::invalidatePuddleMaterial(al::LiveActor *)",false
"_ZN2al12isAreaTargetEPKNS_9LiveActorE","al::isAreaTarget(al::LiveActor const*)",false
"_ZN2al12onAreaTargetEPNS_9LiveActorE","al::onAreaTarget(al::LiveActor *)",false
"_ZN2al13offAreaTargetEPNS_9LiveActorE","al::offAreaTarget(al::LiveActor *)",false
"_ZN2al42isUpdateMovementEffectAudioCollisionSensorEPKNS_9LiveActorE","al::isUpdateMovementEffectAudioCollisionSensor(al::LiveActor const*)",false
"_ZN2al42onUpdateMovementEffectAudioCollisionSensorEPNS_9LiveActorE","al::onUpdateMovementEffectAudioCollisionSensor(al::LiveActor *)",false
"_ZN2al43offUpdateMovementEffectAudioCollisionSensorEPNS_9LiveActorE","al::offUpdateMovementEffectAudioCollisionSensor(al::LiveActor *)",false
"_ZN2al18initActorSceneInfoEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initActorSceneInfo(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al18initExecutorUpdateEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initExecutorUpdate(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al16initExecutorDrawEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initExecutorDraw(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al18initExecutorPlayerEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorPlayer(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al29initExecutorPlayerPreMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorPlayerPreMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al26initExecutorPlayerMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorPlayerMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al23initExecutorPlayerModelEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorPlayerModel(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al28initExecutorPlayerDecorationEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorPlayerDecoration(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al17initExecutorEnemyEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorEnemy(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al25initExecutorEnemyMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorEnemyMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al27initExecutorEnemyDecorationEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorEnemyDecoration(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al35initExecutorEnemyDecorationMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorEnemyDecorationMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al18initExecutorMapObjEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorMapObj(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al26initExecutorMapObjMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorMapObjMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al28initExecutorMapObjDecorationEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorMapObjDecoration(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al25initExecutorNpcDecorationEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorNpcDecoration(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al24initExecutorShadowVolumeEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorShadowVolume(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al35initExecutorShadowVolumeFillStencilEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorShadowVolumeFillStencil(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al45initExecutorCollisionMapObjDecorationMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorCollisionMapObjDecorationMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al20initExecutorWatchObjEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorWatchObj(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al25initExecutorDebugMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorDebugMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al23initExecutorModelUpdateEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorModelUpdate(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al29initExecutorDrcAssistMovementEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initExecutorDrcAssistMovement(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al17initActorPoseTRSVEPNS_9LiveActorE","al::initActorPoseTRSV(al::LiveActor *)",false
"_ZN2al18initActorPoseTRMSVEPNS_9LiveActorE","al::initActorPoseTRMSV(al::LiveActor *)",false
"_ZN2al19initActorPoseTRGMSVEPNS_9LiveActorE","al::initActorPoseTRGMSV(al::LiveActor *)",false
"_ZN2al17initActorPoseTFSVEPNS_9LiveActorE","al::initActorPoseTFSV(al::LiveActor *)",false
"_ZN2al18initActorPoseTFUSVEPNS_9LiveActorE","al::initActorPoseTFUSV(al::LiveActor *)",false
"_ZN2al18initActorPoseTFGSVEPNS_9LiveActorE","al::initActorPoseTFGSV(al::LiveActor *)",false
"_ZN2al17initActorPoseTQSVEPNS_9LiveActorE","al::initActorPoseTQSV(al::LiveActor *)",false
"_ZN2al18initActorPoseTQGSVEPNS_9LiveActorE","al::initActorPoseTQGSV(al::LiveActor *)",false
"_ZN2al19initActorPoseTQGMSVEPNS_9LiveActorE","al::initActorPoseTQGMSV(al::LiveActor *)",false
"_ZN2al12initActorSRTEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initActorSRT(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al20initActorModelKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKNS_13ActorResourceEi","al::initActorModelKeeper(al::LiveActor *,al::ActorInitInfo const&,al::ActorResource const*,int)",false
"_ZN2al20initActorModelKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKciS6_","al::initActorModelKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*,int,char const*)",false
"_ZN2al26initActorModelKeeperByHostEPNS_9LiveActorEPKS0_","al::initActorModelKeeperByHost(al::LiveActor *,al::LiveActor const*)",false
"_ZN2al26initActorModelForceCubeMapEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initActorModelForceCubeMap(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al21initActorActionKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKcS6_","al::initActorActionKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*,char const*)",false
"_ZN2al21initActorActionKeeperEPNS_9LiveActorEPKNS_13ActorResourceEPKcS6_","al::initActorActionKeeper(al::LiveActor *,al::ActorResource const*,char const*,char const*)",false
"_ZN2al21initActorEffectKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorEffectKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al17initActorSeKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKcPKN4sead7Vector3IfEEPKNS7_8Matrix34IfEE","al::initActorSeKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*,sead::Vector3<float> const*,sead::Matrix34<float> const*)",false
"_ZN2al17initActorSeKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorSeKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al26initActorSeKeeperWithout3DEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorSeKeeperWithout3D(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al18initActorBgmKeeperEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorBgmKeeper(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al22isInitializedBgmKeeperEPNS_9LiveActorE","al::isInitializedBgmKeeper(al::LiveActor *)",false
"_ZN2al21initHitReactionKeeperEPNS_9LiveActorEPKc","al::initHitReactionKeeper(al::LiveActor *,char const*)",false
"_ZN2al21initHitReactionKeeperEPNS_9LiveActorEPKNS_8ResourceEPKc","al::initHitReactionKeeper(al::LiveActor *,al::Resource const*,char const*)",false
"_ZN2al20initActorParamHolderEPNS_9LiveActorEPKc","al::initActorParamHolder(al::LiveActor *,char const*)",false
"_ZN2al20initActorParamHolderEPNS_9LiveActorEPKNS_8ResourceEPKc","al::initActorParamHolder(al::LiveActor *,al::Resource const*,char const*)",false
"_ZN2al22initDepthShadowMapCtrlEPNS_9LiveActorEPKNS_8ResourceERKNS_13ActorInitInfoEPKc","al::initDepthShadowMapCtrl(al::LiveActor *,al::Resource const*,al::ActorInitInfo const&,char const*)",false
"_ZN2al33initDepthShadowMapCtrlWithoutIterEPNS_9LiveActorEib","al::initDepthShadowMapCtrlWithoutIter(al::LiveActor *,int,bool)",false
"_ZN2al21addDepthShadowMapInfoEPKNS_9LiveActorEPKciiifbRKN4sead7Vector3IfEEbS9_S9_bS4_ibfffbbfib","al::addDepthShadowMapInfo(al::LiveActor const*,char const*,int,int,int,float,bool,sead::Vector3<float> const&,bool,sead::Vector3<float> const&,sead::Vector3<float> const&,bool,char const*,int,bool,float,float,float,bool,bool,float,int,bool)",false
"_ZN2al24declareUseDepthShadowMapEPKNS_9LiveActorEi","al::declareUseDepthShadowMap(al::LiveActor const*,int)",false
"_ZN2al20createDepthShadowMapEPKNS_9LiveActorEPKciii","al::createDepthShadowMap(al::LiveActor const*,char const*,int,int,int)",false
"_ZN2al18initShadowMaskCtrlEPNS_9LiveActorERKNS_13ActorInitInfoERKNS_9ByamlIterEPKc","al::initShadowMaskCtrl(al::LiveActor *,al::ActorInitInfo const&,al::ByamlIter const&,char const*)",false
"_ZN2al33initShadowMaskCtrlWithoutInitFileEPNS_9LiveActorERKNS_13ActorInitInfoEi","al::initShadowMaskCtrlWithoutInitFile(al::LiveActor *,al::ActorInitInfo const&,int)",false
"_ZN2al22createShadowMaskSphereEPNS_9LiveActorEPKcS3_S3_","al::createShadowMaskSphere(al::LiveActor *,char const*,char const*,char const*)",false
"_ZN2al20createShadowMaskCubeEPNS_9LiveActorEPKcS3_S3_RKN4sead7Color4fERKNS4_7Vector3IfEEfffSB_f","al::createShadowMaskCube(al::LiveActor *,char const*,char const*,char const*,sead::Color4f const&,sead::Vector3<float> const&,float,float,float,sead::Vector3<float> const&,float)",false
"_ZN2al24createShadowMaskCylinderEPNS_9LiveActorEPKcS3_S3_RKN4sead7Color4fERKNS4_7Vector3IfEEfffff","al::createShadowMaskCylinder(al::LiveActor *,char const*,char const*,char const*,sead::Color4f const&,sead::Vector3<float> const&,float,float,float,float,float)",false
