Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13ActorInitInfoC2Ev","al::ActorInitInfo::ActorInitInfo(void)",false
"_ZN2al13ActorInitInfo7initNewEPKNS_13PlacementInfoEPKNS_14LayoutInitInfoEPNS_14LiveActorGroupEPKNS_12ActorFactoryEPNS_19ActorResourceHolderEPNS_15AreaObjDirectorEPNS_13AudioDirectorEPNS_14CameraDirectorEPNS_16ClippingDirectorEPNS_17CollisionDirectorEPNS_12DemoDirectorEPNS_16EffectSystemInfoEPNS_15ExecuteDirectorEPNS_18GameDataHolderBaseEPNS_13GravityHolderEPNS_17HitSensorDirectorEPNS_16ItemDirectorBaseEPNS_14NatureDirectorEPKNS_13GamePadSystemEPNS_17PadRumbleDirectorEPNS_12PlayerHolderEPNS_14SceneObjHolderEPNS_12SceneMsgCtrlEPNS_13SceneStopCtrlEPNS_15ScreenCoverCtrlEPNS_19ScreenPointDirectorEPNS_14ShadowDirectorEPNS_19StageSwitchDirectorEPNS_10ModelGroupEPNS_18GraphicsSystemInfoEPNS_22ModelDrawBufferCounterES8_","al::ActorInitInfo::initNew(al::PlacementInfo const*,al::LayoutInitInfo const*,al::LiveActorGroup *,al::ActorFactory const*,al::ActorResourceHolder *,al::AreaObjDirector *,al::AudioDirector *,al::CameraDirector *,al::ClippingDirector *,al::CollisionDirector *,al::DemoDirector *,al::EffectSystemInfo *,al::ExecuteDirector *,al::GameDataHolderBase *,al::GravityHolder *,al::HitSensorDirector *,al::ItemDirectorBase *,al::NatureDirector *,al::GamePadSystem const*,al::PadRumbleDirector *,al::PlayerHolder *,al::SceneObjHolder *,al::SceneMsgCtrl *,al::SceneStopCtrl *,al::ScreenCoverCtrl *,al::ScreenPointDirector *,al::ShadowDirector *,al::StageSwitchDirector *,al::ModelGroup *,al::GraphicsSystemInfo *,al::ModelDrawBufferCounter *,al::LiveActorGroup *)",false
"_ZN2al13ActorInitInfo14initViewIdSelfEPKNS_13PlacementInfoERKS0_","al::ActorInitInfo::initViewIdSelf(al::PlacementInfo const*,al::ActorInitInfo const&)",false
"_ZN2al13ActorInitInfo12copyHostInfoERKS0_PKNS_13PlacementInfoE","al::ActorInitInfo::copyHostInfo(al::ActorInitInfo const&,al::PlacementInfo const*)",false
"_ZN2al13ActorInitInfo14initViewIdHostEPKNS_13PlacementInfoERKS0_","al::ActorInitInfo::initViewIdHost(al::PlacementInfo const*,al::ActorInitInfo const&)",false
"_ZN2al13ActorInitInfo19initViewIdHostActorERKS0_PKNS_9LiveActorE","al::ActorInitInfo::initViewIdHostActor(al::ActorInitInfo const&,al::LiveActor const*)",false
"_ZN2al13ActorInitInfo12initNoViewIdEPKNS_13PlacementInfoERKS0_","al::ActorInitInfo::initNoViewId(al::PlacementInfo const*,al::ActorInitInfo const&)",false
"_ZN2al9initActorEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initActor(al::LiveActor *,al::ActorInitInfo const&)",false
"sub_71008DC12C","",false
"_ZN2al15initActorSuffixEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorSuffix(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al20initActorChangeModelEPNS_9LiveActorERKNS_13ActorInitInfoE","al::initActorChangeModel(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZN2al26initActorChangeModelSuffixEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initActorChangeModelSuffix(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
"_ZN2al24initActorWithArchiveNameEPNS_9LiveActorERKNS_13ActorInitInfoERKN4sead14SafeStringBaseIcEEPKc","al::initActorWithArchiveName(al::LiveActor *,al::ActorInitInfo const&,sead::SafeStringBase<char> const&,char const*)",false
"_ZN2al46initChildActorWithArchiveNameWithPlacementInfoEPNS_9LiveActorERKNS_13ActorInitInfoERKN4sead14SafeStringBaseIcEEPKc","al::initChildActorWithArchiveNameWithPlacementInfo(al::LiveActor *,al::ActorInitInfo const&,sead::SafeStringBase<char> const&,char const*)",false
"_ZN2al44initChildActorWithArchiveNameNoPlacementInfoEPNS_9LiveActorERKNS_13ActorInitInfoERKN4sead14SafeStringBaseIcEEPKc","al::initChildActorWithArchiveNameNoPlacementInfo(al::LiveActor *,al::ActorInitInfo const&,sead::SafeStringBase<char> const&,char const*)",false
"_ZN2al26createChildLinkSimpleActorEPKcS1_RKNS_13ActorInitInfoEb","al::createChildLinkSimpleActor(char const*,char const*,al::ActorInitInfo const&,bool)",false
"_ZN2al28createChildLinkMapPartsActorEPKcS1_RKNS_13ActorInitInfoEib","al::createChildLinkMapPartsActor(char const*,char const*,al::ActorInitInfo const&,int,bool)",false
"_ZN2al17initMapPartsActorEPNS_9LiveActorERKNS_13ActorInitInfoEPKc","al::initMapPartsActor(al::LiveActor *,al::ActorInitInfo const&,char const*)",false
