Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al6easeInEf","al::easeIn(float)",false
"_ZN2al7easeOutEf","al::easeOut(float)",false
"_ZN2al9easeInOutEf","al::easeInOut(float)",false
"_ZN2al8squareInEf","al::squareIn(float)",false
"_ZN2al9squareOutEf","al::squareOut(float)",false
"_ZN2al7powerInEff","al::powerIn(float,float)",false
"_ZN2al8powerOutEff","al::powerOut(float,float)",false
"_ZN2al11logarithmInEff","al::logarithmIn(float,float)",false
"_ZN2al12logarithmOutEff","al::logarithmOut(float,float)",false
"_ZN2al10exponentInEff","al::exponentIn(float,float)",false
"_ZN2al11exponentOutEff","al::exponentOut(float,float)",false
"_ZN2al11hermiteRateEfff","al::hermiteRate(float,float,float)",false
"_ZN2al19calcFourthOrderRateEff","al::calcFourthOrderRate(float,float)",false
"_ZN2al18calcTriangleWave01Eff","al::calcTriangleWave01(float,float)",false
"_ZN2al16calcTriangleWaveEffff","al::calcTriangleWave(float,float,float,float)",false
"_ZN2al9lerpValueEfff","al::lerpValue(float,float,float)",false
"_ZN2al10calcRate01Efff","al::calcRate01(float,float,float)",false
"_ZN2al10easeByTypeEfi","al::easeByType(float,int)",false
"_ZN2al9lerpValueEfffff","al::lerpValue(float,float,float,float,float)",false
"_ZN2al10lerpDegreeEfff","al::lerpDegree(float,float,float)",false
"_ZN2al10lerpRadianEfff","al::lerpRadian(float,float,float)",false
"_ZN2al7lerpVecEPN4sead7Vector2IfEERKS2_S5_f","al::lerpVec(sead::Vector2<float> *,sead::Vector2<float> const&,sead::Vector2<float> const&,float)",false
"_ZN2al7lerpVecEPN4sead7Vector3IfEERKS2_S5_f","al::lerpVec(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al9lerpVecHVEPN4sead7Vector3IfEERKS2_S5_S5_ff","al::lerpVecHV(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al16separateVectorHVEPN4sead7Vector3IfEES3_RKS2_S5_","al::separateVectorHV(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al9lerpColorEPN4sead7Color4fERKS1_S4_f","al::lerpColor(sead::Color4f *,sead::Color4f const&,sead::Color4f const&,float)",false
"_ZN2al18lerpLogValueEaseInEffff","al::lerpLogValueEaseIn(float,float,float,float)",false
"_ZN2al19lerpLogValueEaseOutEffff","al::lerpLogValueEaseOut(float,float,float,float)",false
"_ZN2al16lerpLogVecEaseInEPN4sead7Vector3IfEERKS2_S5_ff","al::lerpLogVecEaseIn(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al17lerpLogVecEaseOutEPN4sead7Vector3IfEERKS2_S5_ff","al::lerpLogVecEaseOut(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al23lerpExponentValueEaseInEffff","al::lerpExponentValueEaseIn(float,float,float,float)",false
"_ZN2al24lerpExponentValueEaseOutEffff","al::lerpExponentValueEaseOut(float,float,float,float)",false
"_ZN2al21lerpExponentVecEaseInEPN4sead7Vector3IfEERKS2_S5_ff","al::lerpExponentVecEaseIn(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al22lerpExponentVecEaseOutEPN4sead7Vector3IfEERKS2_S5_ff","al::lerpExponentVecEaseOut(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al15clampLeapMinAbsEffff","al::clampLeapMinAbs(float,float,float,float)",false
"_ZN2al7hermiteEfffff","al::hermite(float,float,float,float,float)",false
"_ZN2al7hermiteEffffff","al::hermite(float,float,float,float,float,float)",false
"_ZN2al10hermiteVecEPN4sead7Vector3IfEERKS2_S5_S5_S5_f","al::hermiteVec(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al8convergeEiii","al::converge(int,int,int)",false
"_ZN2al8convergeEfff","al::converge(float,float,float)",false
"_ZN2al14convergeDegreeEfff","al::convergeDegree(float,float,float)",false
"_ZN2al14convergeRadianEfff","al::convergeRadian(float,float,float)",false
"_ZN2al11convergeVecEPN4sead7Vector2IfEERKS2_S5_f","al::convergeVec(sead::Vector2<float> *,sead::Vector2<float> const&,sead::Vector2<float> const&,float)",false
"_ZN2al11convergeVecEPN4sead7Vector3IfEERKS2_S5_f","al::convergeVec(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al19diffNearAngleDegreeEff","al::diffNearAngleDegree(float,float)",false
"_ZN2al20isInRangeAngleDegreeEfff","al::isInRangeAngleDegree(float,float,float)",false
"_ZN2al24calcEyesAnimAngleInRangeEPfRKN4sead7Vector3IfEES5_S5_S5_ffff","al::calcEyesAnimAngleInRange(float *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float,float,float)",false
"_ZN2al10isSameSignEff","al::isSameSign(float,float)",false
"_ZN2al11reverseBit8Eh","al::reverseBit8(unsigned char)",false
"_ZN2al12reverseBit16Et","al::reverseBit16(unsigned short)",false
"_ZN2al12reverseBit32Ej","al::reverseBit32(unsigned int)",false
"_ZN2al16calcVanDerCorputEj","al::calcVanDerCorput(unsigned int)",false
"_ZN2al19calcHammersleyPointEPN4sead7Vector2IfEEjj","al::calcHammersleyPoint(sead::Vector2<float> *,unsigned int,unsigned int)",false
"_ZN2al16findMaxFromArrayEPKii","al::findMaxFromArray(int const*,int)",false
"_ZN2al14separateMinMaxEPN4sead7Vector3IfEES3_RKS2_","al::separateMinMax(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&)",false
"_ZN2al16findMinFromArrayEPKii","al::findMinFromArray(int const*,int)",false
