Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9getRandomEv","al::getRandom(void)",false
"_ZN2al9getRandomEf","al::getRandom(float)",false
"_ZN2al9getRandomEff","al::getRandom(float,float)",false
"_ZN2al9getRandomEi","al::getRandom(int)",false
"_ZN2al9getRandomEii","al::getRandom(int,int)",false
"_ZN2al15getRandomDegreeEv","al::getRandomDegree(void)",false
"_ZN2al15getRandomRadianEv","al::getRandomRadian(void)",false
"_ZN2al15getRandomVectorEPN4sead7Vector3IfEEf","al::getRandomVector(sead::Vector3<float> *,float)",false
"_ZN2al12getRandomDirEPN4sead7Vector3IfEE","al::getRandomDir(sead::Vector3<float> *)",false
"_ZN2al13getRandomDirHEPN4sead7Vector3IfEERKS2_","al::getRandomDirH(sead::Vector3<float> *,sead::Vector3<float> const&)",false
"_ZN2al18rotateVectorDegreeEPN4sead7Vector3IfEERKS2_S5_f","al::rotateVectorDegree(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al17getRandomOnCircleEPN4sead7Vector2IfEEf","al::getRandomOnCircle(sead::Vector2<float> *,float)",false
"_ZN2al17getRandomInCircleEPN4sead7Vector2IfEEf","al::getRandomInCircle(sead::Vector2<float> *,float)",false
"_ZN2al29getRandomInCircleMinMaxRadiusEPN4sead7Vector2IfEEff","al::getRandomInCircleMinMaxRadius(sead::Vector2<float> *,float,float)",false
"_ZN2al17getRandomInCircleEPN4sead7Vector3IfEERKS2_S5_f","al::getRandomInCircle(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al17getRandomOnSphereEPN4sead7Vector3IfEEf","al::getRandomOnSphere(sead::Vector3<float> *,float)",false
"_ZN2al17getRandomInSphereEPN4sead7Vector3IfEEf","al::getRandomInSphere(sead::Vector3<float> *,float)",false
"_ZN2al19calcRandomDirInConeEPN4sead7Vector3IfEERKS2_f","al::calcRandomDirInCone(sead::Vector3<float> *,sead::Vector3<float> const&,float)",false
"_ZN2al29getRandomInSphereMinMaxRadiusEPN4sead7Vector3IfEEff","al::getRandomInSphereMinMaxRadius(sead::Vector3<float> *,float,float)",false
"_ZN2al14initRandomSeedEj","al::initRandomSeed(unsigned int)",false
"_ZN2al20initRandomSeedByTickEv","al::initRandomSeedByTick(void)",false
"_ZN2al22initRandomSeedByStringEPKc","al::initRandomSeedByString(char const*)",false
"_ZN2al17isHalfProbabilityEv","al::isHalfProbability(void)",false
"_ZN2al20isPercentProbabilityEf","al::isPercentProbability(float)",false
"_ZN2al16getRandomContextEPjS0_S0_S0_","al::getRandomContext(unsigned int *,unsigned int *,unsigned int *,unsigned int *)",false
"_ZN2al16setRandomContextEjjjj","al::setRandomContext(unsigned int,unsigned int,unsigned int,unsigned int)",false
"_ZN2al15makeRandomDirXZEPN4sead7Vector3IfEE","al::makeRandomDirXZ(sead::Vector3<float> *)",false
"_ZN2al24calcBoxMullerRandomGaussEv","al::calcBoxMullerRandomGauss(void)",false
"_ZN2al24makeBoxMullerRandomGaussEPN4sead7Vector2IfEEff","al::makeBoxMullerRandomGauss(sead::Vector2<float> *,float,float)",false
"_ZN2al4modfEff","al::modf(float,float)",false
"_ZN2al4modiEii","al::modi(int,int)",false
