Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al26separateScalarAndDirectionEPfPN4sead7Vector2IfEERKS3_","al::separateScalarAndDirection(float *,sead::Vector2<float> *,sead::Vector2<float> const&)",false
"_ZN2al26separateScalarAndDirectionEPfPN4sead7Vector3IfEERKS3_","al::separateScalarAndDirection(float *,sead::Vector3<float> *,sead::Vector3<float> const&)",false
"_ZN2al21limitVectorSeparateHVEPN4sead7Vector3IfEERKS2_ff","al::limitVectorSeparateHV(sead::Vector3<float> *,sead::Vector3<float> const&,float,float)",false
"_ZN2al14parallelizeVecEPN4sead7Vector3IfEERKS2_S5_","al::parallelizeVec(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al20calcVectorSeparateHVEPN4sead7Vector3IfEERKS2_S5_ff","al::calcVectorSeparateHV(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al27limitVectorParallelVerticalEPN4sead7Vector3IfEERKS2_ff","al::limitVectorParallelVertical(sead::Vector3<float> *,sead::Vector3<float> const&,float,float)",false
"_ZN2al30separateVectorParallelVerticalEPN4sead7Vector3IfEES3_RKS2_S5_","al::separateVectorParallelVertical(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14addVectorLimitEPN4sead7Vector3IfEERKS2_f","al::addVectorLimit(sead::Vector3<float> *,sead::Vector3<float> const&,float)",false
"_ZN2al18alongVectorNormalHEPN4sead7Vector3IfEERKS2_S5_S5_","al::alongVectorNormalH(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al22calcDistanceVecToPlaneERKN4sead7Vector3IfEES4_S4_S4_","al::calcDistanceVecToPlane(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al13limitPlanePosEPN4sead7Vector3IfEERKS2_S5_S5_","al::limitPlanePos(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al18limitCylinderInPosEPN4sead7Vector3IfEERKS2_S5_S5_f","al::limitCylinderInPos(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al18limitCylinderInDirEPN4sead7Vector3IfEERKS2_S5_S5_S5_","al::limitCylinderInDir(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al18limitCylinderInPosEPN4sead7Vector3IfEERKS2_S5_f","al::limitCylinderInPos(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al18limitCylinderInDirEPN4sead7Vector3IfEERKS2_S5_S5_","al::limitCylinderInDir(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al11roundOffVecEPN4sead7Vector3IfEERKS2_","al::roundOffVec(sead::Vector3<float> *,sead::Vector3<float> const&)",false
"_ZN2al11roundOffVecEPN4sead7Vector3IfEE","al::roundOffVec(sead::Vector3<float> *)",false
"_ZN2al11roundOffVecEPN4sead7Vector2IfEERKS2_","al::roundOffVec(sead::Vector2<float> *,sead::Vector2<float> const&)",false
"_ZN2al11roundOffVecEPN4sead7Vector2IfEE","al::roundOffVec(sead::Vector2<float> *)",false
"_ZN2al10snapToGridEfff","al::snapToGrid(float,float,float)",false
"_ZN2al13snapVecToGridEPN4sead7Vector3IfEERKS2_fS5_","al::snapVecToGrid(sead::Vector3<float> *,sead::Vector3<float> const&,float,sead::Vector3<float> const&)",false
"_ZN2al13snapVecToGridEPN4sead7Vector3IfEERKS2_S5_S5_","al::snapVecToGrid(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al22limitVectorOppositeDirEPN4sead7Vector3IfEERKS2_S5_f","al::limitVectorOppositeDir(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al20scaleVectorDirectionEPN4sead7Vector3IfEERKS2_S5_f","al::scaleVectorDirection(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al26scaleVectorExceptDirectionEPN4sead7Vector3IfEERKS2_S5_f","al::scaleVectorExceptDirection(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al17snapVecToDirAxisYEPN4sead7Vector3IfEERKS2_i","al::snapVecToDirAxisY(sead::Vector3<float> *,sead::Vector3<float> const&,int)",false
"_ZN2al7calcDirEPN4sead7Vector3IfEERKS2_S5_","al::calcDir(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al8calcDirHEPN4sead7Vector3IfEERKS2_S5_","al::calcDirH(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14calcDirOnPlaneEPN4sead7Vector3IfEERKS2_S5_S5_","al::calcDirOnPlane(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al19mapRangeLogarithmicEffffff","al::mapRangeLogarithmic(float,float,float,float,float,float)",false
"_ZN2al28calcDirFromLongitudeLatitudeEPN4sead7Vector3IfEEff","al::calcDirFromLongitudeLatitude(sead::Vector3<float> *,float,float)",false
"_ZN2al28calcLongitudeLatitudeFromDirEPfS0_RKN4sead7Vector3IfEE","al::calcLongitudeLatitudeFromDir(float *,float *,sead::Vector3<float> const&)",false
"_ZN2al21getMaxAbsElementIndexERKN4sead7Vector3IiEE","al::getMaxAbsElementIndex(sead::Vector3<int> const&)",false
"_ZN2al21getMaxAbsElementValueERKN4sead7Vector3IfEE","al::getMaxAbsElementValue(sead::Vector3<float> const&)",false
"_ZN2al21getMaxAbsElementValueERKN4sead7Vector3IiEE","al::getMaxAbsElementValue(sead::Vector3<int> const&)",false
"_ZN2al21getMinAbsElementIndexERKN4sead7Vector3IfEE","al::getMinAbsElementIndex(sead::Vector3<float> const&)",false
"_ZN2al21getMinAbsElementIndexERKN4sead7Vector3IiEE","al::getMinAbsElementIndex(sead::Vector3<int> const&)",false
"_ZN2al21getMinAbsElementValueERKN4sead7Vector3IfEE","al::getMinAbsElementValue(sead::Vector3<float> const&)",false
"_ZN2al21getMinAbsElementValueERKN4sead7Vector3IiEE","al::getMinAbsElementValue(sead::Vector3<int> const&)",false
"_ZN2al20calcNearVecFromAxis2EPN4sead7Vector3IfEERKS2_S5_S5_","al::calcNearVecFromAxis2(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al20calcNearVecFromAxis3EPN4sead7Vector3IfEERKS2_S5_S5_S5_","al::calcNearVecFromAxis3(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al18calcDirVerticalAnyEPN4sead7Vector3IfEERKS2_","al::calcDirVerticalAny(sead::Vector3<float> *,sead::Vector3<float> const&)",false
"_ZN2al12calcDirSlideEPN4sead7Vector3IfEERKS2_S5_","al::calcDirSlide(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al20calcNearVecFromAxis3EPN4sead7Vector3IfEERKS2_RKNS0_4QuatIfEE","al::calcNearVecFromAxis3(sead::Vector3<float> *,sead::Vector3<float> const&,sead::Quat<float> const&)",false
"_ZN2al20calcQuatLocalAxisAllERKN4sead4QuatIfEEPNS0_7Vector3IfEES7_S7_","al::calcQuatLocalAxisAll(sead::Quat<float> const&,sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> *)",false
"_ZN2al15addRandomVectorEPN4sead7Vector3IfEERKS2_f","al::addRandomVector(sead::Vector3<float> *,sead::Vector3<float> const&,float)",false
"_ZN2al16turnRandomVectorEPN4sead7Vector3IfEERKS2_f","al::turnRandomVector(sead::Vector3<float> *,sead::Vector3<float> const&,float)",false
"_ZN2al15makeAxisFrontUpEPN4sead7Vector3IfEES3_RKS2_S5_","al::makeAxisFrontUp(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al17makeAxisFrontSideEPN4sead7Vector3IfEES3_RKS2_S5_","al::makeAxisFrontSide(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al15makeAxisUpFrontEPN4sead7Vector3IfEES3_RKS2_S5_","al::makeAxisUpFront(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14makeAxisUpSideEPN4sead7Vector3IfEES3_RKS2_S5_","al::makeAxisUpSide(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al19makeQuatFromTwoAxisEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_ii","al::makeQuatFromTwoAxis(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,int,int)",false
"_ZN2al15makeQuatFrontUpEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_","al::makeQuatFrontUp(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al17makeQuatFrontSideEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_","al::makeQuatFrontSide(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al22makeQuatFrontNoSupportEPN4sead4QuatIfEERKNS0_7Vector3IfEE","al::makeQuatFrontNoSupport(sead::Quat<float> *,sead::Vector3<float> const&)",false
"_ZN2al15makeQuatUpFrontEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_","al::makeQuatUpFront(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14makeQuatUpSideEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_","al::makeQuatUpSide(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al19makeQuatUpNoSupportEPN4sead4QuatIfEERKNS0_7Vector3IfEE","al::makeQuatUpNoSupport(sead::Quat<float> *,sead::Vector3<float> const&)",false
"_ZN2al14makeQuatSideUpEPN4sead4QuatIfEERKNS0_7Vector3IfEES7_","al::makeQuatSideUp(sead::Quat<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
