Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15makeBayerMatrixEPii","al::makeBayerMatrix(int *,int)",false
"_ZN2al8f32ToF16Ef","al::f32ToF16(float)",false
"_ZN2al8f16ToF32Et","al::f16ToF32(unsigned short)",false
"_ZN2al12MtxPtrHolderC2Ev","al::MtxPtrHolder::MtxPtrHolder(void)",false
"_ZN2al12MtxPtrHolder4initEi","al::MtxPtrHolder::init(int)",false
"_ZN2al12MtxPtrHolder16setMtxPtrAndNameEiPKcPKN4sead8Matrix34IfEE","al::MtxPtrHolder::setMtxPtrAndName(int,char const*,sead::Matrix34<float> const*)",false
"_ZN2al12MtxPtrHolder9setMtxPtrEPKcPKN4sead8Matrix34IfEE","al::MtxPtrHolder::setMtxPtr(char const*,sead::Matrix34<float> const*)",false
"_ZNK2al12MtxPtrHolder9findIndexEPKc","al::MtxPtrHolder::findIndex(char const*)const",false
"_ZNK2al12MtxPtrHolder10findMtxPtrEPKc","al::MtxPtrHolder::findMtxPtr(char const*)const",false
"_ZNK2al12MtxPtrHolder13tryFindMtxPtrEPKc","al::MtxPtrHolder::tryFindMtxPtr(char const*)const",false
"_ZNK2al12MtxPtrHolder12tryFindIndexEPKc","al::MtxPtrHolder::tryFindIndex(char const*)const",false
"_ZN2al18makeMtxRotateTransEPN4sead8Matrix34IfEERKNS0_7Vector3IfEES7_","al::makeMtxRotateTrans(sead::Matrix34<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al18makeMtxFromTwoAxisEPN4sead8Matrix34IfEERKNS0_7Vector3IfEES7_ii","al::makeMtxFromTwoAxis(sead::Matrix34<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&,int,int)",false
"_ZN2al14makeMtxFrontUpEPN4sead8Matrix34IfEERKNS0_7Vector3IfEES7_","al::makeMtxFrontUp(sead::Matrix34<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al16makeMtxFrontSideEPN4sead8Matrix34IfEERKNS0_7Vector3IfEES7_","al::makeMtxFrontSide(sead::Matrix34<float> *,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
