Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16getStationedHeapEv","al::getStationedHeap(void)",false
"_ZN2al15getSequenceHeapEv","al::getSequenceHeap(void)",false
"_ZN2al20getSceneResourceHeapEv","al::getSceneResourceHeap(void)",false
"_ZN2al12getSceneHeapEv","al::getSceneHeap(void)",false
"_ZN2al27getCourseSelectResourceHeapEv","al::getCourseSelectResourceHeap(void)",false
"_ZN2al19getCourseSelectHeapEv","al::getCourseSelectHeap(void)",false
"_ZN2al20getWorldResourceHeapEv","al::getWorldResourceHeap(void)",false
"_ZN2al16tryFindNamedHeapEPKc","al::tryFindNamedHeap(char const*)",false
"_ZN2al13findNamedHeapEPKc","al::findNamedHeap(char const*)",false
"_ZN2al12addNamedHeapEPN4sead4HeapEPKc","al::addNamedHeap(sead::Heap *,char const*)",false
"_ZN2al15removeNamedHeapEPKc","al::removeNamedHeap(char const*)",false
"_ZN2al18createSequenceHeapEv","al::createSequenceHeap(void)",false
"_ZN2al19freeAllSequenceHeapEv","al::freeAllSequenceHeap(void)",false
"_ZN2al20printAllSequenceHeapEv","al::printAllSequenceHeap(void)",false
"_ZN2al15createSceneHeapEPKcb","al::createSceneHeap(char const*,bool)",false
"_ZN2al23createSceneResourceHeapEPKc","al::createSceneResourceHeap(char const*)",false
"_ZN2al26isCreatedSceneResourceHeapEv","al::isCreatedSceneResourceHeap(void)",false
"_ZN2al16destroySceneHeapEb","al::destroySceneHeap(bool)",false
"_ZN2al22createCourseSelectHeapEv","al::createCourseSelectHeap(void)",false
"_ZN2al23destroyCourseSelectHeapEv","al::destroyCourseSelectHeap(void)",false
"_ZN2al23createWorldResourceHeapEb","al::createWorldResourceHeap(bool)",false
"_ZN2al24destroyWorldResourceHeapEb","al::destroyWorldResourceHeap(bool)",false
"_ZN2al18loadPlayerResourceEPKc","al::loadPlayerResource(char const*)",false
"_ZN2al18freePlayerResourceEPKc","al::freePlayerResource(char const*)",false
"_ZN2al38setAudioResourceDirectorToMemorySystemEPNS_21AudioResourceDirectorE","al::setAudioResourceDirectorToMemorySystem(al::AudioResourceDirector *)",false
